Contract ID,Project ID,Project Name,Central Government Department,Responsible Government Body,Latest Business Case Assumed Contract Start Date,Latest Forecast Date for Contract Start,Current Approved Contract End/Expiry Date,"If existing, Original Contract Date","If existing, Latest Contract Revision Date",Prime ICT Supplier Name,Prime ICT Supplier Capability Type,Other Supplier Name 1,Other Supplier Capability Type 1,Other Supplier Name 2,Other Supplier Capability Type 2,Other Supplier Name 3,Other Supplier Capability Type 3,Other Supplier Name 4,Other Supplier Capability Type 4,Date of Current Business case,Status of Current Business case,Prime ICT Supplier - Whole Life Costs - CDEL (£'000),Prime ICT Supplier - Whole Life Costs - RDEL(£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - CDEL (£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - RDEL (£'000),Prime ICT Supplier - In Year 10/11 - CDEL (£'000),Prime ICT Supplier - In Year 10/11 - RDEL (£'000),Prime ICT Supplier - SR Period 11/12 - CDEL (£'000),Prime ICT Supplier - SR Period 11/12 - RDEL (£'000),Prime ICT Supplier - SR Period 12/13 - CDEL (£'000),Prime ICT Supplier - SR Period 12/13 - RDEL (£'000),Prime ICT Supplier - SR Period 13/14 - CDEL (£'000),Prime ICT Supplier - SR Period 13/14 - RDEL (£'000),Prime ICT Supplier - SR Period 14/15 - CDEL (£'000),Prime ICT Supplier - SR Period 14/15 - RDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs CDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs RDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - CDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - RDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - CDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - RDEL (£'000),Workstation / User devices - Included?,Workstation / User devices - % of Total spend,"COTS Corporate Applications (HR, Finance etc) - Included?","COTS Corporate Applications (HR, Finance etc) - % of Total",Business Applications Included?,Business Applications Included - % of Total,Networks - Included?,Networks - % of Total spend,Data Centres - Included?,Data Centres - % of Total spend,Email  - Included?,Email  - % of Total spend,"Operating System Platform (Windows, Linux etc) - Included?","Operating System Platform (Windows, Linux etc) - % of Total",Service Desks - Included?,Service Desks - % of Total spend,Contact Centres / Customer Relationship Management - Included?,Contact Centres / Customer Relationship Management - % of total,Telecommunications - Included?,Telecommunications - % of Total spend,Online Services  - Included?,Online Services  - % of Total spend,Other - % of Total spend,Date of SRO's last assessment,OGC review stage,Coalition Programme for Government
C106e,P106,Extend The eMed3 Throughout GB,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,40431,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C107,P107,Fraud Referral and Intervention Management System (FRAIMS) Release 3,Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,"No business case as functional release changes only, not Project",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C108a,P108,Future Contracting Strategy,Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 0 Strategic Assessment ,Not Stated
C108b,P108,Future Contracting Strategy,Department for Work and Pensions,DWP - Corporate Information Technology,41364,41029,41729,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Yes,40,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,29,Yes,31,Not Stated,,,,Gateway 0 Strategic Assessment ,Deficit Reduction
C108c,P108,Future Contracting Strategy,Department for Work and Pensions,DWP - Corporate Information Technology,41578,41578,41882,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,,,Gateway 0 Strategic Assessment ,Deficit Reduction
C108d,P108,Future Contracting Strategy,Department for Work and Pensions,DWP - Corporate Information Technology,41333,41333,42058,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,85,Not Stated,,Yes,15,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 0 Strategic Assessment ,Deficit Reduction
C108e,P108,Future Contracting Strategy,Department for Work and Pensions,DWP - Corporate Information Technology,40511,40623,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Yes,15,Yes,75,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,10,Not Stated,,Not Stated,,Not Stated,,,,Gateway 0 Strategic Assessment ,Deficit Reduction
C109,P109,HSE Information Systems and Technology,Department for Work and Pensions,DWP - Health and Safety Executive,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Outline Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,,,Gateway 2 Delivery Strategy,Not Stated
C110a,P110,Implementation of recommendations of review of Work Capability Assessment ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C110b,P110,Implementation of recommendations of review of Work Capability Assessment ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C110c,P110,Implementation of recommendations of review of Work Capability Assessment ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C110d,P110,Implementation of recommendations of review of Work Capability Assessment ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,40909,,40909,Atos Origin,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C110e,P110,Implementation of recommendations of review of Work Capability Assessment ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C111a,P111,Jobpoint Replacement ,Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Draft Outline business case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C111b,P111,Jobpoint Replacement ,Department for Work and Pensions,DWP - Jobcentre Plus,40483,40483,,,,Fujitsu,Workstation / User devices,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,8188,,,,8188,,,,,,,,,,,,,,,,,,,,,,,,Yes,73,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,2,Not Stated,,Not Stated,,Not Stated,,Not Stated,,25,,,Jobs and Welfare
C112a,P112,Loss of Benefit for Fraud (One Strike),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40323,Full Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C112b,P112,Loss of Benefit for Fraud (One Strike),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C112c,P112,Loss of Benefit for Fraud (One Strike),Department for Work and Pensions,DWP - Jobcentre Plus,,,40482,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40323,,0,37,0,0,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C112d,P112,Loss of Benefit for Fraud (One Strike),Department for Work and Pensions,DWP - Jobcentre Plus,,,40543,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40323,,0,539,0,120,0,419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C112e,P112,Loss of Benefit for Fraud (One Strike),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40323,,0,498,0,498,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C113a,P113,Method of Payment Reform Programme Introduction of New Method of Payment (Release 4/5),Department for Work and Pensions,DWP - Department for Work and Pensions,40483,40483,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 0 Strategic Assessment ,Jobs and Welfare
C113b,P113,Method of Payment Reform Programme Introduction of New Method of Payment (Release 4/5),Department for Work and Pensions,DWP - Department for Work and Pensions,40483,40483,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Full Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 0 Strategic Assessment ,Not Stated
C114,P114,Payment on Account (PoA),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Strategic Outline Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 0 Strategic Assessment ,Not Stated
C115a,P115,Pensions Reform Delivery Programme,Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Full Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 5 Operations review and benefits realisations,Not Stated
C115b,P115,Pensions Reform Delivery Programme,Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",,,40512,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,11,,,,11,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 5 Operations review and benefits realisations,Pensions and Older People
C115c,P115,Pensions Reform Delivery Programme,Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",,40359,,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,58,,,,58,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 5 Operations review and benefits realisations,Pensions and Older People
C115d,P115,Pensions Reform Delivery Programme,Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",,,40359,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,106,,,,106,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 5 Operations review and benefits realisations,Pensions and Older People
C115e,P115,Pensions Reform Delivery Programme,Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",,,40349,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,1453,,273,,1180,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 5 Operations review and benefits realisations,Pensions and Older People
C116a,P116,Provider Referrals and Payments (PRaP),Department for Work and Pensions,DWP - Employment Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Below the Line paper - Investment Committee 18.03.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 4 Readiness for service,Not Stated
C116b,P116,Provider Referrals and Payments (PRaP),Department for Work and Pensions,DWP - Employment Group,40360,40360,,,,ORACLE,"COTS Corporate Applications (HR, Finance etc.)",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,365,820,,,365,164,,164,,164,,164,,164,Not Stated,,Yes,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 4 Readiness for service,Deficit Reduction
C116c,P116,Provider Referrals and Payments (PRaP),Department for Work and Pensions,DWP - Employment Group,,,40421,,40343,HP,"COTS Corporate Applications (HR, Finance etc.)",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,666,1800,,,149,316,179,379,173,379,147,379,17,347,,,,,,,,,,,,,,,Not Stated,,Yes,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,,Not Stated,,Not Stated,,Yes,,,,Gateway 4 Readiness for service,Deficit Reduction
C117,P117,RM Service Improvement - Performance and Automated Regression Test ,Department for Work and Pensions,DWP - Department for Work and Pensions,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Full Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deficit Reduction
C118,P118,SDP Error Reduction (Spend to Save),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C119a,P119,Spend to Save: Applying Business Rules at the Point of Claim,Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,"Spend to Save bid - project pre Gate Zero, SOBC in early stages ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C119b,P119,Spend to Save: Applying Business Rules at the Point of Claim,Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Deficit Reduction
C120a,P120,Strategic Single Diary solution for JCP (AJCS Diary Replacement Project),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Strategic Outline Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C120b,P120,Strategic Single Diary solution for JCP (AJCS Diary Replacement Project),Department for Work and Pensions,DWP - Jobcentre Plus,,40422,,,,Fujitsu,Workstation / User devices,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,Yes,100,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,Jobs and Welfare
C120c,P120,Strategic Single Diary solution for JCP (AJCS Diary Replacement Project),Department for Work and Pensions,DWP - Jobcentre Plus,40392,40392,,,,HP,Data Centres,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,350,,,,350,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,No,,Yes,60,No,,No,,Yes,40,No,,No,,No,,,,,Jobs and Welfare
C120d,P120,Strategic Single Diary solution for JCP (AJCS Diary Replacement Project),Department for Work and Pensions,DWP - Jobcentre Plus,40392,40392,40391,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,940,4400,0,0,940,,0,400,0,400,0,400,0,400,,,,,,,,,,,,,,,No,,Yes,15,Yes,85,No,,No,,No,,No,,No,,No,,No,,No,,,,,Jobs and Welfare
C121,P121,Telephony and Processing Implementation Project (TPIP),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Full Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C122a,P122,The Accessibility Improvement Programme (AIP),Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Strategic Outline Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C122b,P122,The Accessibility Improvement Programme (AIP),Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,19,17,,13,18,5,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,100,,,Equalities
C122c,P122,The Accessibility Improvement Programme (AIP),Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Equalities
C122d,P122,The Accessibility Improvement Programme (AIP),Department for Work and Pensions,DWP - Corporate Information Technology,40449,,,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,668,413,0,246,668,167,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Equalities
C122e,P122,The Accessibility Improvement Programme (AIP),Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,268,102,0,35,268,67,0,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Equalities
C123,P123,Transforming Labour Market Services (TLMS),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,Strategic Outline Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Not Applicable,Not Stated
C124a,P124,Welfare Reform – National Insurance Contributions Conditions Changes ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C124b,P124,Welfare Reform – National Insurance Contributions Conditions Changes ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C124c,P124,Welfare Reform – National Insurance Contributions Conditions Changes ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C124d,P124,Welfare Reform – National Insurance Contributions Conditions Changes ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C124e,P124,Welfare Reform – National Insurance Contributions Conditions Changes ,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,40463,,,Capgemini,Networks,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,,,1473,,137,,1332,,1,,1,,1,,1,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C125,P125,Work Programme,Department for Work and Pensions,DWP - Employment Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40390,Strategic Outline Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 0 Strategic Assessment ,Not Stated
C126,P126,Childrens Datasets,Department of Health,DH - Department of Health,,,,,,NHS CFH Systems and Service Delivery (SSD),Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Outline Business Case stage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,50,,,,10,,,,10,,15,,15,,,,,,,Gateway 2 Delivery Strategy,NHS
