"Figure 6.1: Key telecoms indicators, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.55: Total telecoms service retail revenue per person, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£s per annum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,505.3,516.1,543.1,550.4,590,626.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,515.3,536.1,555.1,585.9,598.2,598.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,624.9,626.2,634.7,629.4,587.4,574.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,430.2,452.5,473.9,502,522.9,539.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,448.6,469,477.1,491.8,508.4,506.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,496.2,494,488.9,475.3,466.4,452.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,404.2,421,436.8,456,458.8,441.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,432.2,441.3,440.7,444.5,447.9,439.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,599,586.6,581,593.1,593.5,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,536.5,527.3,519.1,504.9,517.2,521.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,409.7,449.9,463.2,488.1,489.2,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,408.6,415.1,407.2,422.1,419.3,426.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,139.3,146,157.8,158.6,161.7,154.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,101,114.3,120,132.4,144.1,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,48.9,58.4,75.5,97.6,115.2,116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,35.2,38.2,41,43.8,45.6,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,5.9,6.2,7.1,8.4,9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Total telecoms service revenue excludes revenue from narrowband internet and corporate data services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.56: Fixed-line voice retail revenue per person, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£s per annum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,258.1,246.2,230,225.2,215,201.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,261.4,246.1,233.3,217.8,209.4,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,230.6,220.9,211.8,203.9,198.3,190.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,217.8,210.6,197.9,182.6,169.9,154.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,210.7,204.9,197.7,183.3,166.8,152.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,199,190.6,179.7,171.9,163.7,150.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,182.9,169.3,163.8,160.2,155.1,148.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,194.1,180.7,166.4,162.8,152.8,143.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,286.9,255.5,245.5,239.4,237.3,211.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,209,196.8,176.4,166,150.4,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,206,198.2,175.5,153.6,144.1,139.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,163.7,162.4,147.9,139.6,134.7,118.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,65.5,69.5,67.3,67.6,71.3,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,23.8,26.2,30.7,35.3,37.7,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,57.1,53.2,51.2,44.9,39.8,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,15,15.2,14.9,13.6,12.3,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,4,3.8,3.5,3.1,2.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.57: Mobile retail revenue per person, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£s per annum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,383.2,380.6,387.8,388.9,357.6,353.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,226.9,245.2,263.1,276.9,310.2,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,223,245.7,268.9,294.7,311.4,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,225.1,244.4,253.5,263.9,277.9,280.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,151.1,175.5,198.4,225.4,246.1,262.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,198.7,216.4,228.6,244.9,250.4,240.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,251.6,251.3,251.3,243.8,242.1,239.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,213.8,229.2,230.2,232.2,238.9,235.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,212.5,243.5,266,292.7,291.6,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,268.3,257.1,257.4,257.1,272.1,267.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,297.1,305.5,301.4,308.5,307.3,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,152.8,159.5,162.7,182.5,189.4,205.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,78.8,85.5,94.4,100.6,106.8,104.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,35.6,44.8,52.7,64.7,72.8,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,25.2,32.2,44.8,62.4,77.6,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,20.2,22.9,26.2,30.3,33.4,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,1.9,2.4,3.7,5.3,6.5,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN include revenues from incoming mobile calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.58: Fixed broadband retail revenue per person, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£s per annum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,49,56,64,73,79,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,17,25,47,56,70,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,34,44,56,66,72,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,25,34,44,56,67,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,31,41,49,57,63,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,24,31,44,49,56,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,27,32,40,49,54,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,23,35,44,51,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,62,72,86,94,101,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,47,59,68,74,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,33,44,49,56,63,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,15,26,34,45,49,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,3,7,12,13,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.59: Proportion of users of a service who have switched provider in the last twelve months, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed line,16%,16%,18%,11%,10%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile,13%,14%,18%,15%,10%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband,15%,15%,18%,14%,14%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total sample: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Proportion of people with each service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.60: Fixed lines per 100 population, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,58.7,53.5,66.3,50.1,60.4,59.1,54.6,57.6,48.2,58.1,70.9,47.6,32.6,21.1,27.2,4.1,19.8,,,,,,,,,,,,,,,,,,
2009,53.9,37,57.5,37.3,46,55.6,39.1,48.2,42.7,36.5,56.8,42.5,25.7,20.8,32.5,3.2,23.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Calculation includes business connections ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.61: Household take-up of fixed line services, 2008 and 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,94%,94%,95%,91%,77%,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,84%,81%,85%,68%,65%,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.62: Mobile connections per 100 population, 2004 and 2009 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,99.5,71,86.6,108,59.6,46.1,67,88.8,90.3,96.9,109.4,93.3,59.9,35.3,52,4.4,24.5,,,,,,,,,,,,,,,,,,
2009,129.1,95.1,131.5,151.7,93,69.9,87.1,119.2,117.4,124.9,133.1,115,117.3,87,148.8,45.1,56.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Calculation includes business connections ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.63: Household take-up of mobile telephony services, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90%,84%,81%,91%,84%,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.64: Split of mobile connections by type, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,,
,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,
Pre-pay,66%,59%,38%,31%,51%,56%,91%,87%,9%,20%,22%,20%,3%,1%,45%,44%,52%,38%,63%,49%,47%,38%,73%,68%,57%,52%,81%,83%,74%,95%,74%,91%,58%,72%,
Contract,34%,41%,62%,69%,49%,44%,9%,13%,90%,80%,78%,77%,97%,99%,55%,56%,48%,62%,37%,51%,53%,62%,27%,33%,43%,48%,20%,17%,26%,5%,26%,9%,42%,28%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.65: Household penetration of fixed and mobile telephony, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed only,6%,4%,5%,2%,10%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed and mobile,78%,77%,80%,66%,55%,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile only,13%,13%,12%,29%,29%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No phone,3%,6%,3%,3%,6%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.66: Monthly fixed-line voice call minutes per person, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,447,406,361,327,267,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,226,220,206,200,188,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,157,172,184,183,176,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,323,289,259,224,194,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,196,184,177,170,166,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,140,141,139,139,142,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,142,135,132,124,122,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,105,89,78,69,62,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,310,301,271,252,232,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,197,194,195,178,169,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,137,135,129,127,124,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,,,149,133,123,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,113,102,92,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,61,63,61,59,43,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Figures for USA and CAN exclude local and VoIP calls and include incoming mobile calls; data for BRA is only available from 2005, data for NED is only available from 2006 and data for CHN is only available from 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.67: Monthly mobile voice call minutes per person, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,321.3,422.6,502.4,586.9,602.3,617.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,158,201.8,234.2,261,300,311.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,136.6,159.1,179.6,203.5,227.6,253.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,86.1,99.7,111.6,129,155.8,163.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,88.9,98.4,113,135.9,149.9,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,98.9,108.2,123.8,130.2,132.4,130.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,41.5,45.5,57.6,77.2,87.1,92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,73.4,75.7,79.2,82.2,87.5,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,65.8,85.4,115,159.5,208.6,247.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,102.5,143.9,166.8,176,195.7,198.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,97.4,113.1,137,167.7,206.4,185.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,70.7,91.9,116.8,144.2,166.5,181.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,34.3,46.2,57.6,90.7,150.4,164.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,71.9,92,108.4,124.9,129.1,127.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,28.1,35.3,56.7,75.1,92.1,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,8.4,15.4,31.9,55.5,79.1,103.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,26.1,26.7,32.2,45.9,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Data for USA, CAN and CHN includes incoming calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.68: Monthly fixed and mobile call volumes per person, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,,USA,,CAN,,CHN,
,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,,2004,2009,2004,2009,2004,2009
Fixed,226.5,178.8,140.1,141.2,196.1,160.9,142.1,116.6,104.9,57.1,447,212.7,136.8,122.2,0,113.9,309.8,202.4,196.8,149.7,60.6,34.5,0,91.3,0,0,0,0,,323.1,167,157,174,0,10
Mobile,88.9,159,98.9,130.9,41.5,92.1,86.1,163.2,73.4,91,136.6,253.6,71.9,127.6,102.5,198.8,70.7,181.8,97.4,185.4,28.1,107.2,0,53.5,34.3,164.7,8.4,103.4,,321.3,618,158,312,66,248
Total,315.4,337.8,239,272.1,237.6,253,228.2,279.8,178.3,148.1,583.6,466.2,208.7,249.7,102.5,312.7,380.5,384.1,294.2,335.1,88.7,141.6,0,144.9,34.3,164.7,8.4,103.4,,644.5,784,315,486,66,258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Fixed figures for USA and CAN exclude local and VoIP calls; mobile figures for USA, CAN and CHN include incoming calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.69: Use of telephony services, by country, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
