Title:,River Water Quality: 1990 to 2006,,,,,,,,,,,,,,,,,,,,,
North West,177,South Ribble,1998,chemistry,0,12.1,8.6,3.7,17.1,0.5,42.1,0,28.8,20.5,8.8,40.6,1.3,28.8,29.3,40.6,1.3,
North West,177,South Ribble,1999,chemistry,0,12.1,15.5,3.5,8.8,2.3,42.1,0,28.8,36.7,8.3,20.8,5.4,28.8,45,20.8,5.4,
North West,177,South Ribble,2000,biology,0,0,7,5.8,24,5.3,42.1,0.1,0,16.5,13.7,57,12.7,0.1,30.2,57,12.7,
North West,177,South Ribble,2000,chemistry,0,8.8,18.7,1.3,11.1,2.3,42.1,0,20.8,44.3,3.1,26.4,5.4,20.8,47.4,26.4,5.4,
North West,177,South Ribble,2000,nitrate,0,12.2,16.4,10.4,1.2,1.9,42.1,0,29,39,24.7,2.7,4.6,,,,,7.4
North West,177,South Ribble,2000,phosphate,0,0,0,14,18.3,9.9,42.1,0,0,0,33.1,43.4,23.5,,,,,100
North West,177,South Ribble,2001,chemistry,0,17,9.8,2.2,1.9,11.1,42.1,0,40.4,23.3,5.2,4.6,26.5,40.4,28.5,4.6,26.5,
North West,177,South Ribble,2001,nitrate,0,15.6,19.8,3.6,1.2,1.9,42.1,0,37,47.1,8.5,2.7,4.6,,,,,7.4
North West,177,South Ribble,2001,phosphate,0,0,0,10.6,21.6,9.9,42.1,0,0,0,25.2,51.3,23.5,,,,,100
North West,177,South Ribble,2002,nitrate,0,16,16.6,6.4,1.2,1.9,42.1,0,38,39.5,15.2,2.7,4.6,,,,,7.4
North West,177,South Ribble,2002,phosphate,0,0,0,10.6,21.6,9.9,42.1,0,0,0,25.2,51.3,23.5,,,,,100
North West,177,South Ribble,2002,chemistry,0,2,22,5,8.7,4.4,42.1,0,4.7,52.3,11.9,20.7,10.3,4.7,64.2,20.7,10.3,
North West,177,South Ribble,2002,biology,0,0.2,7.7,6.1,22.9,5.3,42.1,0.1,0.4,18.3,14.4,54.2,12.7,0.4,32.7,54.2,12.7,
North West,177,South Ribble,2003,chemistry,0,12.1,14.6,2,4.3,9,42.1,0,28.8,34.6,4.8,10.3,21.5,28.8,39.4,10.3,21.5,
North West,177,South Ribble,2003,nitrate,0,16,9.8,13.2,1.2,1.9,42.1,0,38,23.3,31.3,2.7,4.6,,,,,7.4
North West,177,South Ribble,2003,phosphate,0,0,0,14.1,18.1,9.9,42.1,0,0,0,33.5,43,23.5,,,,,100
North West,177,South Ribble,2003,biology,0,3.8,4.5,6.1,27.5,0.3,42.1,0.1,8.9,10.7,14.4,65.3,0.6,9,25.1,65.3,0.6,
North West,177,South Ribble,2004,chemistry,0,5.6,16.4,6.2,12,2,42.1,0,13.3,38.9,14.6,28.5,4.7,13.3,53.5,28.5,4.7,
North West,177,South Ribble,2004,nitrate,0,16,9.8,13.2,1.2,1.9,42.1,0,38,23.3,31.3,2.7,4.6,,,,,7.4
North West,177,South Ribble,2004,biology,0,3.8,4.5,16.2,17.6,0,42.1,0.1,8.9,10.7,38.6,41.7,0,9,49.3,41.7,0,
North West,177,South Ribble,2004,phosphate,0,0,0,13.7,18.5,9.9,42.1,0,0,0,32.6,43.9,23.5,,,,,100
North West,177,South Ribble,2005,phosphate,0,0,0,8.8,23.4,9.9,42.1,0,0,0,20.9,55.6,23.5,,,,,100
North West,177,South Ribble,2005,biology,0,6.8,0.6,14.1,20.7,0,42.1,0.1,16.2,1.4,33.4,49.1,0,16.2,34.7,49.1,0,
North West,177,South Ribble,2005,chemistry,0,6.8,15,10.7,7.7,2,42.1,0,16.2,35.6,25.3,18.2,4.7,16.2,60.9,18.2,4.7,
North West,177,South Ribble,2005,nitrate,0,14,12.2,12.8,1.2,1.9,42.1,0,33.3,29,30.3,2.7,4.6,,,,,7.4
North West,177,South Ribble,2006,nitrate,0,10.2,17.6,11.1,1.2,1.9,42.1,0,24.3,41.9,26.5,2.7,4.6,,,,,7.4
North West,177,South Ribble,2006,phosphate,0,0,0,8.8,27.9,5.4,42.1,0,0,0,20.9,66.3,12.8,,,,,100
North West,177,South Ribble,2006,biology,0,6.8,0.6,15.2,19.5,0,42.1,0.1,16.2,1.4,36,46.4,0,16.2,37.4,46.4,0,
North West,177,South Ribble,2006,chemistry,0,15,12,6.4,6.8,2,42.1,0,35.7,28.4,15.1,16.1,4.7,35.7,43.5,16.1,4.7,
North West,178,St. Helens,1990,biology,0,0,0,0,2.7,10.1,12.8,0,0,0,0,21.4,78.6,0,0,21.4,78.6,
North West,178,St. Helens,1990,chemistry,0,0,0,0,11.6,0.9,12.6,0,0,0,0,92.6,7.4,0,0,92.6,7.4,
North West,178,St. Helens,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,178,St. Helens,1990,phosphate,0,0,3.8,0.9,3.6,0,8.2,0,0,45.7,11.3,43.1,0,,,,,54.3
North West,178,St. Helens,1993,chemistry,0,0,0,4.2,5.8,3.7,13.6,0,0,0,30.5,42.5,26.9,0,30.5,42.5,26.9,
North West,178,St. Helens,1994,chemistry,0,0,18.2,6.5,5.5,7.9,38.2,0,0,47.7,17.1,14.5,20.8,0,64.7,14.5,20.8,
North West,178,St. Helens,1995,phosphate,0,2.4,3.6,23.6,6.4,2.3,38.2,0,6.2,9.4,61.7,16.8,5.9,,,,,84.4
North West,178,St. Helens,1995,biology,0,0,0,5.8,15.1,3.6,24.6,0,0,0,23.8,61.6,14.6,0,23.8,61.6,14.6,
North West,178,St. Helens,1995,chemistry,0,0,12.7,11.8,10.5,3.2,38.2,0,0,33.3,30.9,27.5,8.4,0,64.2,27.5,8.4,
North West,178,St. Helens,1995,nitrate,2.4,13.6,22.3,0,0,0,38.2,6.2,35.5,58.3,0,0,0,,,,,0
North West,178,St. Helens,1996,chemistry,0,2,17.9,8.5,7.6,2.3,38.2,0,5.2,46.7,22.3,19.8,5.9,5.2,69.1,19.8,5.9,
North West,178,St. Helens,1997,chemistry,0,1.9,18,11,5.1,2.3,38.2,0,5,47,28.7,13.4,5.9,5,75.7,13.4,5.9,
North West,178,St. Helens,1998,chemistry,0,8.3,19.6,6.5,1.6,2.3,38.2,0,21.7,51.3,16.9,4.1,5.9,21.7,68.2,4.1,5.9,
North West,178,St. Helens,1999,chemistry,0,14.2,8.4,11.8,3.8,0,38.2,0,37,22,31,10,0,37,52.9,10,0,
North West,178,St. Helens,2000,biology,0,0,3.5,5.9,20.5,0.4,30.3,0,0,11.4,19.6,67.7,1.3,0,31,67.7,1.3,
North West,178,St. Helens,2000,chemistry,0,14.2,9.6,10.6,3.8,0,38.2,0,37,25.1,27.9,10,0,37,52.9,10,0,
North West,178,St. Helens,2000,nitrate,0,2.8,25.3,10.1,0,0,38.2,0,7.3,66.2,26.5,0,0,,,,,0
North West,178,St. Helens,2000,phosphate,0,0,2.8,21.2,12,2.3,38.2,0,0,7.3,55.5,31.3,5.9,,,,,92.7
North West,178,St. Helens,2001,chemistry,0,4.3,15.5,14.6,3.8,0,38.2,0,11.2,40.6,38.1,10,0,11.2,78.8,10,0,
North West,178,St. Helens,2001,nitrate,0,6.5,21.3,10.4,0,0,38.2,0,17.1,55.7,27.2,0,0,,,,,0
North West,178,St. Helens,2001,phosphate,0,0,6.5,19.5,10,2.3,38.2,0,0,17.1,50.9,26,5.9,,,,,82.9
North West,178,St. Helens,2002,phosphate,0,0,7.5,22,6.4,2.3,38.2,0,0,19.7,57.6,16.8,5.9,,,,,80.3
North West,178,St. Helens,2002,nitrate,0,9.3,18.5,10.4,0,0,38.2,0,24.3,48.5,27.2,0,0,,,,,0
North West,178,St. Helens,2002,chemistry,0,9.8,19.5,5.1,3.8,0,38.2,0,25.5,51,13.4,10,0,25.5,64.5,10,0,
North West,178,St. Helens,2002,biology,0,0,3.5,12.5,14.6,0.4,31,0,0,11.2,40.4,47.1,1.3,0,51.6,47.1,1.3,
North West,178,St. Helens,2003,chemistry,0,7.8,8.4,17.3,4.8,0,38.2,0,20.3,22,45.2,12.5,0,20.3,67.2,12.5,0,
North West,178,St. Helens,2003,nitrate,0,4.8,23,10.4,0,0,38.2,0,12.6,60.2,27.2,0,0,,,,,0
North West,178,St. Helens,2003,phosphate,0,0,8.5,21,6.4,2.3,38.2,0,0,22.3,55,16.8,5.9,,,,,77.7
North West,178,St. Helens,2003,biology,0,0,3.5,15.7,19.1,0,38.2,0,0,9.1,41,49.9,0,0,50.1,49.9,0,
North West,178,St. Helens,2004,chemistry,1.9,12.4,9.1,10,2.5,2.3,38.2,5,32.5,23.9,26,6.6,5.9,37.5,50,6.6,5.9,
North West,178,St. Helens,2004,nitrate,0,0.7,29.4,8.1,0,0,38.2,0,1.7,77,21.3,0,0,,,,,0
North West,178,St. Helens,2004,biology,0,0,3.5,15.7,17.5,1.6,38.2,0,0,9.1,41,45.8,4.1,0,50.1,45.8,4.1,
North West,178,St. Helens,2004,phosphate,0,0,4.8,24.8,6.4,2.3,38.2,0,0,12.5,64.8,16.8,5.9,,,,,87.5
North West,178,St. Helens,2005,phosphate,0,0,10.1,19.4,6.4,2.3,38.2,0,0,26.5,50.9,16.8,5.9,,,,,73.5
North West,178,St. Helens,2005,biology,0,0,3.5,7.5,17.5,1.6,30.1,0,0,11.5,25,58.2,5.2,0,36.5,58.2,5.2,
North West,178,St. Helens,2005,chemistry,1.9,9.4,12.2,4.5,8,2.3,38.2,5,24.5,31.9,11.7,20.9,5.9,29.5,43.7,20.9,5.9,
North West,178,St. Helens,2005,nitrate,0,0,27.8,10.4,0,0,38.2,0,0,72.8,27.2,0,0,,,,,0
North West,178,St. Helens,2006,phosphate,0,2.4,8.4,18.8,6.4,2.3,38.2,0,6.2,22,49.1,16.8,5.9,,,,,71.8
North West,178,St. Helens,2006,nitrate,0,4.1,23.7,3.6,6.9,0,38.2,0,10.8,62,9.3,17.9,0,,,,,17.9
North West,178,St. Helens,2006,biology,0,0,3.5,14.8,10.3,1.6,30.1,0,0,11.5,49.1,34.1,5.2,0,60.7,34.1,5.2,
North West,178,St. Helens,2006,chemistry,0,14.3,9.1,8.9,5.8,0,38.2,0,37.5,23.9,23.3,15.2,0,37.5,47.3,15.2,0,
North West,179,Stockport,1990,biology,0,0,0,12.2,23.3,14.3,49.8,0,0,0,24.5,46.8,28.7,0,24.5,46.8,28.7,
North West,179,Stockport,1990,chemistry,0,0,2.8,34.2,23.8,0,60.8,0,0,4.6,56.3,39.1,0,0,60.9,39.1,0,
North West,179,Stockport,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,179,Stockport,1990,phosphate,0,7.5,7.1,0,30,16.8,61.3,0,12.3,11.5,0,48.8,27.4,,,,,76.2
North West,179,Stockport,1993,chemistry,0,17.1,25.3,14.4,21.8,0,78.5,0,21.8,32.2,18.3,27.8,0,21.8,50.4,27.8,0,
North West,179,Stockport,1994,chemistry,0,15.8,29.8,21.5,11.4,0,78.5,0,20.1,37.9,27.4,14.5,0,20.1,65.3,14.5,0,
North West,179,Stockport,1995,phosphate,0,0,16.6,10,38.8,13.2,78.5,0,0,21.1,12.7,49.4,16.8,,,,,78.9
North West,179,Stockport,1995,biology,0,2,19.2,22.7,18.3,0,62.1,0,3.2,30.9,36.5,29.5,0,3.2,67.3,29.5,0,
North West,179,Stockport,1995,chemistry,0,7.3,35.6,21.2,14.4,0,78.5,0,9.3,45.3,27,18.3,0,9.3,72.3,18.3,0,
North West,179,Stockport,1995,nitrate,15.6,20.2,23,9.9,9.7,0,78.5,19.9,25.7,29.3,12.7,12.4,0,,,,,12.4
North West,179,Stockport,1996,chemistry,0,7.3,34,14.1,23.1,0,78.5,0,9.3,43.3,17.9,29.5,0,9.3,61.2,29.5,0,
North West,179,Stockport,1997,chemistry,0,17.1,25.8,17.3,18.3,0,78.5,0,21.8,32.8,22.1,23.3,0,21.8,54.9,23.3,0,
North West,179,Stockport,1998,chemistry,2,17.5,21.5,18.2,19.4,0,78.5,2.5,22.3,27.3,23.2,24.7,0,24.8,50.5,24.7,0,
North West,179,Stockport,1999,chemistry,4.8,14.7,24.5,22.3,12.3,0,78.5,6.1,18.7,31.2,28.4,15.6,0,24.8,59.6,15.6,0,
North West,179,Stockport,2000,biology,0,2,23.9,24.1,13.5,0.5,63.9,0,3.1,37.3,37.7,21.1,0.8,3.1,75,21.1,0.8,
North West,179,Stockport,2000,chemistry,9.5,10.7,28.7,20.8,8.9,0,78.5,12,13.6,36.5,26.5,11.3,0,25.6,63,11.3,0,
North West,179,Stockport,2000,nitrate,11.8,18.5,35.1,9.7,0,3.4,78.5,15,23.6,44.7,12.4,0,4.3,,,,,4.3
North West,179,Stockport,2000,phosphate,0,10.3,4.3,12.6,38.2,13.1,78.5,0,13.1,5.5,16.1,48.7,16.7,,,,,81.4
North West,179,Stockport,2001,chemistry,4.8,18.9,25.5,21.9,7.5,0,78.5,6.1,24.1,32.4,27.9,9.6,0,30.1,60.3,9.6,0,
North West,179,Stockport,2001,nitrate,11.8,26,27.6,9.7,0,3.4,78.5,15,33.1,35.2,12.4,0,4.3,,,,,4.3
North West,179,Stockport,2001,phosphate,0,10.3,4.3,12.6,35.3,16,78.5,0,13.1,5.5,16.1,44.9,20.4,,,,,81.4
North West,179,Stockport,2002,nitrate,12.9,25,27.6,13.1,0,0,78.5,16.4,31.8,35.2,16.7,0,0,,,,,0
North West,179,Stockport,2002,phosphate,0,10.3,4.3,12.6,38.7,12.6,78.5,0,13.1,5.5,16.1,49.2,16.1,,,,,81.4
North West,179,Stockport,2002,biology,0,2,7.7,37.8,16.5,0,63.9,0,3.1,12.1,59.1,25.8,0,3.1,71.2,25.8,0,
North West,179,Stockport,2002,chemistry,2.8,26.3,18.6,22.4,8.4,0,78.5,3.5,33.5,23.7,28.5,10.7,0,37.1,52.2,10.7,0,
North West,179,Stockport,2003,biology,0,0,7.7,36.3,19.9,0,63.9,0,0,12.1,56.7,31.2,0,0,68.8,31.2,0,
North West,179,Stockport,2003,chemistry,4.8,26,16.6,21.4,9.8,0,78.5,6.1,33.1,21.1,27.2,12.5,0,39.2,48.3,12.5,0,
North West,179,Stockport,2003,nitrate,12.9,20.3,32.8,12.6,0,0,78.5,16.4,25.8,41.7,16.1,0,0,,,,,0
North West,179,Stockport,2003,phosphate,0,7.5,7.1,11.3,40,12.6,78.5,0,9.6,9,14.4,50.9,16.1,,,,,81.4
North West,179,Stockport,2004,chemistry,2.8,26.3,10.5,27,11.9,0,78.5,3.5,33.5,13.3,34.4,15.1,0,37.1,47.8,15.1,0,
North West,179,Stockport,2004,nitrate,11.8,21.8,28.6,16.3,0,0,78.5,15,27.8,36.4,20.7,0,0,,,,,0
North West,179,Stockport,2004,biology,0,0,13.8,28.9,21.2,0,63.9,0,0,21.6,45.2,33.1,0,0,66.9,33.1,0,
North West,179,Stockport,2004,phosphate,0,7.5,7.1,2.8,51.4,9.7,78.5,0,9.6,9,3.6,65.4,12.4,,,,,81.4
North West,179,Stockport,2005,biology,0,0,13.2,29.6,17.6,3.6,63.9,0,0,20.6,46.3,27.5,5.7,0,66.9,27.5,5.7,
North West,179,Stockport,2005,chemistry,4.8,24.4,23.9,13.6,11.9,0,78.5,6.1,31,30.5,17.3,15.1,0,37.1,47.8,15.1,0,
North West,179,Stockport,2005,nitrate,11.8,21.8,31.5,3.6,9.7,0,78.5,15,27.8,40.2,4.6,12.4,0,,,,,12.4
North West,179,Stockport,2005,phosphate,0,7.5,7.1,2.8,51.4,9.7,78.5,0,9.6,9,3.6,65.4,12.4,,,,,81.4
North West,179,Stockport,2006,chemistry,4.8,24.6,22.8,14,12.4,0,78.5,6.1,31.3,29,17.8,15.8,0,37.4,46.9,15.8,0,
North West,179,Stockport,2006,nitrate,11.8,21.8,35.2,0,9.7,0,78.5,15,27.8,44.8,0,12.4,0,,,,,12.4
North West,179,Stockport,2006,biology,0,2.9,13.2,24.6,19.7,3.6,63.9,0,4.5,20.6,38.5,30.8,5.7,4.5,59.1,30.8,5.7,
North West,179,Stockport,2006,phosphate,0,10.3,6.5,10.2,41.9,9.7,78.5,0,13.1,8.2,13,53.3,12.4,,,,,78.6
North West,180,Tameside,1990,biology,0,0,0,1,6.2,21.1,28.4,0,0,0,3.6,22,74.4,0,3.6,22,74.4,
North West,180,Tameside,1990,chemistry,0,0,15.5,6.1,10.9,7,39.5,0,0,39.3,15.4,27.6,17.7,0,54.8,27.6,17.7,
North West,180,Tameside,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,180,Tameside,1990,phosphate,0,5.1,5.5,2.9,20.6,11.2,45.3,0,11.2,12.1,6.4,45.6,24.6,,,,,76.6
North West,180,Tameside,1993,chemistry,4,18.1,15.6,5.6,14.5,0,57.8,6.9,31.3,27,9.6,25.2,0,38.2,36.6,25.2,0,
North West,180,Tameside,1994,chemistry,8.4,13.5,14.3,11.1,10.4,0.1,57.8,14.5,23.4,24.8,19.2,18,0.1,37.9,44,18,0.1,
North West,180,Tameside,1995,biology,0,0,0,13.3,20.3,4.5,38,0,0,0,34.9,53.4,11.7,0,34.9,53.4,11.7,
North West,180,Tameside,1995,chemistry,4,25.3,12.2,8.5,7.6,0.1,57.8,6.9,43.8,21.2,14.8,13.2,0.1,50.7,35.9,13.2,0.1,
North West,180,Tameside,1995,nitrate,27.1,21.3,1.5,0,7.9,0,57.8,46.9,37,2.5,0,13.6,0,,,,,13.6
North West,180,Tameside,1995,phosphate,0,21.1,10.5,1.2,15.2,7.9,55.9,0,37.8,18.7,2.1,27.3,14.1,,,,,43.5
North West,180,Tameside,1996,chemistry,4,32.3,5.9,4.5,11,0.1,57.8,6.9,56,10.2,7.7,19.1,0.1,62.8,17.9,19.1,0.1,
North West,180,Tameside,1997,chemistry,4.7,20.4,17.1,5.1,10.5,0,57.8,8.2,35.3,29.5,8.8,18.1,0,43.5,38.3,18.1,0,
North West,180,Tameside,1998,chemistry,7.1,13.6,23.2,5.9,7.9,0.1,57.8,12.3,23.6,40.1,10.3,13.6,0.1,35.9,50.4,13.6,0.1,
North West,180,Tameside,1999,chemistry,12.8,6.5,22.9,5.1,10.4,0.1,57.8,22.1,11.3,39.7,8.8,18,0.1,33.4,48.5,18,0.1,
North West,180,Tameside,2000,biology,0,0.2,4.5,8.8,13.3,0,26.8,0,0.7,16.8,32.9,49.5,0,0.7,49.7,49.5,0,
North West,180,Tameside,2000,chemistry,13.4,8.1,20.1,5.8,10.4,0.1,57.8,23.1,14,34.7,10,18,0.1,37.2,44.7,18,0.1,
North West,180,Tameside,2000,nitrate,21.6,25.2,3.2,7.9,0,0,57.8,37.4,43.5,5.5,13.6,0,0,,,,,0
North West,180,Tameside,2000,phosphate,0,17.4,5.2,10.9,16.4,7.9,57.8,0,30.2,9,18.8,28.4,13.6,,,,,60.9
North West,180,Tameside,2001,chemistry,12,13.1,15.3,5.8,10.7,0.9,57.8,20.8,22.6,26.5,10,18.6,1.5,43.4,36.5,18.6,1.5,
North West,180,Tameside,2001,nitrate,21.6,26.8,5.9,3.4,0,0,57.8,37.4,46.5,10.3,5.9,0,0,,,,,0
North West,180,Tameside,2001,phosphate,0,16.6,6,10.9,16.4,7.9,57.8,0,28.8,10.3,18.8,28.4,13.6,,,,,60.9
North West,180,Tameside,2002,phosphate,0,16.6,6,10.9,16.4,7.9,57.8,0,28.8,10.3,18.8,28.4,13.6,,,,,60.9
North West,180,Tameside,2002,biology,0,0.2,4.3,21.6,12.1,0,38.2,0,0.5,11.2,56.6,31.7,0,0.5,67.8,31.7,0,
North West,180,Tameside,2002,chemistry,6.5,28.2,5.6,5.8,11.6,0,57.8,11.3,48.9,9.7,10.1,20.1,0,60.1,19.8,20.1,0,
North West,180,Tameside,2002,nitrate,27.1,21.3,6,3.4,0,0,57.8,46.9,36.9,10.3,5.9,0,0,,,,,0
North West,180,Tameside,2003,phosphate,0,15.5,16.3,1.7,16.4,7.9,57.8,0,26.9,28.2,2.9,28.4,13.6,,,,,45
North West,180,Tameside,2003,nitrate,27.1,19.6,3.2,7.9,0,0,57.8,46.9,33.9,5.6,13.6,0,0,,,,,0
North West,180,Tameside,2003,chemistry,16.7,20.4,5,9.6,5.9,0.1,57.8,29,35.4,8.7,16.5,10.3,0.1,64.4,25.2,10.3,0.1,
North West,180,Tameside,2003,biology,0,0.2,9.4,22.5,6.2,0,38.2,0,0.5,24.5,58.8,16.1,0,0.5,83.4,16.1,0,
North West,180,Tameside,2004,biology,0,0,10.4,15.4,9.7,0,35.5,0,0,29.2,43.3,27.4,0,0,72.6,27.4,0,
North West,180,Tameside,2004,chemistry,11.1,28.5,3.5,9.6,5.1,0,57.8,19.2,49.4,6,16.6,8.8,0,68.6,22.6,8.8,0,
North West,180,Tameside,2004,nitrate,27.1,21.3,1.5,7.9,0,0,57.8,46.9,37,2.5,13.6,0,0,,,,,0
North West,180,Tameside,2004,phosphate,0,24.8,3.3,5.4,16.4,7.9,57.8,0,42.9,5.8,9.3,28.4,13.6,,,,,51.4
North West,180,Tameside,2005,biology,0,0,10.4,15.4,9.7,0,35.5,0,0,29.2,43.3,27.4,0,0,72.6,27.4,0,
North West,180,Tameside,2005,chemistry,16.6,21.1,4.8,10.2,5.1,0,57.8,28.7,36.5,8.3,17.7,8.8,0,65.2,26,8.8,0,
North West,180,Tameside,2005,nitrate,27.1,10,12.8,4.5,3.4,0,57.8,46.9,17.3,22.2,7.7,5.9,0,,,,,5.9
North West,180,Tameside,2005,phosphate,0,26.7,1.4,5.4,16.4,7.9,57.8,0,46.1,2.5,9.3,28.4,13.6,,,,,51.4
North West,180,Tameside,2006,nitrate,21.2,27.2,0.6,5.3,3.4,0,57.8,36.7,47.2,1,9.2,5.9,0,,,,,5.9
North West,180,Tameside,2006,phosphate,0,26,5.6,1.9,16.4,7.9,57.8,0,44.9,9.7,3.3,28.4,13.6,,,,,45.4
North West,180,Tameside,2006,chemistry,16.6,18.2,8.4,7.9,6.8,0,57.8,28.7,31.5,14.5,13.6,11.7,0,60.1,28.1,11.7,0,
North West,180,Tameside,2006,biology,0,0,10.6,15.1,5.3,4.5,35.5,0,0,29.9,42.6,14.9,12.6,0,72.6,14.9,12.6,
North West,181,Trafford,1990,chemistry,0,0,1.1,2.8,35,0.1,39,0,0,2.8,7.2,89.8,0.2,0,10,89.8,0.2,
North West,181,Trafford,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,181,Trafford,1990,phosphate,0,0,1.1,2.6,0.2,44.5,48.4,0,0,2.2,5.4,0.5,92,,,,,97.8
North West,181,Trafford,1990,biology,0,0,0,0,20.7,19.4,40.1,0,0,0,0,51.5,48.5,0,0,51.5,48.5,
North West,181,Trafford,1993,chemistry,0,21.5,1.1,20.7,13.2,17.5,73.9,0,29.1,1.5,28.1,17.8,23.6,29.1,29.5,17.8,23.6,
North West,181,Trafford,1994,chemistry,0,18.1,5.9,15,13.8,21.1,73.9,0,24.5,7.9,20.3,18.7,28.6,24.5,28.2,18.7,28.6,
North West,181,Trafford,1995,biology,0,0,0,1.5,37.1,3.7,42.2,0,0,0,3.6,87.8,8.7,0,3.6,87.8,8.7,
North West,181,Trafford,1995,chemistry,0,3.4,19.5,20.8,10.4,19.9,73.9,0,4.7,26.3,28.1,14,26.9,4.7,54.4,14,26.9,
North West,181,Trafford,1995,nitrate,23.4,5.4,22.8,15.8,1,5.4,73.9,31.6,7.4,30.9,21.4,1.4,7.3,,,,,8.7
North West,181,Trafford,1995,phosphate,0,19.2,1.6,3.4,11.7,38.1,73.9,0,26,2.1,4.5,15.8,51.5,,,,,71.9
North West,181,Trafford,1996,chemistry,0,6.6,16.3,5.4,25.7,19.9,73.9,0,8.9,22.1,7.3,34.8,26.9,8.9,29.4,34.8,26.9,
North West,181,Trafford,1997,chemistry,0,3.4,22.4,3.1,28.8,16.2,73.9,0,4.7,30.2,4.2,39,22,4.7,34.4,39,22,
North West,181,Trafford,1998,chemistry,0,6.3,20.6,2,45,0,73.9,0,8.5,27.9,2.7,60.9,0,8.5,30.6,60.9,0,
North West,181,Trafford,1999,chemistry,0,6.3,17.7,23.9,26,0,73.9,0,8.5,24,32.3,35.2,0,8.5,56.3,35.2,0,
North West,181,Trafford,2000,biology,0,0,0.6,0.9,27.1,10,38.6,0,0,1.5,2.4,70.2,25.8,0,3.9,70.2,25.8,
North West,181,Trafford,2000,chemistry,0,6.8,17.6,23.9,25.6,0,73.9,0,9.2,23.8,32.3,34.6,0,9.2,56.2,34.6,0,
North West,181,Trafford,2000,nitrate,19.2,4.4,12.2,32.7,0,5.4,73.9,26,5.9,16.6,44.2,0,7.3,,,,,7.3
North West,181,Trafford,2000,phosphate,0,15.8,5,4.3,10.7,38.1,73.9,0,21.3,6.8,5.8,14.5,51.5,,,,,71.9
North West,181,Trafford,2001,chemistry,0,18.9,15,14.4,24,1.6,73.9,0,25.6,20.3,19.5,32.5,2.1,25.6,39.8,32.5,2.1,
North West,181,Trafford,2001,nitrate,19.2,7.2,23.8,18.2,0,5.4,73.9,26,9.8,32.2,24.7,0,7.3,,,,,7.3
North West,181,Trafford,2001,phosphate,0,19.2,1.6,7.4,7.6,38.1,73.9,0,26,2.1,10.1,10.3,51.5,,,,,71.9
North West,181,Trafford,2002,phosphate,0,19.2,1.6,11.8,11.2,30.2,73.9,0,26,2.1,15.9,15.1,40.9,,,,,71.9
North West,181,Trafford,2002,biology,0,0,0.6,26.7,3.1,11.9,42.2,0,0,1.4,63.2,7.2,28.2,0,64.6,7.2,28.2,
North West,181,Trafford,2002,chemistry,0,18.7,10.1,15.9,29.3,0,73.9,0,25.3,13.6,21.6,39.6,0,25.3,35.2,39.6,0,
North West,181,Trafford,2002,nitrate,19.2,8.8,22.2,18.2,0,5.4,73.9,26,11.9,30.1,24.7,0,7.3,,,,,7.3
North West,181,Trafford,2003,phosphate,0,19.2,1.6,11.8,19.1,22.3,73.9,0,26,2.1,15.9,25.9,30.1,,,,,71.9
North West,181,Trafford,2003,nitrate,19.2,13.1,3.5,32.7,5.4,0,73.9,26,17.7,4.7,44.2,7.3,0,,,,,7.3
North West,181,Trafford,2003,biology,0,0,0.6,32.7,2.4,6.5,42.2,0,0,1.4,77.5,5.7,15.3,0,78.9,5.7,15.3,
North West,181,Trafford,2003,chemistry,0,15.8,13.5,19,25.6,0,73.9,0,21.3,18.3,25.7,34.6,0,21.3,44,34.6,0,
North West,181,Trafford,2004,biology,0,0,2.9,18.3,0.1,6.5,27.8,0,0,10.5,65.9,0.3,23.3,0,76.4,0.3,23.3,
North West,181,Trafford,2004,chemistry,0,18.1,10.6,15.9,29.3,0,73.9,0,24.5,14.3,21.6,39.6,0,24.5,35.9,39.6,0,
North West,181,Trafford,2004,nitrate,19.2,13.7,2.9,32.7,5.4,0,73.9,26,18.5,4,44.2,7.3,0,,,,,7.3
North West,181,Trafford,2004,phosphate,0,19.2,1.6,7.4,39.3,6.4,73.9,0,26,2.1,10.1,53.1,8.7,,,,,71.9
North West,181,Trafford,2005,biology,0,0,2.9,7.2,17.7,0,27.8,0,0,10.5,25.9,63.5,0,0,36.5,63.5,0,
North West,181,Trafford,2005,chemistry,0,18.1,15.8,14.4,25.6,0,73.9,0,24.5,21.3,19.5,34.6,0,24.5,40.8,34.6,0,
North West,181,Trafford,2005,nitrate,19.2,13.7,2.9,23.3,9.3,5.4,73.9,26,18.5,4,31.6,12.6,7.3,,,,,20
North West,181,Trafford,2005,phosphate,0,19.2,1.6,6.8,40.8,5.5,73.9,0,26,2.1,9.2,55.3,7.4,,,,,71.9
North West,181,Trafford,2006,nitrate,19.2,13.9,17.1,8.9,9.3,5.4,73.9,26,18.8,23.2,12,12.6,7.3,,,,,20
North West,181,Trafford,2006,phosphate,12.1,7.1,1.6,3.7,44,5.5,73.9,16.4,9.6,2.1,5,59.5,7.4,,,,,71.9
