Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,100
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,100
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,257.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,58.08
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,141.12
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,682.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,159
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,185.64
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,150.92
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,150.92
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,150.92
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,86.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,157.92
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,538.46
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,141.12
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,299.67
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,299.67
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,249.27
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,159
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,173.42
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,136.2
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,308.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,538.46
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,22/08/2016,110.6
