Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,D-U-N-S Number,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,DNCC LIMITED,,Medium,,,7600006893,Revenue Grant To Be Paid,S41 7NA,"5,261.88",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,EAST ANGLIA UNIVERSITY,,,,,7600006883,Revenue Grant Clawback Offset,NR4 7TJ,-447.32,Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,EAST ANGLIA UNIVERSITY,,,,,7600006883,Revenue Grant To Be Paid,NR4 7TJ,"58,863.27",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,EEEGR,,,,,7600006886,Revenue Grant To Be Paid,NR32 1XH,"67,778.63",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HETHEL INNOVATION LTD,,Micro,,,7600006890,Revenue Grant Clawback Offset,NR14 8FB,"-2,953.76",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HETHEL INNOVATION LTD,,Micro,,,7600006890,Revenue Grant To Be Paid,NR14 8FB,"9,484.60",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LINCOLN BUSINESS IMPROVEMENT GROUP,,Small,,,7600006894,Revenue Grant To Be Paid,LN2 1HA,"28,301.60",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LOUGHBOROUGH UNIVERSITY,,Large,,,7600006892,Revenue Grant To Be Paid,LE11 3TU,"52,234.81",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,,7600006884,Revenue Grant To Be Paid,NG7 2RD,"76,445.17",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,,7600006889,Revenue Grant To Be Paid,NG7 2RD,"27,484.86",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,,7600006896,Revenue Grant To Be Paid,NG7 2RD,"23,462.50",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,,7600006897,Revenue Grant To Be Paid,NG7 2RD,"9,039.88",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,RTC NORTH LTD,,,,,7600006888,Revenue Grant To Be Paid,SR5 3HD,"38,900.45",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,RTC NORTH LTD,,,,,7600006895,Revenue Grant Clawback Offset,SR5 3HD,-7.88,Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,RTC NORTH LTD,,,,,7600006895,Revenue Grant To Be Paid,SR5 3HD,"34,721.28",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SUNDERLAND CITY COUNCIL,,,,,7600006887,Revenue Grant Clawback Offset,SR2 7DN,"-1,185.30",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SUNDERLAND CITY COUNCIL,,,,,7600006887,Revenue Grant To Be Paid,SR2 7DN,"160,255.58",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,YTKO LIMITED,,,,,7600006891,Revenue Grant To Be Paid,CB4 2QH,"12,801.67",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,BRISTOL UNIVERSITY,,Large,,,7600006885,Capital Grant To Be Paid,BS16 7FS,"951,698.02",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,EAST ANGLIA UNIVERSITY,,,,,7600006883,Capital Grant Clawback Offset,NR4 7TJ,-388.52,Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,EAST ANGLIA UNIVERSITY,,,,,7600006883,Capital Grant To Be Paid,NR4 7TJ,"116,291.51",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,LINCOLN BUSINESS IMPROVEMENT GROUP,,Small,,,7600006894,Capital Grant To Be Paid,LN2 1HA,"15,415.96",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,,7600006896,Capital Grant To Be Paid,NG7 2RD,"47,195.99",Yes
Communities & Local Government,DCLG,22/11/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,,7600006897,Capital Grant To Be Paid,NG7 2RD,"59,285.58",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ARUN DC,,,,211217668,5000238261,Decentralisation and Neigbourhood Planning,BN17 5LF,"30,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,AYLESBURY VALE DC(HSG),,,,396710709,5000238262,Decentralisation and Neigbourhood Planning,HP19 8FF,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BASINGSTOKE & DEANE BC,,,,228328506,5000238300,Decentralisation and Neigbourhood Planning,RG21 2AJ,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BATH & NE SOMERSET DC (HSG),,,,214502499,5000238263,Decentralisation and Neigbourhood Planning,BA1 5AW,"20,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRECKLAND DC,,,,232611384,5000238264,Decentralisation and Neigbourhood Planning,NR19 1EE,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRENT LB (HSG),,,,,5000238265,Decentralisation and Neigbourhood Planning,HA9 9HD,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRISTOL CITY CNCL (HSG),,,,211103882,5000238266,Decentralisation and Neigbourhood Planning,BS99 7BL,"25,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BROADLAND DC,,Large,,219737785,5000238267,Decentralisation and Neigbourhood Planning,NR7 0DU,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CARLISLE CITY CNCL,,,,227471059,5000238268,Decentralisation and Neigbourhood Planning,CA3 8QG,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHESHIRE EAST COUNCIL,,,,,5000238358,Decentralisation and Neigbourhood Planning,SK10 1DP,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHESHIRE WEST & CHESTER COUNCIL,,,,215584383,5000238359,Decentralisation and Neigbourhood Planning,CH1 2NP,"40,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHICHESTER DC,,,,739800998,5000238269,Decentralisation and Neigbourhood Planning,PO19 1TY,"20,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,COLCHESTER BC,,,,,5000238301,Decentralisation and Neigbourhood Planning,CO3 3WG,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CORNWALL UNITARY AUTHORITY,,,,211334404,5000238360,Decentralisation and Neigbourhood Planning,TR1 3AY,"25,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,COTSWOLD DC,,,,232462085,5000238270,Decentralisation and Neigbourhood Planning,GL7 1PX,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,COVENTRY CITY CNCL,,,,210384802,5000238302,Decentralisation and Neigbourhood Planning,CV1 2QL,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DAVENTRY DC,,,,239859333,5000238271,Decentralisation and Neigbourhood Planning,NN11 5AF,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DOVER DC,,,,,5000238272,Decentralisation and Neigbourhood Planning,CT16 3PD,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DURHAM UNITARY AUTHORITY,,,,224004882,5000238361,Decentralisation and Neigbourhood Planning,DH1 5UE,"15,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EALING LB,,,,,5000238303,Decentralisation and Neigbourhood Planning,W5 2HL,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST DEVON DC,,,,,5000238273,Decentralisation and Neigbourhood Planning,EX10 8HL,"35,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST STAFFORDSHIRE BC,,,,226778033,5000238274,Decentralisation and Neigbourhood Planning,DE14 2EB,"25,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EPPING FOREST DC,,,,775876360,5000238304,Decentralisation and Neigbourhood Planning,CM16 4BZ,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,FYLDE BC,,,,227479912,5000238305,Decentralisation and Neigbourhood Planning,FY8 1LW,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GUILDFORD BC,,,,236663720,5000238275,Decentralisation and Neigbourhood Planning,GU2 5BB,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,HARBOROUGH DC (HSG),,,,212935774,5000238276,Decentralisation and Neigbourhood Planning,LE16 7AG,"25,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,HORSHAM DC,,,,229776588,5000238277,Decentralisation and Neigbourhood Planning,RH12 1RL,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LEEDS CITY CNCL,,Micro,,,5000238308,Decentralisation and Neigbourhood Planning,LS1 1JF,"30,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LEWES DC,,,,213090082,5000238278,Decentralisation and Neigbourhood Planning,BN7 2DQ,"90,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LONDON BOROUGH OF HACKNEY,,,,225221597,5000238306,Decentralisation and Neigbourhood Planning,E8 4RU,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MALVERN HILLS DC,,,,227470424,5000238309,Decentralisation and Neigbourhood Planning,WR14 3AF,"25,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MELTON BC,,,,346268340,5000238279,Decentralisation and Neigbourhood Planning,LE13 0UL,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MID SUSSEX DC,,,,236675989,5000238280,Decentralisation and Neigbourhood Planning,RH16 1SS,"15,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MIDDLESBROUGH BC,,,,,5000238310,Decentralisation and Neigbourhood Planning,TS1 2QQ,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MILTON KEYNES BC,,,,,5000238311,Decentralisation and Neigbourhood Planning,MK9 3WJ,"15,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH DORSET DC,,,,236185005,5000238281,Decentralisation and Neigbourhood Planning,DT11 7LL,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH KESTEVEN DC,,,,,5000238312,Decentralisation and Neigbourhood Planning,NG34 7EF,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH WARWICKSHIRE BC,,Large,,,5000238282,Decentralisation and Neigbourhood Planning,CV9 1DE,"15,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTHAMPTON BOROUGH COUNCIL,,,,228310017,5000238313,Decentralisation and Neigbourhood Planning,NN4 4FF,"15,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,POOLE BC (HSG),,,,,5000238283,Decentralisation and Neigbourhood Planning,BH15 2RU,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RIBBLE VALLEY BC,,,,232617894,5000238284,Decentralisation and Neigbourhood Planning,BB7 2RA,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ROTHER DC (HSG),,,,,5000238285,Decentralisation and Neigbourhood Planning,TN39 3JX,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ROYAL BOROUGH OF KENSINGTON & CHELS,,,,211124466,5000238307,Decentralisation and Neigbourhood Planning,W8 7NX,"30,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RUTLAND CC,,,,,5000238314,Decentralisation and Neigbourhood Planning,LE15 6HP,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SEDGEMOOR DC,,,,211204011,5000238286,Decentralisation and Neigbourhood Planning,TA6 3AR,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SEFTON MBC,,,,232936125,5000238315,Decentralisation and Neigbourhood Planning,L20 3NQ,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SEVENOAKS DC,,,,236100913,5000238287,Decentralisation and Neigbourhood Planning,TN13 1HG,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH HAMS DC,,,,236445342,5000238288,Decentralisation and Neigbourhood Planning,TQ9 5NE,"15,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH NORFOLK DC,,,,232605717,5000238289,Decentralisation and Neigbourhood Planning,NR15 2XE,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH OXFORDSHIRE DC,,,,212296766,5000238290,Decentralisation and Neigbourhood Planning,OX10 8HQ,"20,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH RIBBLE BC,,Public Bodies,,,5000238316,Decentralisation and Neigbourhood Planning,PR5 1DH,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH SOMERSET DC,,,,239850811,5000238291,Decentralisation and Neigbourhood Planning,BA20 2DS,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTHWARK LB,,,,,5000238317,Decentralisation and Neigbourhood Planning,SE1 2QH,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SUFFOLK COASTAL DC (HSG),,,,239933203,5000238292,Decentralisation and Neigbourhood Planning,IP12 1AU,"20,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SWINDON BC,,,,458639697,5000238318,Decentralisation and Neigbourhood Planning,SN1 2JH,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TAUNTON DEANE BC,,,,236185294,5000238293,Decentralisation and Neigbourhood Planning,TA1 1HE,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TEIGNBRIDGE DC,,,,236440475,5000238294,Decentralisation and Neigbourhood Planning,TQ12 4XX,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TELFORD & WREKIN DC,,,,230235801,5000238319,Decentralisation and Neigbourhood Planning,TF3 4LF,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TEWKESBURY BC,,,,232740399,5000238295,Decentralisation and Neigbourhood Planning,GL20 5TT,"15,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TORBAY BC,,,,,5000238320,Decentralisation and Neigbourhood Planning,TQ1 3DR,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,VALE OF WHITE HORSE DC,,,,,5000238296,Decentralisation and Neigbourhood Planning,OX14 3JH,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WEST LINDSEY DC,,,,227471026,5000238297,Decentralisation and Neigbourhood Planning,DN21 2NA,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WESTMINSTER CITY CNCL,,,,229845706,5000238321,Decentralisation and Neigbourhood Planning,SW1E 6QP,"20,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WILTSHIRE COUNCIL,,,,211341656,5000238357,Decentralisation and Neigbourhood Planning,BA14 4DS,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WINDSOR & MAIDENHEAD (HSG),,,,227411998,5000238298,Decentralisation and Neigbourhood Planning,SL6 1RF,"20,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WIRRAL MBC,,,,211222602,5000238322,Decentralisation and Neigbourhood Planning,CH41 6BU,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WOKINGHAM DC,,,,,5000238323,Decentralisation and Neigbourhood Planning,RG11 1WJ,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WOLVERHAMPTON MBC,,,,229895453,5000238324,Decentralisation and Neigbourhood Planning,WV1 1RL,"10,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WYCOMBE DC,,Medium,,232683771,5000238299,Decentralisation and Neigbourhood Planning,HP11 1BB,"5,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,CHARTERED INST OF HOUSING,,Medium,,,5000238248,Supporting People Project 3,CV4 8JP,"23,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,CITIZENS ADVICE,,,,,5000238249,Home Project 1,NE1 8AF,"196,293.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,CRISIS UK,Yes,Medium,,,5000238250,Home Project 1,E1 6LT,"64,545.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,ELDERLY ACCOMMODATION COUNSEL,Yes,,,,5000238251,Older People - Project 1,SE1 7TP,"279,750.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,EXMOOR NATIONAL PARK AUTHORITY,,,,,5000238364,Neighbourhood Planning Grant ,TA22 9HL,"25,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,HOMELESS LINK,Yes,,,,5000238252,Home Project 1,SE11 4AP,"375,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,HOMELESS LINK,Yes,,,,5000238253,Home Project 2,SE11 4AP,"1,000,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,HOMELESS LINK,Yes,,,,5000238254,Home Project 3,SE11 4AP,"81,750.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,LAKE DISTRICT NATIONAL PARK AUTHORI,,,,,5000238365,Neighbourhood Planning Grant ,LA9 7RL,"15,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,PASSAGE,,,,238947217,5000238260,Home Project 1,SW1P 1NL,"5,950.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,SHELTER NAT CAMPAIGN HOMELESS,Yes,Large,,,5000238256,Home Project 1,EC1V 9HU,"639,990.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,SITRA (SERVICES),Yes,Small,,,5000238257,Supporting People Project 1,SW8 1SJ,"36,766.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,SITRA (SERVICES),Yes,Small,,,5000238258,Supporting People Project 2,SW8 1SJ,"15,627.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,SOUTH DOWNS NATIONAL PARK AUTHORITY,,Public Bodies,,,5000238378,Neighbourhood Planning Grant ,GU29 9SB,"20,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,ST BASILS CENTRE,,,,,5000238255,Home Project 1,B9 4AX,"65,405.00",Yes
Communities & Local Government,DCLG,25/11/2013,Current Grants to Non Profit Bodies,Neighbourhoods,WOMEN'S AID FEDERATION,Yes,,,,5000238259,Home Project 1,BS99 7WS,"41,250.00",Yes
Communities & Local Government,DCLG,25/11/2013,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOUSING OMBUDSMAN,,Small,,,2100236883,DCLG Funding for Housing Ombudsman for Q2,WC2B 4HN,"209,000.00",Yes
Communities & Local Government,DCLG,25/11/2013,IT - Service Contracts,Finance & Corporate Services,AMOR BUSINESS TECHNOLOGY SOLUTIONS,,Large,,399909910,5106198963,Monthly service cost 2013/2014,PA4 9LH,"36,087.98",
Communities & Local Government,DCLG,25/11/2013,IT - Service Contracts,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,Large,,226023463,5106198975,EVault charges September 2013,AL10 9TW,"1,666.80",
Communities & Local Government,DCLG,25/11/2013,IT - Service Contracts,Localism,COMPUTACENTER (UK) LTD,,Large,,226023463,5106198976,Evault data storage Sep 12-Sep 2013 FIRE,AL10 9TW,"1,684.80",
Communities & Local Government,DCLG,25/11/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,227777463,5106198973,Long Service and Good Conduct Medals,CF72 8YT,326.70,
Communities & Local Government,DCLG,25/11/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,227777463,5106198980,Long Service and Good Conduct Medals,CF72 8YT,445.50,
Communities & Local Government,DCLG,25/11/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,227777463,5106198983,Long Service and Good Conduct Medals,CF72 8YT,623.70,
Communities & Local Government,DCLG,25/11/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,227777463,5106198984,Long Service and Good Conduct Medals,CF72 8YT,297.00,
Communities & Local Government,DCLG,25/11/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,227777463,5106198985,Long Service and Good Conduct Medals,CF72 8YT,267.30,
Communities & Local Government,DCLG,25/11/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,227777463,5106198987,Long Service and Good Conduct Medals,CF72 8YT,267.30,
Communities & Local Government,DCLG,25/11/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,227777463,5106198988,Long Service and Good Conduct Medals,CF72 8YT,386.10,
Communities & Local Government,DCLG,25/11/2013,Medals,Localism,ROYAL MINT,,Public Bodies,,227777463,5106198993,Long Service and Good Conduct Medals,CF72 8YT,"1,395.90",
Communities & Local Government,DCLG,25/11/2013,Professional services,Finance & Corporate Services,NATIONAL AUDIT OFFICE,,Public Bodies,,239831654,5106198991,Audit of Thurrock Accounts,SW1W 9SP,"1,250.00",
Communities & Local Government,DCLG,25/11/2013,Professional services,Localism,GOVT ACTUARYS DEPARTMENT,,Public Bodies,,233567432,5106198977,GAD acturial Advice for LGPS and Fire,EC4A 1AB,"36,809.99",
Communities & Local Government,DCLG,25/11/2013,Professional services,Neighbourhoods,E C HARRIS LLP,,Large,,,5106198837,ERDF West Midlands QS Services,N1 9AB,"2,334.00",
Communities & Local Government,DCLG,25/11/2013,Training,Finance & Corporate Services,EAST OF ENGLAND AMBULANCE SERVICE,,Public Bodies,,210706597,5106198820,GFP conference,NR6 5NA,480.00,
Communities & Local Government,DCLG,25/11/2013,Water,Finance & Corporate Services,BRISTOL WATER,,Large,,770124543,5106198895,2013/14 Rivergate Annual Water Charge,BS48 1WA,631.79,
Communities & Local Government,DCLG,25/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CENTRAL LANCASHIRE UNIVERSITY,,,,,7600006912,Revenue Grant To Be Paid,PR1 2HE,"12,003.18",Yes
Communities & Local Government,DCLG,25/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CHESTER UNIVERSITY,,,,,7600006899,Revenue Grant To Be Paid,WA2 0DB,"10,744.92",Yes
Communities & Local Government,DCLG,25/11/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CREATIVE ENGLAND LTD,,,,,7600006914,Revenue Grant To Be Paid,BS1 5SP,"21,245.42",Yes
