Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,54,NEIGHBOURHOOD AND SECTOR-EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,36.44,NEIGHBOURHOOD AND SECTOR-EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,44.29,NEIGHBOURHOOD AND SECTOR-EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,48,NEIGHBOURHOOD AND SECTOR-EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,68.4,NEIGHBOURHOOD AND SECTOR-EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,38.61,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,19.75,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12.87,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,26.6,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,19.74,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,41.61,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,15.08,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,31.74,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,32.91,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,81.54,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,89.63,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,30.18,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,91.89,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,100.76,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,24.87,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,89.24,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,20.95,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6.87,NEIGHBOURHOOD AND SECTOR-SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,46.5,OLD COST CENTRES - HOLDING,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,43.01,OLD COST CENTRES - HOLDING,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,48.5,OLD COST CENTRES - HOLDING,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,14.8,OLD COST CENTRES - HOLDING,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,OLD COST CENTRES - HOLDING,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,80.42,OLD COST CENTRES - HOLDING,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,993.21,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,48,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,154.76,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,135.6,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,174.08,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,55.24,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,444.83,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,322.72,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,65.8,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,148.94,OPERATIONS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,110.4,OPERATIONS - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,OPERATIONS - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,OPERATIONS - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,125.18,OPERATIONS - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,39.86,OPERATIONS - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,24,OPERATIONS - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,114.54,OPERATIONS - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,30,OPERATIONS - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,98.07,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,100.14,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12.14,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,220.2,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,149.94,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,74.53,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,38.4,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,24,OPERATIONS - PROACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,170.36,OPERATIONS - REACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,OPERATIONS - REACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,OPERATIONS - REACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,248.21,OPERATIONS - REACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,24,OPERATIONS - REACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,OPERATIONS - REACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,168.6,OPERATIONS - REACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,OPERATIONS - REACTIVE,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,74.76,OPS / EVENTS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,54,OPS / EVENTS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,172.83,OPS / EVENTS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,214.2,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,105.75,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,224.63,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,177.47,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,28.8,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,82.8,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,149.67,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,64.8,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,195.87,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,60,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,251.4,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,109.99,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,85.01,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,62.23,PEOPLE & DEVELOPMENT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,418.12,PROFESSIONAL STANDARDS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,10,PROFESSIONAL STANDARDS GROUP,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,RESPONSE - EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6.01,RESPONSE - EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,RESPONSE - EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,36,RESPONSE - EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,14.4,RESPONSE - EAST,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,30,RESPONSE - SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,40.35,RESPONSE - SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,19.05,RESPONSE - SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,21.27,RESPONSE - SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,60.75,RESPONSE - SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,RESPONSE - SOUTH,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,104.41,SAFETY & WELLBEING,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,45.05,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6.87,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,114,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,13.94,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,127.03,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,30,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12.87,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,7.31,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,51.27,SCOTLAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,36.87,SCOTLAND - COMMAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,90.27,SCOTLAND - COMMAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18.87,SCOTLAND - COMMAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,48.31,SCOTLAND - COMMAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,129.32,SCOTLAND - COMMAND,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,26.61,SCOTLAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,87.27,SCOTLAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,150.09,SCOTLAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,32.4,SCOTLAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,177.81,SCOTLAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,24.87,SCOTLAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,13.03,SCOTLAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,71.57,SCOTLAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,32.4,SECONDMENTS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,196.02,SOUTH COMMAND TEAM,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,158.5,STRATEGIC DEVELOPMENT DEPT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,100.34,STRATEGIC DEVELOPMENT DEPT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,36,STRATEGIC DEVELOPMENT DEPT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,436.74,STRATEGIC DEVELOPMENT DEPT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,471.27,STRATEGIC DEVELOPMENT DEPT,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,60.87,SUPT COMMAND - OPERATIONS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,SUPT COMMAND - PENNINES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,SUPT COMMAND - PENNINES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,116.25,SUPT COMMAND - PENNINES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,SUPT COMMAND - PENNINES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,2207.35,TECHNOLOGY,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,TECHNOLOGY,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,58.25,TOC SECONDMENTS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,87.66,WALES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,18,WALES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,WALES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,85.64,WALES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,6,WALES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,36.06,WALES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,43.67,WALES,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,101.47,WESTERN,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,37.42,WESTERN,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,79.58,WESTERN,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,36.12,WESTERN,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,12,WESTERN,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,94.28,WEST MIDLANDS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,82.2,WEST MIDLANDS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,30,WEST MIDLANDS,MK3 5JP
Department for Transport,BTP,06/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),325956,30,WEST MIDLANDS,MK3 5JP
Department for Transport,BTP,20/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),323178,936,TECHNOLOGY,MK3 5JP
Department for Transport,BTP,20/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),324776,540,TECHNOLOGY,MK3 5JP
Department for Transport,BTP,20/06/2014,TELEPHONE - MOBILES,E21100,VODAFONE LTD (CORPORATE),326489,-936,TECHNOLOGY,MK3 5JP
Department for Transport,BTP,27/06/2014,COMMS DATA,E21300,O2 (UK) LTD (TELEFONICA),327438,9782.95,TECHNOLOGY,LS11 ONE
Department for Transport,BTP,27/06/2014,COMMS DATA,E21300,O2 (UK) LTD (TELEFONICA),327437,9460.09,TECHNOLOGY,LS11 ONE
Department for Transport,BTP,13/06/2014,SPOC FIB INTEL CHECKS,E21330,ORANGE PCS LTD,323710,1776,CRIME GROUP,DL1 4YQ
Department for Transport,BTP,13/06/2014,SPOC FIB INTEL CHECKS,E21330,ORANGE PCS LTD,323169,1008,CRIME GROUP,DL1 4YQ
Department for Transport,BTP,12/06/2014,DATA CHARGES,E21400,EXPERIAN,326299,776.28,PROFESSIONAL STANDARDS GROUP,NG80 1TH
Department for Transport,BTP,27/06/2014,CCTV CIRCUITS - RENTAL,E21700,BT REDCARE,323111,31166.4,INVESTIGATIONS,NW9 6LB
