Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-white staff (summary),--,8,25,26,27,14,52,11,13,35,28,14,52,0,4,29,36,32,52,6,14,17,53,9,52,1,18,24,46,11,52,1,12,10,57,21,52,1,16,15,50,17,52,7,17,22,49,6,52,2,15,17,53,13,52,8,24,25,34,8,51,4,12,35,41,8,52,2,30,29,24,15,52,0,11,14,68,7,52,19,27,10,40,4,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White British staff,--,4,15,33,36,11,633,2,8,31,37,22,634,3,5,27,33,33,634,4,12,21,50,12,634,2,13,15,53,18,634,1,3,9,52,34,634,2,8,11,57,23,633,2,10,12,55,20,633,3,6,11,59,20,634,8,14,19,43,16,634,3,10,16,55,16,631,4,26,29,29,12,630,2,7,17,62,13,631,11,28,25,30,6,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White Irish staff,--,0,6,40,40,15,13,0,0,15,56,29,13,0,0,0,79,21,13,0,13,19,48,21,13,0,19,13,42,27,13,13,6,6,31,44,13,13,8,13,46,21,13,13,19,6,35,27,13,13,0,19,42,27,13,13,6,38,29,15,13,13,6,13,42,27,13,13,35,38,8,6,13,13,6,0,69,13,13,19,29,13,27,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other White staff,--,5,13,35,48,0,12,5,11,36,35,13,12,0,5,65,30,0,12,0,23,50,28,0,12,0,35,11,54,0,12,0,0,5,83,13,12,0,23,18,23,38,12,0,19,25,56,0,11,6,6,13,75,0,11,5,29,48,19,0,12,0,10,56,34,0,12,0,40,19,41,0,12,30,6,24,35,5,12,0,50,0,19,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Black or Black British staff,--,0,15,24,33,28,16,15,0,18,33,34,16,0,3,24,21,52,16,13,6,12,70,0,16,0,12,9,74,6,16,0,13,3,48,37,16,0,3,15,54,28,16,13,3,3,79,3,16,3,6,13,69,9,16,0,13,25,59,3,15,3,6,31,58,3,16,0,58,31,6,6,16,0,9,3,82,6,16,3,9,19,69,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black Caribbean staff,--,0,17,29,29,25,11,17,0,33,25,25,11,0,4,21,21,54,11,13,8,17,63,0,11,0,21,17,63,0,11,0,25,4,46,25,11,0,4,29,42,25,11,13,4,4,79,0,11,4,13,13,58,13,11,--,--,--,--,--,10,4,13,29,54,0,11,0,63,29,0,8,11,0,17,4,67,13,11,4,13,8,75,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black African staff,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Asian or Asian British staff,--,9,27,25,24,14,27,2,18,46,21,12,27,0,0,26,53,21,27,0,14,18,48,20,27,2,19,23,45,12,27,2,11,7,56,24,27,2,21,5,53,19,27,6,18,34,34,8,27,2,22,17,39,20,27,2,21,31,31,15,27,0,18,34,33,15,27,5,22,26,32,15,27,0,15,17,58,10,27,24,36,7,25,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Indian staff,--,6,43,24,15,13,17,3,21,55,15,6,17,0,0,32,55,13,17,0,16,20,65,0,17,3,22,23,52,0,17,3,8,11,58,19,17,3,24,0,55,18,17,6,27,36,30,0,17,0,25,21,46,8,17,3,22,33,33,8,17,0,18,40,34,8,17,8,11,22,34,24,17,0,6,24,70,0,17,39,46,0,16,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Pakistani staff,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Bangladeshi staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other Asian background staff,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Mixed background staff,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Black Caribbean staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Black African staff,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Asian staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Chinese staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other ethnic groups,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Heterosexual (straight) staff,--,4,15,34,36,11,658,3,7,31,37,21,659,2,5,27,34,32,659,4,12,22,50,12,659,2,13,16,52,18,659,1,4,9,52,33,659,1,8,11,56,23,659,3,10,13,55,18,657,3,7,12,59,20,658,7,14,20,43,15,658,3,11,18,54,15,657,4,26,30,28,12,656,2,7,17,62,12,656,11,28,24,31,5,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Gay Male staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Gay Female staff,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Bisexual staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,I would prefer not to say,--,5,34,21,37,4,45,12,19,31,33,6,45,6,6,45,27,17,45,2,23,24,45,6,45,2,23,19,46,10,45,4,6,15,47,28,45,9,12,13,48,18,44,0,28,15,46,11,45,5,6,26,51,13,45,7,29,17,37,11,45,5,2,38,34,20,44,0,30,29,29,12,44,6,14,9,60,11,45,21,24,12,38,5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,No religion,--,4,18,36,34,7,204,4,7,36,36,18,205,3,7,29,34,27,205,5,13,22,49,13,205,1,9,19,52,19,205,1,3,13,52,31,205,2,8,14,55,21,205,2,10,14,58,16,204,3,6,11,62,18,204,7,16,19,45,13,205,3,12,17,56,13,204,6,28,27,29,10,204,2,6,19,59,13,205,11,31,20,32,6,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Christian staff,--,4,11,33,39,13,429,2,7,28,40,23,429,2,4,24,34,36,429,4,10,21,53,12,429,2,14,14,52,18,429,1,4,7,53,34,429,1,7,9,59,24,429,3,10,12,54,21,428,3,7,11,57,22,429,7,13,20,42,17,428,3,9,18,52,18,428,4,25,31,28,12,427,2,7,16,62,13,426,10,25,27,31,6,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Buddhist staff,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Hindu staff,--,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Jewish staff,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Muslim staff,--,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Sikh staff,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other religion,--,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,I would prefer not to say,--,5,44,24,24,4,42,16,26,28,21,8,42,6,11,47,23,13,42,5,26,29,39,1,42,5,26,29,37,4,42,6,7,20,55,13,42,11,14,14,53,8,41,2,33,20,35,10,42,7,6,35,45,7,42,10,40,15,28,7,42,7,5,47,33,8,41,0,29,39,23,9,41,6,18,11,63,1,42,24,29,12,33,3,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BREAKDOWN BY STAFF GROUP: COMMUNITY TRUSTS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,"Allied Health Professionals, Healthcare Scientists and Scientific & Technical staff",--,3,9,37,40,11,"1,868",1,4,27,43,25,"1,866",1,3,16,39,41,"1,867",2,8,15,59,16,"1,865",1,8,9,60,23,"1,870",1,2,5,52,39,"1,871",3,13,13,48,23,"1,868",2,9,16,55,18,"1,866",2,6,11,61,22,"1,868",5,16,20,45,15,"1,864",3,13,24,47,13,"1,863",3,22,24,33,18,"1,856",7,24,21,42,6,"1,863",21,35,19,22,3,"1,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Occupational therapy,--,2,12,45,34,8,336,0,4,33,45,18,336,0,2,13,41,44,336,1,8,14,61,15,336,1,12,9,59,19,337,1,3,6,56,34,337,6,16,15,45,18,335,1,7,17,59,17,337,0,6,8,65,21,336,5,16,16,50,14,337,2,12,24,50,11,336,1,20,21,34,24,335,8,34,20,35,3,335,25,37,19,18,1,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Physiotherapy,--,4,8,37,40,11,523,1,4,24,47,23,522,1,2,14,40,43,521,1,6,16,60,17,524,1,7,6,63,24,524,1,1,6,53,38,524,4,12,13,51,20,523,2,8,16,55,19,522,1,4,8,65,22,523,4,14,17,47,17,520,2,10,25,50,13,519,3,23,24,30,20,521,6,24,21,42,7,522,22,36,14,21,7,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Radiography,--,0,16,26,50,8,28,0,0,37,36,28,28,0,13,18,42,28,28,0,10,40,35,16,28,0,0,28,46,26,28,10,0,13,39,37,28,0,11,14,45,30,28,10,3,28,43,16,28,10,2,13,53,22,28,10,7,16,49,18,28,10,10,21,43,17,28,0,23,29,21,28,28,10,17,5,56,13,28,29,10,28,27,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Pharmacy,--,3,7,33,48,8,31,3,2,29,38,27,31,2,0,19,38,42,31,0,10,22,52,17,31,0,6,12,56,27,31,0,12,2,41,46,31,0,13,10,56,21,31,0,6,16,44,35,31,0,3,12,44,40,31,3,2,8,54,32,31,0,6,8,54,32,31,7,15,24,41,13,31,0,18,22,51,9,31,21,39,18,20,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Clinical Psychology,--,0,12,29,36,22,37,0,3,30,36,31,37,2,0,2,49,47,37,2,10,6,60,23,37,2,0,13,49,36,37,2,9,1,31,56,37,1,13,6,53,27,37,2,11,7,58,22,37,2,10,6,47,34,37,2,23,14,39,21,37,5,15,25,32,23,37,6,18,23,42,11,37,4,27,14,33,22,37,6,36,30,22,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Psychotherapy,--,0,8,38,39,16,39,0,4,22,40,34,39,0,1,10,28,61,39,2,0,3,60,35,39,0,5,3,64,27,39,3,0,2,46,50,39,2,18,3,52,26,39,0,18,6,58,18,39,2,6,2,68,23,39,4,12,21,50,13,39,2,17,19,43,19,39,4,31,18,39,9,39,5,16,22,40,17,39,10,47,12,29,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Arts Therapy,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other qualified Allied Health Professionals,--,4,10,37,42,7,536,0,5,31,45,19,536,1,3,15,41,40,537,2,7,14,63,14,534,1,7,8,62,22,537,1,2,6,53,38,537,3,17,13,44,23,537,3,8,16,50,24,535,2,10,11,56,21,537,4,15,26,40,15,535,3,15,25,43,14,536,1,25,19,33,22,531,9,22,17,47,5,536,23,35,22,18,2,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other qualified Scientific and Technical or Healthcare Scientists,--,2,5,35,39,19,272,2,3,22,38,36,271,1,2,22,34,40,272,3,10,17,53,18,270,2,6,11,52,28,271,0,3,6,50,40,272,2,4,8,54,33,272,3,9,16,56,15,271,2,9,15,54,20,271,6,19,25,39,11,271,4,15,32,39,9,271,7,27,33,29,5,272,7,17,27,41,9,271,16,27,27,25,5,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Allied Health Professionals,--,2,4,33,42,19,25,0,2,37,31,30,25,0,5,5,28,62,25,0,5,39,47,9,25,0,2,28,50,20,25,0,2,5,60,32,25,2,23,17,40,19,25,0,6,12,56,26,25,0,8,9,60,23,25,0,19,13,45,23,25,0,20,11,46,23,25,2,12,12,50,25,25,9,14,24,46,7,25,5,49,30,3,14,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Scientific and Technical or Healthcare Scientists,--,5,8,26,55,7,36,0,13,16,38,33,36,3,8,18,43,28,36,0,17,22,49,13,36,0,8,8,63,21,36,0,1,6,56,37,36,0,1,6,68,24,36,3,1,25,62,9,36,3,3,17,67,10,36,6,16,20,53,4,36,3,4,9,75,8,36,0,37,39,22,2,32,0,16,27,51,7,34,6,44,20,28,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Ambulance staff (operational),--,--,--,--,--,--,8,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Emergency Care Practitioners,--,--,--,--,--,--,3,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Ambulance Control staff,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
