5.T&N,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK telecoms industry key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
"Household penetration of fixed and mobile telephony, by socio-economic group and age ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All,,ABC1,C2,DE,,16-24,25-34,35-54,55-64,65-74,75+,,,,,,,,,,,,,,,
Fixed only,5,,4,4,9,,1,,1,4,11,37,,,,,,,,,,,,,,,
Fixed and mobile,79,,86,83,63,,65,73,87,88,84,61,,,,,,,,,,,,,,,
Mobile only,15,,11,13,25,,33,26,11,6,5,1,,,,,,,,,,,,,,,
None,1,,,,2,,1,1,,1,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2012 data ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average monthly outbound mobile voice minutes per person
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
UK fixed calls,39,42,42,42,43,42,,,,,,,,,,,,,,,,,,,,,
On-net calls,35,44,52,56,59,55,,,,,,,,,,,,,,,,,,,,,
Off-net calls,36,45,49,51,51,54,,,,,,,,,,,,,,,,,,,,,
Outgoing international calls,2,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
Other calls,9,9,10,9,11,10,,,,,,,,,,,,,,,,,,,,,
Total,121,142,155,162,167,164,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; calculation excludes mobile broadband connections ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average monthly outbound mobile call minutes per connection, by subscription type ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Pay monthly,243,256,252,240,233,221,,,,,,,,,,,,,,,,,,,,,
Pre-pay,36,45,50,52,48,41,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; calculation excludes mobile broadband connections ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly mobile messaging volumes per person,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messages per month ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
SMS text messages,70,90,114.4,139.9,171.2,199.7,,,,,,,,,,,,,,,,,,,,,
MMS picture messages,0.3,0.4,0.6,0.7,0.7,0.8,,,,,,,,,,,,,,,,,,,,,
Total,70.3,90.4,115,140.5,172,200.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly messaging volumes by subscription type,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messages per month ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Pay monthly,89,104,121,138,160,179,,,,,,,,,,,,,,,,,,,,,
Pre-pay,49,61,77,92,111,132,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential consumer satisfaction with aspects of mobile service ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of all adults with service (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,
Very satisfied,59,62,61,61,58,,58,59,57,58,55,,,,,,,,,,,,,,,,
Fairly satisfied,35,32,33,32,37,,30,29,30,30,35,,,,,,,,,,,,,,,,
Total,94,94,94,93,95,,88,88,87,88,89,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ with a mobile phone ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes only those who expressed an opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of data services on mobile handsets ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of mobile data users (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Internet access,Emailing,Instant messaging,Downloading apps,,,,,,,,,,,,,,,,,,,,,,,
2010,18,10,11,8,,,,,,,,,,,,,,,,,,,,,,,
2011,28,17,13,12,,,,,,,,,,,,,,,,,,,,,,,
2012,40,29,19,19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QD9A: Which if any of the following activities, other than making and receiving voice calls, do you use your mobile for?",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All mobile users aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of internet access using a mobile handset ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of mobile data users (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Always use in the home,Mainly use in the home,Use equally inside and outside the home,Mainly use outside the home,Always use outside the home,,,,,,,,,,,,,,,,,,,,,,
Q1 2012,6%,12%,60%,15%,6%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+who access the internet on their mobile phone ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Use of the internet on mobile phones, by socio-economic group ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All adults,15-24,25-34,35-54,55-64,65+,AB,C1,C2,DE,,,,,,,,,,,,,,,,,
2010,26,46,38,25,9,2,30,28,23,19,,,,,,,,,,,,,,,,,
2011,32,57,53,34,13,2,41,36,31,20,,,,,,,,,,,,,,,,,
2012,39,68,61,42,17,3,50,44,34,27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QD28A: Which if any, of the following activities, other than making and receiving voice calls, do you use your mobile for?",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults 16+,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Web/data access includes accessing the internet, downloading and streaming content, connecting using Wi-Fi and using VoIP. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Take-up of mobile broadband, by socio-economic group ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All,,16-24,25-34,35-54,55-64,65-74,75+,,AB,C1,C2,DE,,Own/mortgage,Rent: private,Rent: social,,,,,,,,,,
Fixed and mobile broadband,8,,12,12,9,4,2,,,12,9,9,4,,10,6,5,,,,,,,,,,
Mobile broadband only,5,,9,8,3,3,1,1,,3,4,4,7,,3,10,6,,,,,,,,,,
,13,,21,20,12,7,3,1,,15,13,13,11,,13,16,11,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of mobile broadband use outside the home ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of total mentions (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,When travelling,Indoor public spaces,Outdoors,At someone else's house,At work,Other,,,,,,,,,,,,,,,,,,,,,
Q1 2012,25%,22%,21%,17%,14%,2%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ who use mobile broadband outside the home,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential consumer satisfaction with aspects of mobile broadband service ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of all adults with service (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,2010,2011,2012,,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,
Very satisfied,42,39,42,40,,35,33,39,36,,,,,,,,,,,,,,,,,,
Fairly satisfied,40,44,46,44,,35,40,41,43,,,,,,,,,,,,,,,,,,
Total,82,83,88,83,,70,73,80,78,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom research,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ with a mobile broadband connection ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes only those who expressed an opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,
