4.IWBC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market: key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market ,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected sites ranked by proportion of referred traffic generated through referrals from Facebook,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proportion of referrals from Facebook (%),,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,23.70%,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,11.20%,,,,,,,,,,,,,,,,,,,,,,,,,
eBay,6.70%,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,3.80%,,,,,,,,,,,,,,,,,,,,,,,,,
Wikipedia,3.60%,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,3.30%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, March 2011 to",,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Referred traffic is the unique visitors to a site that were referred through a link from a specified,,,,,,,,,,,,,,,,,,,,,,,,,,
source.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.49,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique audiences of selected video-sharing sites on desktop and laptop computers: March 2011 to March 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,Average unique audience (m),Year on year change (%),,,,,,,,,,,
Total Videos / Movies,24.7,24,24.2,23.6,23.8,24.8,23.6,24.8,24.8,25.2,24.3,24.5,24.8,24.4,0,,,,,,,,,,,
YouTube,19.6,19.2,19.5,18.8,19.3,19.8,18.8,20,20.4,21,20,20.1,20.8,19.8,6,,,,,,,,,,,
Google Video,2.2,1.6,1.3,0.9,1,1,0.9,0.9,0.8,1,0.9,0.9,0.6,1.1,-73,,,,,,,,,,,
MSN Video,1.4,1.6,1.6,1.5,1.4,1.3,1.1,1.4,1.3,1,0.8,0.7,0.7,1.2,-51,,,,,,,,,,,
Dailymotion,1.3,1,1.4,1.2,1.2,1.4,1.2,1.6,1.7,1.3,1.4,1.5,1.9,1.4,51,,,,,,,,,,,
Bing Videos,0.5,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.4,-48,,,,,,,,,,,
Metacafe,0.9,0.7,0.8,0.7,0.7,0.8,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,-22,,,,,,,,,,,
Vimeo,1.5,1.3,1.7,1.6,1.9,1.9,1.3,1.4,1.1,0.8,0.8,0.8,0.9,1.3,-41,,,,,,,,,,,
Yahoo! Video,0.4,0.4,0.2,0.3,0.2,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.3,0.3,-19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, March 2011 to",,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Unique audience is the total number of unique persons who have visited a website at least once,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specified reporting period. Persons visiting the same website more than once in the reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time spent, per visitor per month, on selected video-sharing sites, on desktop and laptop computers: March 2011 to March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,,,,,,,,,,,,,
Total Videos / Movies,1:11:16,1:10:44,1:21:49,1:23:14,1:28:50,1:40:38,1:34:46,1:39:12,1:38:21,1:37:53,1:37:58,1:40:05,1:45:01,,,,,,,,,,,,,
YouTube,1:09:07,1:10:22,1:21:47,1:25:22,1:27:07,1:38:49,1:34:08,1:36:25,1:32:34,1:31:14,1:30:43,1:33:31,1:37:36,,,,,,,,,,,,,
Dailymotion,0:06:41,0:06:11,0:04:31,0:05:39,0:07:02,0:09:19,0:08:13,0:07:13,0:06:11,0:10:57,0:13:15,0:09:01,0:09:05,,,,,,,,,,,,,
Bing Videos,0:07:58,0:04:08,0:03:57,0:03:15,0:05:24,0:07:15,0:08:23,0:07:02,0:08:56,0:06:13,0:10:14,0:06:43,0:05:22,,,,,,,,,,,,,
Metacafe,0:02:43,0:03:40,0:03:48,0:02:47,0:03:58,0:03:24,0:02:30,0:02:37,0:02:32,0:02:55,0:02:27,0:02:24,0:03:15,,,,,,,,,,,,,
MSN Video,0:03:42,0:03:19,0:02:58,0:02:56,0:03:30,0:03:29,0:03:11,0:02:37,0:03:01,0:03:05,0:02:27,0:02:48,0:02:59,,,,,,,,,,,,,
Yahoo! Video,0:02:46,0:03:08,0:02:54,0:02:15,0:03:08,0:04:05,0:02:42,0:03:34,0:03:51,0:03:01,0:05:47,0:02:31,0:04:30,,,,,,,,,,,,,
Google Video,0:02:34,0:06:52,0:01:59,0:01:55,0:01:42,0:01:37,0:01:51,0:01:32,0:01:23,0:03:23,0:02:03,0:02:13,0:01:40,,,,,,,,,,,,,
Vimeo,0:02:22,0:02:21,0:02:38,0:02:53,0:03:40,0:02:49,0:03:02,0:02:53,0:02:00,0:01:57,0:02:50,0:03:27,0:03:33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, March 2011 to",,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Time per visitor is the total time spent on the website divided by its unique audience.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Hours,Minutes,Seconds,Decimalised,,,,,,,,,,,,,,,,,,,,,
Total Video,11-Mar,1,11,16,1.19,,,,,,,,,,,,,,,,,,,,,
,11-Apr,1,10,44,1.18,,,,,,,,,,,,,,,,,,,,,
,11-May,1,21,49,1.36,,,,,,,,,,,,,,,,,,,,,
,11-Jun,1,23,14,1.39,,,,,,,,,,,,,,,,,,,,,
,11-Jul,1,28,50,1.48,,,,,,,,,,,,,,,,,,,,,
,11-Aug,1,40,38,1.68,,,,,,,,,,,,,,,,,,,,,
,11-Sep,1,34,46,1.58,,,,,,,,,,,,,,,,,,,,,
,11-Oct,1,39,12,1.65,,,,,,,,,,,,,,,,,,,,,
,11-Nov,1,38,21,1.64,,,,,,,,,,,,,,,,,,,,,
,11-Dec,1,37,53,1.63,,,,,,,,,,,,,,,,,,,,,
,12-Jan,1,37,58,1.63,,,,,,,,,,,,,,,,,,,,,
,12-Feb,1,40,5,1.67,,,,,,,,,,,,,,,,,,,,,
,12-Mar,1,45,1,1.75,,,,,,,,,,,,,,,,,,,,,
YouTube,11-Mar,1,9,7,1.15,,,,,,,,,,,,,,,,,,,,,
,11-Apr,1,10,22,1.17,,,,,,,,,,,,,,,,,,,,,
,11-May,1,21,47,1.36,,,,,,,,,,,,,,,,,,,,,
,11-Jun,1,25,22,1.42,,,,,,,,,,,,,,,,,,,,,
,11-Jul,1,27,7,1.45,,,,,,,,,,,,,,,,,,,,,
,11-Aug,1,38,49,1.65,,,,,,,,,,,,,,,,,,,,,
,11-Sep,1,34,8,1.57,,,,,,,,,,,,,,,,,,,,,
,11-Oct,1,36,25,1.61,,,,,,,,,,,,,,,,,,,,,
,11-Nov,1,32,34,1.54,,,,,,,,,,,,,,,,,,,,,
,11-Dec,1,31,14,1.52,,,,,,,,,,,,,,,,,,,,,
,12-Jan,1,30,43,1.51,,,,,,,,,,,,,,,,,,,,,
,12-Feb,1,33,31,1.56,,,,,,,,,,,,,,,,,,,,,
,12-Mar,1,37,36,1.63,,,,,,,,,,,,,,,,,,,,,
Dailymotion,11-Mar,0,6,41,0.11,,,,,,,,,,,,,,,,,,,,,
,11-Apr,0,6,11,0.1,,,,,,,,,,,,,,,,,,,,,
,11-May,0,4,31,0.08,,,,,,,,,,,,,,,,,,,,,
,11-Jun,0,5,39,0.09,,,,,,,,,,,,,,,,,,,,,
,11-Jul,0,7,2,0.12,,,,,,,,,,,,,,,,,,,,,
,11-Aug,0,9,19,0.16,,,,,,,,,,,,,,,,,,,,,
,11-Sep,0,8,13,0.14,,,,,,,,,,,,,,,,,,,,,
,11-Oct,0,7,13,0.12,,,,,,,,,,,,,,,,,,,,,
,11-Nov,0,6,11,0.1,,,,,,,,,,,,,,,,,,,,,
,11-Dec,0,10,57,0.18,,,,,,,,,,,,,,,,,,,,,
,12-Jan,0,13,15,0.22,,,,,,,,,,,,,,,,,,,,,
,12-Feb,0,9,1,0.15,,,,,,,,,,,,,,,,,,,,,
,12-Mar,0,9,5,0.15,,,,,,,,,,,,,,,,,,,,,
Bing Videos,11-Mar,0,7,58,0.13,,,,,,,,,,,,,,,,,,,,,
,11-Apr,0,4,8,0.07,,,,,,,,,,,,,,,,,,,,,
,11-May,0,3,57,0.07,,,,,,,,,,,,,,,,,,,,,
,11-Jun,0,3,15,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Jul,0,5,24,0.09,,,,,,,,,,,,,,,,,,,,,
,11-Aug,0,7,15,0.12,,,,,,,,,,,,,,,,,,,,,
,11-Sep,0,8,23,0.14,,,,,,,,,,,,,,,,,,,,,
,11-Oct,0,7,2,0.12,,,,,,,,,,,,,,,,,,,,,
,11-Nov,0,8,56,0.15,,,,,,,,,,,,,,,,,,,,,
,11-Dec,0,6,13,0.1,,,,,,,,,,,,,,,,,,,,,
,12-Jan,0,10,14,0.17,,,,,,,,,,,,,,,,,,,,,
,12-Feb,0,6,43,0.11,,,,,,,,,,,,,,,,,,,,,
,12-Mar,0,5,22,0.09,,,,,,,,,,,,,,,,,,,,,
Metacafe,11-Mar,0,2,43,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Apr,0,3,40,0.06,,,,,,,,,,,,,,,,,,,,,
,11-May,0,3,48,0.06,,,,,,,,,,,,,,,,,,,,,
,11-Jun,0,2,47,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Jul,0,3,58,0.07,,,,,,,,,,,,,,,,,,,,,
,11-Aug,0,3,24,0.06,,,,,,,,,,,,,,,,,,,,,
,11-Sep,0,2,30,0.04,,,,,,,,,,,,,,,,,,,,,
,11-Oct,0,2,37,0.04,,,,,,,,,,,,,,,,,,,,,
,11-Nov,0,2,32,0.04,,,,,,,,,,,,,,,,,,,,,
,11-Dec,0,2,55,0.05,,,,,,,,,,,,,,,,,,,,,
,12-Jan,0,2,27,0.04,,,,,,,,,,,,,,,,,,,,,
,12-Feb,0,2,24,0.04,,,,,,,,,,,,,,,,,,,,,
,12-Mar,0,3,15,0.05,,,,,,,,,,,,,,,,,,,,,
MSN Video,11-Mar,0,3,42,0.06,,,,,,,,,,,,,,,,,,,,,
,11-Apr,0,3,19,0.06,,,,,,,,,,,,,,,,,,,,,
,11-May,0,2,58,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Jun,0,2,56,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Jul,0,3,30,0.06,,,,,,,,,,,,,,,,,,,,,
,11-Aug,0,3,29,0.06,,,,,,,,,,,,,,,,,,,,,
,11-Sep,0,3,11,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Oct,0,2,37,0.04,,,,,,,,,,,,,,,,,,,,,
,11-Nov,0,3,1,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Dec,0,3,5,0.05,,,,,,,,,,,,,,,,,,,,,
,12-Jan,0,2,27,0.04,,,,,,,,,,,,,,,,,,,,,
,12-Feb,0,2,48,0.05,,,,,,,,,,,,,,,,,,,,,
,12-Mar,0,2,59,0.05,,,,,,,,,,,,,,,,,,,,,
Yahoo! Video,11-Mar,0,2,46,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Apr,0,3,8,0.05,,,,,,,,,,,,,,,,,,,,,
,11-May,0,2,54,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Jun,0,2,15,0.04,,,,,,,,,,,,,,,,,,,,,
,11-Jul,0,3,8,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Aug,0,4,5,0.07,,,,,,,,,,,,,,,,,,,,,
,11-Sep,0,2,42,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Oct,0,3,34,0.06,,,,,,,,,,,,,,,,,,,,,
,11-Nov,0,3,51,0.06,,,,,,,,,,,,,,,,,,,,,
,11-Dec,0,3,1,0.05,,,,,,,,,,,,,,,,,,,,,
,12-Jan,0,5,47,0.1,,,,,,,,,,,,,,,,,,,,,
,12-Feb,0,2,31,0.04,,,,,,,,,,,,,,,,,,,,,
,12-Mar,0,4,30,0.08,,,,,,,,,,,,,,,,,,,,,
Google Video,11-Mar,0,2,34,0.04,,,,,,,,,,,,,,,,,,,,,
,11-Apr,0,6,52,0.11,,,,,,,,,,,,,,,,,,,,,
,11-May,0,1,59,0.03,,,,,,,,,,,,,,,,,,,,,
,11-Jun,0,1,55,0.03,,,,,,,,,,,,,,,,,,,,,
,11-Jul,0,1,42,0.03,,,,,,,,,,,,,,,,,,,,,
,11-Aug,0,1,37,0.03,,,,,,,,,,,,,,,,,,,,,
,11-Sep,0,1,51,0.03,,,,,,,,,,,,,,,,,,,,,
,11-Oct,0,1,32,0.03,,,,,,,,,,,,,,,,,,,,,
,11-Nov,0,1,23,0.02,,,,,,,,,,,,,,,,,,,,,
,11-Dec,0,3,23,0.06,,,,,,,,,,,,,,,,,,,,,
,12-Jan,0,2,3,0.03,,,,,,,,,,,,,,,,,,,,,
,12-Feb,0,2,13,0.04,,,,,,,,,,,,,,,,,,,,,
,12-Mar,0,1,40,0.03,,,,,,,,,,,,,,,,,,,,,
Vimeo,11-Mar,0,2,22,0.04,,,,,,,,,,,,,,,,,,,,,
,11-Apr,0,2,21,0.04,,,,,,,,,,,,,,,,,,,,,
,11-May,0,2,38,0.04,,,,,,,,,,,,,,,,,,,,,
,11-Jun,0,2,53,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Jul,0,3,40,0.06,,,,,,,,,,,,,,,,,,,,,
,11-Aug,0,2,49,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Sep,0,3,2,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Oct,0,2,53,0.05,,,,,,,,,,,,,,,,,,,,,
,11-Nov,0,2,0,0.03,,,,,,,,,,,,,,,,,,,,,
,11-Dec,0,1,57,0.03,,,,,,,,,,,,,,,,,,,,,
,12-Jan,0,2,50,0.05,,,,,,,,,,,,,,,,,,,,,
,12-Feb,0,3,27,0.06,,,,,,,,,,,,,,,,,,,,,
,12-Mar,0,3,33,0.06,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Videos / Movies,YouTube,Dailymotion,Bing Videos,Metacafe,MSN Video,Yahoo! Video,Google Video,Vimeo,,,,,,,,,,,,,,,,,
11-Mar,1.19,1.15,0.11,0.13,0.05,0.06,0.05,0.04,0.04,,,,,,,,,,,,,,,,,
11-Apr,1.18,1.17,0.1,0.07,0.06,0.06,0.05,0.11,0.04,,,,,,,,,,,,,,,,,
11-May,1.36,1.36,0.08,0.07,0.06,0.05,0.05,0.03,0.04,,,,,,,,,,,,,,,,,
11-Jun,1.39,1.42,0.09,0.05,0.05,0.05,0.04,0.03,0.05,,,,,,,,,,,,,,,,,
11-Jul,1.48,1.45,0.12,0.09,0.07,0.06,0.05,0.03,0.06,,,,,,,,,,,,,,,,,
11-Aug,1.68,1.65,0.16,0.12,0.06,0.06,0.07,0.03,0.05,,,,,,,,,,,,,,,,,
11-Sep,1.58,1.57,0.14,0.14,0.04,0.05,0.05,0.03,0.05,,,,,,,,,,,,,,,,,
11-Oct,1.65,1.61,0.12,0.12,0.04,0.04,0.06,0.03,0.05,,,,,,,,,,,,,,,,,
11-Nov,1.64,1.54,0.1,0.15,0.04,0.05,0.06,0.02,0.03,,,,,,,,,,,,,,,,,
11-Dec,1.63,1.52,0.18,0.1,0.05,0.05,0.05,0.06,0.03,,,,,,,,,,,,,,,,,
12-Jan,1.63,1.51,0.22,0.17,0.04,0.04,0.1,0.03,0.05,,,,,,,,,,,,,,,,,
12-Feb,1.67,1.56,0.15,0.11,0.04,0.05,0.04,0.04,0.06,,,,,,,,,,,,,,,,,
12-Mar,1.75,1.63,0.15,0.09,0.05,0.05,0.08,0.03,0.06,,,,,,,,,,,,,,,,,
Average time per person (hrs),1.53,1.47,0.13,0.11,0.05,0.05,0.06,0.04,0.05,,,,,,,,,,,,,,,,,
Year on year change (%),47,42,36,-31,0,-17,60,-25,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.51,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top platforms for video content, by number of videos watched",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of videos watched (m),,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,3660.2,,,,,,,,,,,,,,,,,,,,,,,,,
VEVO,177,,,,,,,,,,,,,,,,,,,,,,,,,
Perform Sports,107.2,,,,,,,,,,,,,,,,,,,,,,,,,
BBC Sites,76,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,45,,,,,,,,,,,,,,,,,,,,,,,,,
Viacom Digital,43.6,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Sites,36.7,,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Sites,34.4,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Sites,18.2,,,,,,,,,,,,,,,,,,,,,,,,,
Vimeo,15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ComScore Video Metrix, month of January 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.52,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total time spent watching videos online, split by gender and age",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proportion of total time spent watching videos online (%),,,,,,,,,,,,,,,,,,,,,,,,,
Male,74.7,,,,,,,,,,,,,,,,,,,,,,,,,
Female,24.3,,,,,,,,,,,,,,,,,,,,,,,,,
15-24,25,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,26,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,16,,,,,,,,,,,,,,,,,,,,,,,,,
55+,14.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ComScore Video Metrix, month of January 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.53,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK retail sales, split by e-commerce and high street: February 2010, February 2011 and February 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total retail sales (£bn),High street retail sales (£bn),E-commerce retail sales (£bn),High street proportion of retail sales (%),E-commerce proportion of retail sales (%),,,,,,,,,,,,,,,,,,,,,
Feb-10,22.9,21.1,1.8,92,8,,,,,,,,,,,,,,,,,,,,,
Feb-11,23.9,21.9,2,92,8,,,,,,,,,,,,,,,,,,,,,
Feb-12,24.6,22,2.6,89,11,,,,,,,,,,,,,,,,,,,,,
2010-2011 change (£bn),1,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,
2010-2011 change (%),7,4,44,,,,,,,,,,,,,,,,,,,,,,,
2011-2012 change (£bn),0.7,0.1,0.6,,,,,,,,,,,,,,,,,,,,,,,
2011-2012 change (%),3,0,30,,,,,,,,,,,,,,,,,,,,,,,
2010-2012 change (£bn),1.7,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,
2010-2012 change (%),7,4,44,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Office of National Statistics, Retail Sales Statistical Bulletin, February 2010, February 2011 and",,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Adapted from data from the Office of National Statistics licensed under the Open Government,,,,,,,,,,,,,,,,,,,,,,,,,,
Licence v.1.0. These figures are not adjusted for inflation. Retail sales excludes automotive fuel.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.54,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique audiences of leading shopping sites on desktop and laptop computers: March 2010 to March 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,2010-2012 change (%)
Amazon,16.9,16.1,15.5,15.5,16.1,17.8,18,18.4,20.3,19.9,18,16.8,17,16.9,17.4,16.6,16.8,17.8,17.1,19.1,21.8,22,20,19.4,18.5,9
eBay,18.3,17.7,17.7,17.5,18.3,18.8,18.2,18.8,18.3,17,17.1,16.5,17.1,16.7,16.9,16.2,16.2,17.2,16.4,16.9,17.6,17.5,16.5,16.4,17.1,-7
Tesco,8.3,7.5,7.9,7.9,8.2,9.4,8.4,8.8,9.6,9.6,8.1,7.2,7.5,7.3,7.2,7.2,7.2,8.6,7.7,8.1,10.1,9.1,7.7,7.2,7.3,-12
Argos,7,6.6,7,7.2,7.9,8.2,7.7,8.5,9.4,10.8,8.5,6.9,6.8,6.8,6.9,6.8,7,7.5,6.5,7.6,9.6,10.2,8.1,6.4,6.6,-6
ASDA,4.7,4.2,4.2,4.1,4.5,4.8,4.4,4.8,5.1,6.3,3.9,3.8,4.1,3.5,4.2,3.6,3.9,4.3,3.8,4.8,5.4,6.1,4.5,3.9,4.5,-4
Marks and Spencer,4.1,3.9,4,3.9,4.1,4.3,4.3,4.8,5.6,5.6,4.3,3.6,4.1,4,4,3.8,4,4.4,4.2,4.8,5.9,6.1,4.5,4,4.3,5
Groupon,0,0.1,0,1.1,1.2,2.2,3,4.1,5.1,5.4,5.4,6.2,7.5,6.4,7.1,6.8,6.8,8.1,5.8,5,5.1,4.7,4.4,4.4,4.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, March 2010 to March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Unique audience is the total number of unique persons who have visited a website at least once,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specified reporting period. Persons visiting the same website more than once in the reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional calculations,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,Average,,,,,,,,,,,,
Amazon,17,16.9,17.4,16.6,16.8,17.8,17.1,19.1,21.8,22,20,19.4,18.5,18.5,,,,,,,,,,,,
eBay,17.1,16.7,16.9,16.2,16.2,17.2,16.4,16.9,17.6,17.5,16.5,16.4,17.1,16.8,,,,,,,,,,,,
Tesco,7.5,7.3,7.2,7.2,7.2,8.6,7.7,8.1,10.1,9.1,7.7,7.2,7.3,7.9,,,,,,,,,,,,
Argos,6.8,6.8,6.9,6.8,7,7.5,6.5,7.6,9.6,10.2,8.1,6.4,6.6,7.4,,,,,,,,,,,,
ASDA,4.1,3.5,4.2,3.6,3.9,4.3,3.8,4.8,5.4,6.1,4.5,3.9,4.5,4.4,,,,,,,,,,,,
Marks and Spencer,4.1,4,4,3.8,4,4.4,4.2,4.8,5.9,6.1,4.5,4,4.3,4.5,,,,,,,,,,,,
Groupon,7.5,6.4,7.1,6.8,6.8,8.1,5.8,5,5.1,4.7,4.4,4.4,4.2,5.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,Change (%),,,,,,,,,,,,,,,,,
Groupon,8.1,5.8,5,5.1,4.7,4.4,4.4,4.2,-48,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.55,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Most popular coupons and rewards sites on desktop and laptop computers, by active reach",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Mar,12-Mar,,,,,,,,,,,,,,,,,,,,,,,,
Groupon,18.7,10.3,,,,,,,,,,,,,,,,,,,,,,,,
Nectar,9.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,
VoucherCodes.co.uk,3.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,
HotUKDeals,2.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,
LivingSocial,2.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,
KGB Deals,2.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Tesco Clubcard,3,2.7,,,,,,,,,,,,,,,,,,,,,,,,
TopCashBack,2.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,
Quidco,2.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,
Webloyalty.com,1.1,2.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Active reach is the percentage of all active 2+ persons who accessed the website within the,,,,,,,,,,,,,,,,,,,,,,,,,,
specified reporting period. Active is defined as anyone who used an internet-enabled computer,,,,,,,,,,,,,,,,,,,,,,,,,,
within the specified reporting period.   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
