Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000069405,0.06,162 x 229mm manila with window,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000069405,2088,162 x 229mm manila with window,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000069405,1140.48,2ND CLASS MANILA WINDOW 120 X 235MM DMED,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Secured Stock,Information Services,MBA GROUP LTD,2000069405,1108.8,"114x229mm, 85gsm manila, 2nd class",MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Printing Stock ,Information Services,MBA GROUP LTD,2000069405,-0.06,"114x229mm, 85gsm manila, 2nd class",MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000069405,6019.2,MACHINE ENVELOPE FOR ISSUE OF HGV V11,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000069405,-0.12,MACHINE ENVELOPE FOR ISSUE OF HGV V11,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Non Sec stock,Information Services,MBA GROUP LTD,2000069405,1197,"114 X 229mm, Manila for Biometric Card",MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Printing Stock ,Information Services,MBA GROUP LTD,2000069405,0.01,"114 X 229mm, Manila for Biometric Card",MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000069405,2034,"162 X 236 MM, 2nd cl wind - TYR/OSG",MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000069405,789.98,120 x 214 manila BRS for TYR/OSG only,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000069405,1935.36,85GSM MANILA WINDOW OUTER FOR EVL,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000069405,865.34,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000069405,-0.48,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Info Broker Costs,Operations,UK PASSPORT SERVICES,2000069408,9548.16,#,NP20 1XA
Department for Transport,Driver & Vehicle Licensing Agency,16/06/2013,Telecom Equipment,Information Services,Incom Telecommunications,2000069410,10378.28,#,M17 1WD
Department for Transport,Driver & Vehicle Licensing Agency,16/06/2013,Debt Collection,Finance & Commercial,Philips Collection Services Ltd,2000069412,909.95,#,DL3 9WT
Department for Transport,Driver & Vehicle Licensing Agency,15/06/2013,Recruitment,Human Resource & Est,SAVILLE CONSULTING UK LTD,2000069414,1548.6,#,KT10 9PN
Department for Transport,Driver & Vehicle Licensing Agency,16/06/2013,Software Licence Exp,Finance & Commercial,CALLCREDIT MARKETING LTD,2000069416,27540,#,LS3 1EP
Department for Transport,Driver & Vehicle Licensing Agency,01/06/2013,Secured Stock,Information Services,WILLIAMS LEA LIMITED,2000069417,1486.08,REVIVE RECYCLED 120gsm A3,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,01/06/2013,Machine Consumables,Information Services,WILLIAMS LEA LIMITED,2000069417,52.01,REVIVE RECYCLED 120gsm A3,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,16/06/2013,Cash Carrying Servic,Finance & Commercial,POST OFFICE LTD,2000069418,11690,#,EC1V 9HQ
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Ordinary Driving Licence Payments,Operations,ABM UNIVERSITY LHB            ,#,660,COST OF MEDICAL CHECK,SA12 7BR
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Ordinary Driving Licence Payments,Operations,THE IPSWICH HOSPITAL NHS TRUST,#,550,COST OF MEDICAL CHECK,IP4 5PD
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Ordinary Driving Licence Payments,Operations,THE IPSWICH HOSPITAL NHS TRUST,#,550,COST OF MEDICAL CHECK,IP4 5PD
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Ordinary Driving Licence Payments,Operations,UNI HOSP BRISTOL NHS FT       ,#,600,COST OF MEDICAL CHECK,BS99 1YF
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Infrastructure Maint,Information Services,IBM UNITED KINGDOM LTD,2000071351,2471461.88,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Service Charge Software Licences,Finance & Commercial,IBM UNITED KINGDOM LTD,2000071351,11087.6,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Small Software,Information Services,IBM UNITED KINGDOM LTD,2000071351,18316.29,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Service Charge Software Licences,Finance & Commercial,IBM UNITED KINGDOM LTD,2000071351,365041.9,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Service Charge Software Licences,Finance & Commercial,IBM UNITED KINGDOM LTD,2000071351,86337.27,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Infrastructure Maint,Finance & Commercial,IBM UNITED KINGDOM LTD,2000071351,55932.83,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Infrastructure Maint,Finance & Commercial,IBM UNITED KINGDOM LTD,2000071351,-3109.56,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Infrastructure Maint,Information Services,IBM UNITED KINGDOM LTD,2000071351,4271449.26,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,IT Ser Running Costs,Finance & Commercial,IBM UNITED KINGDOM LTD,2000071351,2841871.21,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,IT Ser Running Costs,Finance & Commercial,IBM UNITED KINGDOM LTD,2000071351,343496.5,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,10/06/2013,Retrieval of Personal files,Information Services,TNT UK LTD,2000071353,532.28,#,BLO 9AR
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Rent - L&B (non-PFI),Finance & Commercial,TELEREAL TRILLIUM,2000071354,35134.8,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Water,Finance & Commercial,TELEREAL TRILLIUM,2000071354,2482.1,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Water,Finance & Commercial,TELEREAL TRILLIUM,2000071354,14781.07,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Mail Collection/Deli,Operations,DX SECURE LIMITED,2000071356,1079.82,#,NN3 6YG
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Telephone charges,Information Services,VIRGIN MEDIA BUSINESS LTD,2000071360,-952.67,#,BD4 8YD
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Telephone Line Rental,Information Services,VIRGIN MEDIA BUSINESS LTD,2000071360,668.74,#,BD4 8YD
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Telephone charges,Information Services,VIRGIN MEDIA BUSINESS LTD,2000071360,952.67,#,BD4 8YD
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Secured Stock,Operations,WILLIAMS LEA LIMITED,2000071361,4708.35,Notes on Your Driving Licence,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Printing Stock ,Operations,WILLIAMS LEA LIMITED,2000071361,0.04,Notes on Your Driving Licence,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Secured Stock,Operations,WILLIAMS LEA LIMITED,2000071361,4708.35,Notes on Your Driving Licence,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Printing Stock ,Operations,WILLIAMS LEA LIMITED,2000071361,0.04,Notes on Your Driving Licence,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,10/06/2013,Non-stock Printing,Finance & Commercial,WILLIAMS LEA LIMITED,2000071362,5053.17,Gainshare,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,10/06/2013,Non-stock Printing,Finance & Commercial,WILLIAMS LEA LIMITED,2000071362,32784.9,#,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000073110,941.4,WELSH 2ND CLASS MAILSORT,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000073110,1360.8,2ND CLASS MANILA WINDOW ENVELOPE,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000073110,0.06,2ND CLASS MANILA WINDOW ENVELOPE,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000073110,3811.92,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000073110,-1.68,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Secured Stock,Information Services,MBA GROUP LTD,2000073110,5197.56,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Printing Stock ,Information Services,MBA GROUP LTD,2000073110,0.07,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Debt Collection,Finance & Commercial,Philips Collection Services Ltd,2000073118,12682.65,#,DL3 9WT
Department for Transport,Driver & Vehicle Licensing Agency,11/06/2013,Live Running ,Operations,FUTRONICS LTD,2000074811,83609.89,#,TN15 7RS
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Rent - L&B (non-PFI),Finance & Commercial,TELEREAL TRILLIUM,2000074812,18000,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Rent - L&B (non-PFI),Finance & Commercial,TELEREAL TRILLIUM,2000074812,142500,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,19/06/2013,Ordinary Driving Licence Payments,Operations,X XXXXX XXXXXX          ,#,550,COST OF MEDICAL CHECK,xxxxxx
Department for Transport,Driver & Vehicle Licensing Agency,19/06/2013,Ordinary Driving Licence Payments,Operations,THE IPSWICH HOSPITAL NHST     ,#,550,COST OF MEDICAL CHECK,IP4 5PD
Department for Transport,Driver & Vehicle Licensing Agency,19/06/2013,Ordinary Driving Licence Payments,Operations,ROYAL B & H NHSFT             ,#,550,COST OF MEDICAL CHECK,UB9 6JH
Department for Transport,Driver & Vehicle Licensing Agency,19/06/2013,Ordinary Driving Licence Payments,Operations,LEEDS TEACHING HOSPITALS NHST ,#,504,COST OF MEDICAL CHECK,LS9 7TE
Department for Transport,Driver & Vehicle Licensing Agency,19/06/2013,Ordinary Driving Licence Payments,Operations,LEEDS TEACHING H NHS TRUST    ,#,504,COST OF MEDICAL CHECK,LS9 7TF
Department for Transport,Driver & Vehicle Licensing Agency,22/06/2013,Machinery Rental,Operations,PITNEY BOWES,2000074813,16738.6,#,CM19 5LS
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Telephone charges,Information Services,BT PLC INTERNATIONAL,2000074818,1160,#,EC1A 7AJ
Department for Transport,Driver & Vehicle Licensing Agency,10/06/2013,Telephone Line Rental,Information Services,VIRGIN MEDIA BUSINESS LTD,2000074821,4143.31,#,BD4 8YD
Department for Transport,Driver & Vehicle Licensing Agency,03/06/2013,Telephone Line Rental,Information Services,VIRGIN MEDIA BUSINESS LTD,2000074823,4569.25,#,BD4 8YD
Department for Transport,Driver & Vehicle Licensing Agency,21/06/2013,Car Parking,Finance & Commercial,Bestway Cash & Carry,2000076617,3128.4,#,SA6 8QD
Department for Transport,Driver & Vehicle Licensing Agency,23/06/2013,Estates PFI Unitary,Finance & Commercial,TELEREAL TRILLIUM,2000076711,1766643.34,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,23/06/2013,Estates PFI Unitary,Finance & Commercial,TELEREAL TRILLIUM,2000076711,243262.52,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Property Maintenance,Finance & Commercial,TELEREAL TRILLIUM,2000076712,2825.71,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Professional Services,Finance & Commercial,TELEREAL TRILLIUM,2000076712,969.5,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Professional Services,Finance & Commercial,TELEREAL TRILLIUM,2000076712,1542,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Professional Services,Finance & Commercial,TELEREAL TRILLIUM,2000076712,1000,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Professional Services,Finance & Commercial,TELEREAL TRILLIUM,2000076712,551.4,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Rent - L&B (non-PFI),Finance & Commercial,TELEREAL TRILLIUM,2000076712,50899.99,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Professional Services,Finance & Commercial,TELEREAL TRILLIUM,2000076712,1500,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,17/06/2013,Professional Services,Finance & Commercial,TELEREAL TRILLIUM,2000076712,1450,#,LS11 9DX
Department for Transport,Driver & Vehicle Licensing Agency,21/06/2013,Ordinary Driving Licence Payments,Operations,XX X X XXXXXXX      ,#,550,COST OF MEDICAL CHECK,xxxxxx
Department for Transport,Driver & Vehicle Licensing Agency,23/06/2013,Professional Services,Operations,BIGGART BAILLIE,2000076713,840,XX - XXXXXX - XXXX - XXXXXXXX,G2 5QR
Department for Transport,Driver & Vehicle Licensing Agency,23/06/2013,Professional Services,Operations,BIGGART BAILLIE,2000076713,720,XX - XXXXX - XXXX - XXXXXXXX,G2 5QR
Department for Transport,Driver & Vehicle Licensing Agency,23/06/2013,Professional Services,Operations,BIGGART BAILLIE,2000076713,720,XXXXXX - XXXXXX - XXXX - XXXXXXXX,G2 5QR
Department for Transport,Driver & Vehicle Licensing Agency,23/06/2013,Professional Services,Operations,BIGGART BAILLIE,2000076713,2744,XX - XXXXXX - XXXX - XXXXXXXX,G2 5QR
Department for Transport,Driver & Vehicle Licensing Agency,23/06/2013,Professional Services,Operations,BIGGART BAILLIE,2000076713,552,XX - XXXXXX - XXXX - XXXXXXXX,G2 5QR
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,OffEquip (Non-Cap),Operations,BANCTEC LTD,2000076714,847,#,SL3 0HF
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Machinery Rental,Operations,Ricoh UK Ltd,2000076715,1637.64,#,NN4 7YB
Department for Transport,Driver & Vehicle Licensing Agency,18/06/2013,Non-stock Printing,Operations,WILLIAMS LEA LIMITED,2000076722,32641.19,#,NR3 1PD
Department for Transport,Driver & Vehicle Licensing Agency,24/06/2013,Subsistence UK,Finance & Commercial,EXPOTEL HOTEL RESERVATIONS LTD,2000079372,889.6,#,SK4 2RZ
Department for Transport,Driver & Vehicle Licensing Agency,23/06/2013,Software Licence Exp,Finance & Commercial,ORACLE CORPORATION UK LTD,2000079375,38985.01,#,RG6 1RA
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Freight Charges,Finance & Commercial,DX SECURE LIMITED,2000079380,433.98,#,NN3 6YG
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Secured Stock,Information Services,MBA GROUP LTD,2000081145,6237.07,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Printing Stock ,Information Services,MBA GROUP LTD,2000081145,-0.07,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000081145,865.34,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000081145,-0.48,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,03/06/2013,Non Stock Machine Consumables,Operations,SUPPLIES TEAM,2000081147,2613.24,#,S9 1XU
Department for Transport,Driver & Vehicle Licensing Agency,03/06/2013,Debt Collection,Finance & Commercial,Philips Collection Services Ltd,2000081148,13548.41,#,DL3 9WT
Department for Transport,Driver & Vehicle Licensing Agency,03/06/2013,Debt Collection,Finance & Commercial,Philips Collection Services Ltd,2000081148,716.4,#,DL3 9WT
Department for Transport,Driver & Vehicle Licensing Agency,03/06/2013,Recruitment Advertising,Human Resource & Est,WORK GROUP PLC,2000081149,3533.76,#,EC1N 8EQ
Department for Transport,Driver & Vehicle Licensing Agency,28/06/2013,Machinery Maintenanc,Operations,KODAK LTD,2000082919,1950,#,HP2 7YU
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000082920,1935.36,85GSM MANILA WINDOW OUTER FOR EVL,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000082920,1579.97,120 x 214 manila BRS for TYR/OSG only,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000082920,-0.1,120 x 214 manila BRS for TYR/OSG only,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000082920,1044,162 x 229mm manila with window,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,27/06/2013,Ordinary Driving Licence Payments,Operations,GREAT WESTERN H NHS FT        ,#,600,COST OF MEDICAL CHECK,SN3 6BB
Department for Transport,Driver & Vehicle Licensing Agency,26/06/2013,Ordinary Driving Licence Payments,Operations,NHS TAYSIDE NUCLEAR MED DEPT  ,#,550,COST OF MEDICAL CHECK,DD1 9SY
Department for Transport,Driver & Vehicle Licensing Agency,26/06/2013,Ordinary Driving Licence Payments,Operations,GREATER GLASGOW NHS ENDOW FUND,#,550,COST OF MEDICAL CHECK,G31 2ER
Department for Transport,Driver & Vehicle Licensing Agency,26/06/2013,Ordinary Driving Licence Payments,Operations,XX X XXXXX XXXXXX       ,#,550,COST OF MEDICAL CHECK,xxxxxx
Department for Transport,Driver & Vehicle Licensing Agency,27/06/2013,Ordinary Driving Licence Payments,Operations,N LINCS & GOOLE HOSPS NHSFT   ,#,550,COST OF MEDICAL CHECK,DN33 2BA
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Mobile Phone charges,Finance & Commercial,ORANGE PCS,2000082923,457.5,RW Call charges March 2013,BS32 4QJ
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Mobile Phone charges,Finance & Commercial,ORANGE PCS,2000082923,830.91,#,BS32 4QJ
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Mobile Phone charges,Finance & Commercial,ORANGE PCS,2000082923,140.2,RW Call charges February 2013,BS32 4QJ
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Mobile Phone charges,Finance & Commercial,ORANGE PCS,2000082923,1047.67,#,BS32 4QJ
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Debt Collection,Finance & Commercial,INTER CREDIT INTERNATIONAL LTD,2000082924,1804.15,#,N14 6JT
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Debt Collection,Finance & Commercial,INTER CREDIT INTERNATIONAL LTD,2000082924,18679.5,#,N14 6JT
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Non Stock Machine Consumables,Operations,SUPPLIES TEAM,2000082926,2366.16,857-4224 MY LEXMARK T654 TONER CARTRIDGE,S9 1XU
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Non Stock Machine Consumables,Operations,SUPPLIES TEAM,2000082926,1183.08,857-4224 MY LEXMARK T654 TONER CARTRIDGE,S9 1XU
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Machinery Rental,Operations,Ricoh UK Ltd,2000082927,4559.44,#,NN4 7YB
Department for Transport,Driver & Vehicle Licensing Agency,25/06/2013,Secured Stock,Information Services,ADHESIVE COATINGS LTD,2000082928,6932.16,Carrier Label for Photocard Licence,OL11 1TQ
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Agency Staff Costs,Human Resource & Est,NETWORKERS INTERNATIONAL PLC,2000082932,3216,#,BR1 1HP
Department for Transport,Driver & Vehicle Licensing Agency,04/06/2013,Agency Staff Costs,Human Resource & Est,NETWORKERS INTERNATIONAL PLC,2000082932,1286.4,#,BR1 1HP
Department for Transport,Driver & Vehicle Licensing Agency,05/06/2013,Machinery Maintenanc,Operations,IBM UK LTD (EURO PAYMENTS),2000084912,-6656.78,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,05/06/2013,Machinery Maintenanc,Operations,IBM UK LTD (EURO PAYMENTS),2000084912,-7975.55,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,05/06/2013,Computer Equipment S,Information Services,IBM UK LTD (EURO PAYMENTS),2000084912,43477.96,#,PO6 3AE
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000084914,1441.8,Plain C5 162 X 229,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000084914,0.01,Plain C5 162 X 229,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000084914,522,162 x 229mm manila with window,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000084914,0.06,162 x 229mm manila with window,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000084914,1935.36,85GSM MANILA WINDOW OUTER FOR EVL,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000084914,1667.88,"162 X 236 MM, 2nd cl wind - TYR/OSG",MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000084914,0.16,"162 X 236 MM, 2nd cl wind - TYR/OSG",MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000084914,4453.49,120 X 214MM MANILA COURTESY RESPONSE,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000084914,-0.01,120 X 214MM MANILA COURTESY RESPONSE,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Non Sec stock,Information Services,MBA GROUP LTD,2000084914,1796.76,105 X 216MM MANILA COURTESY RESPONSE,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Printing Stock ,Information Services,MBA GROUP LTD,2000084914,0.01,105 X 216MM MANILA COURTESY RESPONSE,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000084914,3811.92,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000084914,-1.68,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000084914,865.34,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000084914,-0.57,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000084914,2596.03,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000084914,-1.53,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,05/06/2013,Courier Charges,Operations,ROYAL MAIL GROUP LTD,2000084915,2142.89,#,S49 1HQ
Department for Transport,Driver & Vehicle Licensing Agency,05/06/2013,Mail Collection/Deli,Operations,ROYAL MAIL GROUP LTD,2000084915,633518.35,#,S49 1HQ
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Software Licence Exp,Finance & Commercial,EMC COMPUTER SYSTEMS (UK) LTD,2000084917,139971.6,#,TW8 9AN
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Cars Maintenance,Finance & Commercial,LINDE SEVERNSIDE LTD,2000084919,610,#,CF31 3EZ
Department for Transport,Driver & Vehicle Licensing Agency,29/06/2013,Cars Maintenance,Finance & Commercial,LINDE SEVERNSIDE LTD,2000084919,610,#,CF31 3EZ
Department for Transport,Driver & Vehicle Licensing Agency,06/06/2013,Further Educ Cost,Human Resource & Est,XXX,2000087617,750,XXXX XXXXXX XXXXXXXX,SA6 7JL
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Secured Stock,Information Services,MBA GROUP LTD,2000087618,1108.8,"114x229mm, 85gsm manila, 2nd class",MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000087618,780.63,REPLY ENVELOPE SECOND CLASS,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000087618,-0.01,REPLY ENVELOPE SECOND CLASS,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000087618,1059.84,C5 White SS,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000087618,1044,162 x 229mm manila with window,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000087618,1935.36,85GSM MANILA WINDOW OUTER FOR EVL,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Secured Stock,Operations,MBA GROUP LTD,2000087618,714.56,ENVELOPE FOR LOG USE ONLY,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000087618,967.68,85GSM MANILA WINDOW OUTER FOR EVL,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000087618,-0.3,85GSM MANILA WINDOW OUTER FOR EVL,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Secured Stock,Information Services,MBA GROUP LTD,2000087618,1039.51,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Printing Stock ,Information Services,MBA GROUP LTD,2000087618,-0.01,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Non Sec stock,Operations,MBA GROUP LTD,2000087618,3049.54,#,MK11 3ET
Department for Transport,Driver & Vehicle Licensing Agency,30/06/2013,Printing Stock ,Operations,MBA GROUP LTD,2000087618,-1.28,#,MK11 3ET
