Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,"Capital/
Revenue",Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY104566,"3,333.00",Revenue,Groundwork South,108934
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY104568,"3,333.00",Revenue,Groundwork South,108934
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY104565,"7,414.04",Revenue,Groundwork South,108934
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY104567,"7,414.04",Revenue,Groundwork South,108934
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY104746,561.60,Revenue,Healthcare Southwest Ltd,108941
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Internal Contractor AMEY,22/12/2015,PLY103888,"1,018.32",Capital,Imtech Traffic & Infra UK Limited,109014
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Internal Contractor AMEY,22/12/2015,PLY103889,961.04,Capital,Imtech Traffic & Infra UK Limited,109014
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Supplies and Services,Maintenance Of Equipment,22/12/2015,PLY103889,961.04,Revenue,Imtech Traffic & Infra UK Limited,109014
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Supplies and Services,Maintenance Of Equipment,22/12/2015,PLY103878,698.52,Revenue,Imtech Traffic & Infra UK Limited,109014
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Supplies and Services,Maintenance Of Equipment,22/12/2015,PLY103882,"1,045.84",Revenue,Imtech Traffic & Infra UK Limited,109014
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Supplies and Services,Maintenance Of Equipment,22/12/2015,PLY103885,"1,109.85",Revenue,Imtech Traffic & Infra UK Limited,109014
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Supplies and Services,Maintenance Of Equipment,22/12/2015,PLY103888,"1,018.32",Revenue,Imtech Traffic & Infra UK Limited,109014
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Leaving Care Cost,22/12/2015,PLY104699,"1,000.00",Revenue,Redacted personal data,109235
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Shared Property,Transformation and Change,Premises,Rents,22/12/2015,PPPLY06502,"7,000.00",Revenue,Stuart Partners Limited,109340
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Printing,22/12/2015,999633634,658.00,Revenue,Real Fusion Ltd,109428
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Supplies and Services,Various,22/12/2015,Various,"3,416.51",Revenue,Protective Wear Supplies Ltd,110073
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Shared Property,Transformation and Change,Premises,Repair & Maintenance Of Heating Equipmen,22/12/2015,PLY104660,801.75,Revenue,Trend Control Systems Limited,110195
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Transformation and Change,Capital Expenditure,Private Contractor  Main Contract,22/12/2015,PLY104394,"153,511.68",Capital,Claremont Group Interiors Ltd,110421
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Public Health,Public Health,Third Party Payments,Third Party Payments  OLA,22/12/2015,PLY103518,613.04,Revenue,Chelsea & Westminster Hospital NHS Foundation Trus,111051
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Public Health,Public Health,Third Party Payments,Third Party Payments  OLA,22/12/2015,PLY104827,"1,018.00",Revenue,Northern Devon Healthcare NHS Trust,111177
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor  Main Contract,22/12/2015,PLY103038,"3,246.00",Capital,Cubic Transportation Systems (ITMS) Limited,112058
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Fuel Oil,22/12/2015,PLY103655,778.20,Revenue,Emo Oils,112707
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Libraries Property,Transformation and Change,Premises,Repair & Maintenance Of Heating Equipmen,22/12/2015,PLY104711,"1,568.46",Revenue,Emo Oils,112707
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Supplies and Services,Purchase Of Materials,22/12/2015,PLY103877,"8,584.71",Revenue,Emo Oils,112707
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Supplies and Services,Purchase Of Materials,22/12/2015,PLY104407,"8,600.31",Revenue,Emo Oils,112707
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY104290,600.00,Revenue,Mr Daniel Swan,113617
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY104290,612.50,Revenue,Mr Daniel Swan,113617
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Purchase of Equipment,22/12/2015,PLY102896,"6,944.52",Capital,Urbis Schreder Ltd,113802
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor  Main Contract,22/12/2015,PLY103668,"21,958.50",Capital,Kier MG Limited (Kier Services),113806
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor  Main Contract,22/12/2015,PLY103670,"53,509.27",Capital,Kier MG Limited (Kier Services),113806
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Supplies and Services,Maintenance Of Equipment,22/12/2015,PLY103670,"121,052.05",Revenue,Kier MG Limited (Kier Services),113806
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Supplies and Services,Maintenance Of Equipment,22/12/2015,PLY105134,"7,872.97",Revenue,Kier MG Limited (Kier Services),113806
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Hire Of Equipment,22/12/2015,PLY104085,616.00,Revenue,New Wave Marine Ltd,114391
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Professional Fees,22/12/2015,PLY104927,500.00,Revenue,PL1 Events Limited,114568
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Vehicle Hire Charges,22/12/2015,TM0000013,"1,500.00",Revenue,Collett Transport Services,115000
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Vehicle Hire Charges,22/12/2015,TM0000018,478.80,Revenue,Collett Transport Services,115000
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Vehicle Hire Charges,22/12/2015,TM0000034,"2,640.00",Revenue,Collett Transport Services,115000
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Vehicle Hire Charges,22/12/2015,TM0000035,"3,586.00",Revenue,Collett Transport Services,115000
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Vehicle Hire Charges,22/12/2015,TM0000036,"3,000.00",Revenue,Collett Transport Services,115000
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Vehicle Hire Charges,22/12/2015,TM0000037,"3,300.00",Revenue,Collett Transport Services,115000
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Vehicle Hire Charges,22/12/2015,PLY104991,900.00,Revenue,Collett Transport Services,115000
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY103760,800.00,Revenue,Redacted personal data,115112
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Floating Support Service,22/12/2015,PPPLY06562,"11,090.88",Revenue,Purple Balm Ltd,115650
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY105143,600.00,Revenue,Jennifer Tear,116008
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Grants To Other Bodies,22/12/2015,PLY105129,"2,000.00",Revenue,Birmingham Museums Trust,116021
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Secure Unit  OLA,22/12/2015,PLY104962,"22,050.00",Revenue,Sheffield City Council,116132
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Transfer Payments,Social Fund Awards,22/12/2015,PLY104843,722.97,Revenue,Advanced Financial Ltd,116142
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Transfer Payments,Social Fund Awards,22/12/2015,PLY104844,"1,136.93",Revenue,Advanced Financial Ltd,116142
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Social Servs Block Contracts  Volu,22/12/2015,PLY103618,"9,595.00",Revenue,Blind Children UK,116325
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Grants Paid Out,22/12/2015,PLY105009,"3,900.00",Capital,Redacted personal data,116405
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,People Directorate,Capital Expenditure,Grants Paid Out,22/12/2015,PLY105205,"450,000.00",Capital,Aster Communities (Grants),116428
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Grants  Private Contractors,22/12/2015,PLY105024,"122,957.16",Revenue,On Course South West CIC,116514
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,ICT base package AD User,Transformation and Change,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY105047,"73,500.00",Revenue,Delt Shared Services,116922
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Planning Services,Place Directorate,Supplies and Services,Contributions To Other Bodies,22/12/2015,PLY103842,"7,889.70",Revenue,Petroc,117132
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Grants To Other Bodies,22/12/2015,PLY103724,"1,250.00",Revenue,Children`s University (CU) Trust,117471
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care Reablement Block,22/12/2015,PPPLY06496,"90,870.00",Revenue,The Human Support Group Limited,117658
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Dom Care  Private Contractors,22/12/2015,PLY104340,656.80,Revenue,Nurse Plus & Care Plus (UK) Ltd,117660
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,22/12/2015,Various,551.03,Revenue,Nurse Plus & Care Plus (UK) Ltd,117660
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Other Social Servs Block Contracts  Volu,22/12/2015,PLY104535,"26,972.00",Revenue,PLUSS,117661
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Other Social Servs Block Contracts  Volu,22/12/2015,PLY104536,"26,972.00",Revenue,PLUSS,117661
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Outreach Service,22/12/2015,PPPLY06565,"73,717.56",Revenue,Plymouth Guild,117664
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Private Contractors,22/12/2015,PLY105025,"20,814.96",Revenue,Mount Batten Centre Charity Trust,117815
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care  Private Contractors,22/12/2015,981042660,"1,098.29",Revenue,Active Assistance,117878
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Supplies and Services,Consultancy Fees,22/12/2015,PLY104752,"1,296.58",Revenue,Plymouth Barbican Trust Ltd,117990
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY104993,"18,726.55",Revenue,The O.T Practice Limited,118422
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,School Fees  Independent Schools,22/12/2015,PLY104333,"2,100.00",Revenue,Bettercare Keys Ltd,119121
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,People Directorate,Capital Expenditure,Grants Paid Out,22/12/2015,PLY103042,"3,181.45",Capital,British Gas,119128
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Grants Paid Out,22/12/2015,PLY104693,"3,900.00",Capital,Redacted personal data,119202
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Purchase Of Materials,22/12/2015,PLY104423,"3,420.81",Revenue,Ecotoilets Ltd,119339
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Place Directorate,Supplies and Services,Consultancy Fees,22/12/2015,PLY103633,"10,840.00",Revenue,Bray Lieno,119366
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Supplies and Services,Purchase Of Catering Provisions,22/12/2015,Various,536.43,Revenue,Oakhouse Foods SW ( Exeter ),119377
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Grants Paid Out,22/12/2015,PLY105011,"3,900.00",Capital,Redacted personal data,119394
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Grants Paid Out,22/12/2015,PLY105010,"3,900.00",Capital,Redacted personal data,119397
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Employees,Training,22/12/2015,PLY104770,"2,550.00",Revenue,D.ESCAL8,119441
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Upkeep Of Grounds,22/12/2015,PLY105154,960.00,Revenue,"Dorset, Devon & Cornwall Community Rehabilitation",119932
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Upkeep Of Grounds,22/12/2015,PLY105155,"2,080.00",Revenue,"Dorset, Devon & Cornwall Community Rehabilitation",119932
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Agency & Contracted Services,22/12/2015,PLY104766,"1,102.50",Revenue,Harris & Harris,119937
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Grants Paid Out,22/12/2015,PLY104694,"3,900.00",Capital,Redacted personal data,119995
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,People Directorate,Supplies and Services,Contributions To Other Bodies,22/12/2015,PLY104842,"3,600.00",Revenue,Silk Road Security & Investigations Ltd,120223
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Professional Fees,22/12/2015,PLY103509,"1,500.00",Revenue,World Jungle Limited,120237
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Professional Fees,22/12/2015,PLY105185,661.50,Revenue,Insitju Fine Art and Conservation Ltd,120302
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY105173,568.00,Revenue,Mr Nick Bradley,120303
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,People Directorate,Supplies and Services,Advertising & Publicity,22/12/2015,PLY104820,"3,254.50",Revenue,Triad Trade Textiles Ltd,120385
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,People Directorate,Supplies and Services,Advertising & Publicity,22/12/2015,Various,700.00,Revenue,Triad Trade Textiles Ltd,120385
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Third Party Payments,Grants  Private Contractors,22/12/2015,PLY104924,"1,000.00",Revenue,Plymouth Argyle Disabled Supporters Association,120425
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Employees,Training,22/12/2015,PLY104973,550.00,Revenue,Steve Hindmarsh Ltd Mediation Training & Services,120487
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Planning Services,People Directorate,Premises,Rents,22/12/2015,PLY105121,"1,000.00",Revenue,Redacted personal data,120527
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Transport,Fuel Costs,03/12/2015,599012095,529.99,Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Transport,Fuel Costs,03/12/2015,599012094,681.13,Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Transport,Fuel Costs,03/12/2015,599012093,420.26,Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Transport,Fuel Costs,03/12/2015,599012095,477.30,Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Transport,Fuel Costs,03/12/2015,599012091,743.73,Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Fuel Costs,03/12/2015,599012091,"4,914.06",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Fuel Costs,03/12/2015,599012092,"3,508.31",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Fuel Costs,03/12/2015,599012095,"4,077.51",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Fuel Costs,03/12/2015,599012093,"4,561.59",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Fuel Costs,03/12/2015,599012094,"5,175.10",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Transport,Fuel Costs,03/12/2015,Various,"8,919.80",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Assets,Transformation and Change,Supplies and Services,Postages,03/12/2015,599012089,"15,000.00",Revenue,Neopost Limited,45030
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Transaction Centre,Transformation and Change,Supplies and Services,Bank Charges,03/12/2015,599012090,581.50,Revenue,Global Payment,107953
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care Block Contract,03/12/2015,599012081,"396,048.62",Revenue,CHAPS PAYMENT,115936
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Balance Sheet,Place Directorate,Balance Sheet,Payments,03/12/2015,599012073,"1,123,372.99",Revenue,Amey LG Limited,116617
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Balance Sheet,Place Directorate,Balance Sheet,Income,03/12/2015,599012074,"230,515.12",Revenue,Amey LG Limited,116617
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Advances  Loan,03/12/2015,599012103,"340,000.00",Capital,PLYMOUTH SCIENCE PARK,118081
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Transfer Payments,Gatefee,03/12/2015,599012097,"1,156,652.71",Revenue,MVV ENVIRONMENTAL,119227
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Accommodation Based Service,10/12/2015,599012106,"3,135.97",Revenue,CHAPS PAYMENT,115936
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Transaction Centre,Transformation and Change,Supplies and Services,Bank Charges,17/12/2015,599012114,"6,707.71",Revenue,Co-Operative Bank Plc,29968
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Transport,Vehicle & Plant Leasing Charges,17/12/2015,999632700,"1,614.34",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Transport,Fuel Costs,17/12/2015,599012112,553.23,Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Transport,Fuel Costs,17/12/2015,599012112,"3,383.39",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Transport,Fuel Costs,17/12/2015,599012112,"2,066.98",Revenue,Arvall PHH,44201
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Transaction Centre,Transformation and Change,Supplies and Services,Bank Charges,17/12/2015,599012113,"3,472.76",Revenue,Global Payment,107953
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,17/12/2015,599012127,"6,500.00",Revenue,CHAPS PAYMENT,115936
,,,,,,,,,,,
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Supplies and Services,Legal Expenses,04/12/2015,34640208,3585.00,Revenue,Hmcourts-Service.G,2170
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Purchase Of Equipment,04/12/2015,34640543,700.40,Revenue,G S Catering Equip,12845
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,People Directorate,Supplies and Services,Purchase Of Equipment,04/12/2015,34640581,420.00,Revenue,Solon Security Ltd,65210
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Purchase Of Equipment,11/12/2015,34676593,1573.37,Revenue,M & K Supplies,7513
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Purchase Of Equipment,04/12/2015,34640565,581.67,Revenue,Currys Online,6860
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Purchase Of Equipment,11/12/2015,34676647,720.00,Revenue,A2z Sign Shop,3014
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Planning Services,Place Directorate,Employees,Training,11/12/2015,34676844,516.37,Revenue,It Online Learning,313288
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Upkeep Of Grounds,11/12/2015,34676813,781.25,Revenue,Barlow Tyrie Ltd,266135
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Leaving Care Cost,11/12/2015,34676838,540.83,Revenue,Abdullah & Sons Co,313290
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Sewerage & Environmental Charges,11/12/2015,34676822,714.00,Revenue,Rm / Sj Jones / Sw,49089
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core HR and OD,Transformation and Change,Premises,Security,11/12/2015,34676837,867.45,Revenue,Safetynetso,15258
,,,,,,,,,,,
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Special Responsibility Allowance,18/12/2015,34734029,2592.00,Revenue,Redacted personal data,N/A-Payroll
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Councillors Basic Allowance,18/12/2015,34733921,864.00,Revenue,"Evans, Tudor",N/A-Payroll
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Councillors Basic Allowance,18/12/2015,34733936,864.00,Revenue,"Fry, Albert",N/A-Payroll
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Special Responsibility Allowance,18/12/2015,34734007,1728.00,Revenue,Redacted personal data,N/A-Payroll
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Councillors Basic Allowance,18/12/2015,34733937,864.00,Revenue,"James, David",N/A-Payroll
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Councillors Basic Allowance,18/12/2015,34733935,864.00,Revenue,"Nicholson, Patrick",N/A-Payroll
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Special Responsibility Allowance,18/12/2015,34734006,864.00,Revenue,Redacted personal data,N/A-Payroll
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Councillors Basic Allowance,18/12/2015,34733922,864.00,Revenue,"Pengelly, Vivien",N/A-Payroll
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Executive Office,Employees,Councillors Basic Allowance,18/12/2015,34733923,864.00,Revenue,"Wigens, Kevin",N/A-Payroll
