UK in Context CSVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues, which refers to letter mail only. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. All figures are nominal and are displayed at 2014 currency exchange ratesNote: Postal revenues are for our 18 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,2014,,YoY,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile and smartphone take up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom ResearchBase: All respondents Q.4a Which of the following devices do you personally use?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Phone (not smart),24,27,26,24,24,4,22,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,67,66,70,79,57,77,69,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any mobile,91,93,96,103,81,81,91,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of smartphones and mobile phones to access the internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014 & September – October 2015 Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002. Q.7a Which of the following devices do you use to access the internet?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Smartphone,Mobile Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,2014,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2014,44,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,54,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2014,51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2014,71,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,75,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2014,44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2014,45,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,45,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2014,57,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2014,70,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,77,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Checking smartphones at the start of the day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean average (minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who Own A Smartphone Q42 - Typically How Long Is The Interval Between You Waking Up And Looking At Your Phone For The First Time (not Including Turning Off Your Phone's Alarm Clock)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immediately,0,12,7,8,14,17,25,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within 5 minutes,5,35,21,25,37,43,50,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,45,29,34,48,52,57,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within 15 minutes,15,55,37,44,60,61,64,54,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,60,43,50,66,66,68,59,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,66,49,57,72,70,73,63,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within 30 minutes,30,71,54,63,78,75,77,67,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,74,58,67,80,78,79,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,77,61,70,83,80,82,73,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,80,64,73,85,83,85,76,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,83,67,77,88,85,87,79,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,85,71,80,90,88,90,82,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within an hour,60,88,74,83,92,90,93,85,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,89,75,84,93,91,93,86,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,89,76,84,93,91,93,86,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,89,77,85,93,91,94,87,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,90,78,85,94,92,94,87,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,90,79,86,94,92,94,88,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,91,80,86,94,92,95,88,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,91,81,87,94,93,95,89,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,91,82,87,95,93,95,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,92,83,88,95,93,95,90,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,92,84,88,95,94,96,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,92,85,89,96,94,96,91,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,93,86,89,96,94,96,91,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,93,87,90,96,94,97,92,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,93,88,90,96,95,97,92,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,94,89,91,97,95,97,93,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,94,89,91,97,95,98,93,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,94,90,92,97,96,98,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within three hours,150,95,91,92,98,96,98,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,96,93,93,98,97,99,95,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,96,94,94,98,97,99,96,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,97,95,96,99,98,99,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,170,98,96,97,99,98,99,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,99,98,98,99,99,100,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,99,99,99,100,99,100,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longer than three hours,185,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First application accessed in the morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who Own a smartphone Q43 - Typically What Is The First Thing You Access On Your Phone Every Day?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text messages,30,38,11,14,28,3,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-mails,26,22,18,16,24,31,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social networks,13,6,5,12,13,12,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant messaging,6,6,31,30,3,5,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The weather,5,6,10,4,10,11,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The news,5,3,6,4,2,11,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surf the internet (for other information),2,2,1,6,2,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice mails,2,7,2,1,5,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games,1,2,2,2,2,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,10,9,15,11,10,12,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,101,101,100,99,100,101,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency of checking smartphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who have a smartphoneQ45 - How Many Times Would You Estimate You Look At Your Phone In A Day?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over 100 times,,7,5,5,8,11,4,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between 51 and 100 times,,11,8,10,12,14,6,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between 26 and 50 times,,22,18,21,23,22,21,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between 11 and 25 times,,31,34,33,33,29,37,29,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 10 times,,28,33,30,23,23,30,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never,,1,1,2,1,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Checking smartphones at the end of the day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean average (minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who Own A Smartphone Q44 - At The End Of The Day, Typically How Long Is The Interval Between You Looking At Your Phone For The Last Time And Preparing To Sleep (not Including Setting The Phone's Alarm Clock)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immediately,0,10,8,8,14,13,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within 5 minutes,5,28,22,24,37,33,37,30,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,37,29,33,46,43,46,37,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within 15 minutes,15,45,36,42,56,52,55,45,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,50,42,48,61,57,61,50,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,56,48,54,67,62,66,55,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within 30 minutes,30,61,54,60,72,67,71,60,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,64,57,63,75,70,74,63,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,67,60,66,77,72,77,66,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,70,63,69,80,75,80,69,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,73,66,71,83,77,82,71,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,76,70,74,85,80,85,74,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within an hour,60,79,73,77,88,83,88,77,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,80,74,78,88,83,88,78,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,80,75,78,89,84,89,78,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,81,76,79,89,84,89,79,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,82,77,80,90,85,90,80,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,82,78,81,90,85,90,81,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,83,79,81,91,86,90,81,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,84,80,82,91,86,91,82,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,84,81,83,92,87,91,83,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,85,82,83,92,87,92,84,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,86,83,84,93,88,92,84,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,86,84,85,93,88,93,85,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,87,85,86,94,89,93,86,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,88,86,86,94,89,93,87,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,88,87,87,94,90,94,87,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,89,88,88,95,90,94,88,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,90,89,89,95,91,95,89,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,90,90,89,96,91,95,90,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within three hours,150,91,91,90,96,92,96,90,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,92,92,91,97,93,96,92,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,94,93,93,97,94,97,93,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,95,95,94,98,95,97,94,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
,170,96,96,96,98,96,98,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,97,97,97,99,98,99,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,99,99,98,99,99,99,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longer than three hours,185,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular smartphone communication methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean average (minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who Have A Smartphone Q34 - In The Last 7 Days, In Which, If Any, Of The Following Ways Did You Use Your Phone To Communicate With Others?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice calls (receiving or making a standard phone call),75,83,62,78,80,70,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text messages (SMS),89,91,64,75,88,41,90,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant messaging app,46,29,68,74,40,51,42,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emails,60,55,56,60,67,74,55,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social networks,51,37,39,61,60,29,52,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice calls using the internet (VoIP),14,10,17,26,15,20,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picture or video messages (MMS),19,52,12,29,47,7,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video calls,12,10,8,15,17,5,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
News and Entertainment use in general and out of the home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean average (minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who Have A Smartphone. Q61 - For Which, If Any, Of The Following Do You Typically Use Your Phone For?Q62 - And For Which, If Any, Of The Following Do You Typically Use Your Phone For While Out And About?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESP,AUS,JPN,USA,ITA,GER,FRA,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read The News,50,35,58,38,53,54,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch Short Videos,51,36,44,46,50,39,34,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stream Music,17,12,9,24,19,13,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch Video News Stories On News Apps,18,9,20,16,16,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listen To Online Radio,23,12,12,30,19,18,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch Tv Programmes Via Catch-up Services,6,6,4,7,7,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stream Films And/or Tv Series,5,5,5,19,5,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch Live Tv,7,3,8,8,7,4,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphones use in financial transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who Have A Smartphone Q50 - How Frequently, If At All, Do You Use Your Phone To Do At Least One Of These Things? Chart shows net of ‘Ever’",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESP,AUS,JPN,USA,ITA,GER,FRA,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make an in-store payment,18,33,22,22,23,13,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pay a bill,22,44,13,42,22,20,11,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transfer money to another individual 
in the country / in a different country",19,48,13,32,22,19,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check bank balances,53,63,36,58,44,40,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using a smartphone during other activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of 4G respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who Have A Smartphone Q46 - How Often, If At All, Do You Use Your Mobile Phone While Doing The Following? Chart shows answers ‘Almost Always’ and ‘Very often’",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESP,AUS,JPN,USA,ITA,GER,FRA,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While driving,3,4,1,8,7,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When crossing the road,7,4,3,6,7,2,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When in a business meeting,7,4,1,10,9,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When eating in a restaurant  
with my family or friends",10,7,3,14,14,4,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When eating at home 
with my family or friends",10,9,4,16,14,5,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When talking to family or friends,15,11,4,19,19,5,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When meeting my friends 
on a night out",14,13,3,20,22,8,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When spending time 
with my family or friends",10,10,7,18,20,10,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While walking,17,14,5,19,21,7,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While Out Shopping,19,18,10,27,17,9,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While watching TV / a film,25,21,15,27,25,15,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While at work,29,30,15,37,33,20,38,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Using Public Transport,42,35,39,29,40,29,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of apps downloaded per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Deloitte Survey Base: All Adults Who have a smartphone Q64 - How Many Apps Do You Download On Your Phone In A Typical Month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
