Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,PSPES Level 2,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BLACKPOOL BC,,,,5000231866,,Grant Payable by Exchequer,FY1 1NA,"2,352,845.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BOLTON MBC,,,,5000231870,,Grant Payable by Exchequer,BL1 1RU,"3,381,819.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BOSTON BC,,,,5000231872,,Grant Payable by Exchequer,PE21 8QR,"291,478.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BOURNEMOUTH DC,,,,5000231874,,Grant Payable by Exchequer,BH2 6EB,"1,020,885.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BRACKNELL FOREST DC,,,,5000231876,,Grant Payable by Exchequer,RG12 1AQ,"1,279,282.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BRADFORD MBC,,,,5000231878,,Grant Payable by Exchequer,BD1 1HX,"3,006,351.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BRAINTREE DC,,,,5000231880,,Grant Payable by Exchequer,CM7 6HB,"361,658.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BROMSGROVE DC,,,,5000231888,,Grant Payable by Exchequer,B60 1AA,"111,716.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BURNLEY BC,,,,5000231893,,Grant Payable by Exchequer,BB11 1JA,"47,114.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,BURY MBC,,,,5000231895,,Grant Payable by Exchequer,BL9 0SP,"3,934,368.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CALDERDALE MBC,,,,5000231897,,Grant Payable by Exchequer,HX1 1YP,"569,059.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CAMBRIDGE CITY COUNCIL,,,,5000231899,,Grant Payable by Exchequer,CB2 3NA,"528,312.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CANNOCK CHASE DC,,,,5000231903,,Grant Payable by Exchequer,WS11 1BG,"860,024.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CHELMSFORD BC,,,,5000231911,,Grant Payable by Exchequer,CM1 1JE,"2,494,671.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CHELTENHAM BC,,,,5000231913,,Grant Payable by Exchequer,GL50 1PW,"69,933.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CHERWELL DC,,,,5000231915,,Grant Payable by Exchequer,OX15 4AA,"1,664,228.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CHESHIRE EAST COUNCIL,,,,5000232090,,Grant Payable by Exchequer,CH1 1SG,"987,228.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CHILTERN DC,,,,5000231921,,Grant Payable by Exchequer,HP6 5AW,"881,967.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,COTSWOLD DC,,,,5000231935,,Grant Payable by Exchequer,GL7 1PX,"299,030.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,CRAVEN DISTRICT COUNCIL,,,,5000231939,,Grant Payable by Exchequer,BD23 1PS,"916,962.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,DARLINGTON BC,,,,5000231945,,Grant Payable by Exchequer,TS19 1JA,"89,070.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,DERBY CITY CNCL,,,,5000231949,,Grant Payable by Exchequer,DE1 2FS,"433,550.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,DONCASTER MBC,,,,5000231953,,Grant Payable by Exchequer,DN1 3QA,"1,920,455.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,DOVER DC,,,,5000231955,,Grant Payable by Exchequer,CT16 3PD,"118,383.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,DUDLEY MBC,,,,5000231957,,Grant Payable by Exchequer,DY1 1HF,"714,920.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,DURHAM COUNTY COUNCIL,,,,5000232096,,Grant Payable by Exchequer,DH1 5UE,"3,743,339.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,EAST HERTFORDSHIRE DC,,,,5000231965,,Grant Payable by Exchequer,SG13 8EQ,"514,892.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,EAST STAFFORDSHIRE BC,,,,5000231971,,Grant Payable by Exchequer,DE14 2EB,"282,626.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,EASTLEIGH BOROUGH COUNCIL,,,,5000231975,,Grant Payable by Exchequer,SO5 9YN,"159,667.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,EPPING FOREST DC,,,,5000231982,,Grant Payable by Exchequer,CM16 4BZ,"204,362.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,FOREST HEATH DISTRICT COUNCIL,,,,5000231992,,Grant Payable by Exchequer,IP28 7EY,"111,549.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,FYLDE BC,,,,5000231994,,Grant Payable by Exchequer,FY8 1LW,"647,088.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,GATESHEAD MBC,,,,5000231996,,Grant Payable by Exchequer,NE8 1HH,"2,693,027.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,GLOUCESTER CITY CNCL,,,,5000232000,,Grant Payable by Exchequer,GL1 2EQ,"1,053,914.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,GOSPORT BOROUGH COUNCIL,,,,5000232002,,Grant Payable by Exchequer,PO12 1ED,"430,714.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HALTON BC,,,,5000232013,,Grant Payable by Exchequer,WA8 7QF,"1,375,365.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HAMMERSMITH & FULHAM LB,,,,5000232017,,Grant Payable by Exchequer,W6 9JU,"15,746,180.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HARINGEY LB,,,,5000232021,,Grant Payable by Exchequer,N22 7TR,"1,618,700.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HARLOW COUNCIL,,,,5000232023,,Grant Payable by Exchequer,CM20 1WG,"2,057,412.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HART DC,,,,5000232029,,Grant Payable by Exchequer,GU13 8AE,"1,796,302.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HASTINGS BC,,,,5000232033,,Grant Payable by Exchequer,TN34 3WN,"631,296.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HAVERING LB,,,,5000232037,,Grant Payable by Exchequer,RM1 3BB,"4,605,484.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HERTSMERE BC,,,,5000232041,,Grant Payable by Exchequer,WD6 1WA,"7,442.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HIGH PEAK BC,,,,5000232043,,Grant Payable by Exchequer,SK17 6EL,"272,743.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HORSHAM DC,,,,5000232047,,Grant Payable by Exchequer,RH12 1RL,"1,107,174.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HULL CITY COUNCIL,,,,5000232068,,Grant Payable by Exchequer,HU1 2AA,"5,281,879.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HUNTINGDONSHIRE DC,,,,5000232051,,Grant Payable by Exchequer,PE18 6TN,"359,567.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,HYNDBURN BC,,,,5000232053,,Grant Payable by Exchequer,BB5 1EZ,"845,822.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,ISLES OF SCILLY COUNCIL,,,,5000232059,,Grant Payable by Exchequer,TR21 0LW,"190,024.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,KINGSTON UPON THAMES,,,,5000232070,,Grant Payable by Exchequer,KT1 1EU,"389,186.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,KIRKLEES MBC,,,,5000232072,,Grant Payable by Exchequer,HD1 2YU,"1,633,891.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,LEEDS CITY CNCL,,,,5000232080,,Grant Payable by Exchequer,LS1 1JF,"6,885,554.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,LEICESTER CITY CNCL,,,,5000232082,,Grant Payable by Exchequer,LE1 6ZG,"983,125.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,LIVERPOOL CITY COUNCIL,,,,5000232089,,Grant Payable by Exchequer,L2 2DH,"12,878,689.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,LONDON BOROUGH OF HACKNEY,,,,5000232011,,Grant Payable by Exchequer,E8 4RU,"838,716.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,LONDON BOROUGH OF REDBRIDGE,,,,5000231892,,Grant Payable by Exchequer,IG1 1NN,"3,799,871.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,LUTON BC,,,,5000232091,,Grant Payable by Exchequer,LU1 1DX,"5,142,577.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,MANCHESTER CITY CNCL,,,,5000232099,,Grant Payable by Exchequer,M60 2JR,"1,191,103.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,MELTON BC,,,,5000232105,,Grant Payable by Exchequer,LE13 0UL,"364,724.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,MERTON LB,,,,5000232109,,Grant Payable by Exchequer,SM4 5DX,"1,118,435.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,MID SUSSEX DC,,,,5000232113,,Grant Payable by Exchequer,RH16 1SS,"616,577.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,MIDDLESBROUGH BC,,,,5000232115,,Grant Payable by Exchequer,TS1 9GA,"992,886.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NEWARK & SHERWOOD DC,,,,5000232125,,Grant Payable by Exchequer,NG23 5QX,"1,153,652.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NEWCASTLE UNDER LYME BC,,,,5000231849,,Grant Payable by Exchequer,ST5 2AG,"694,059.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NEWCASTLE UPON TYNE DC,,,,5000232127,,Grant Payable by Exchequer,NE99 1RD,"3,360,622.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NORTH EAST DERBYSHIRE DC,,,,5000232121,,Grant Payable by Exchequer,S40 1LF,"51,612.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NORTH EAST LINCOLN COUNCIL,,Public Bodies,,5000231855,,Grant Payable by Exchequer,DN35 8LN,"1,213,389.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NORTH SOMERSET DC,,,,5000231861,,Grant Payable by Exchequer,BS23 1LL,"1,285,792.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NORTH TYNESIDE MBC,,,,5000231863,,Grant Payable by Exchequer,NE30 1AE,"366,701.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NORTH WARWICKSHIRE BC,,,,5000231865,,Grant Payable by Exchequer,CV9 1DE,"1,982,243.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NORTHAMPTON BOROUGH COUNCIL,,Large,,5000231867,,Grant Payable by Exchequer,NN4 4FF,"2,743,528.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NORTHUMBERLAND,,,,5000232098,,Grant Payable by Exchequer,NE61 2EF,"3,220,237.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,NOTTINGHAM CITY COUNCIL,,,,5000231871,,Grant Payable by Exchequer,M33 0DJ,"2,744,569.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,OLDHAM MBC,,,,5000231877,,Grant Payable by Exchequer,OL1 1UH,"4,910,653.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,PENDLE BC,,,,5000231881,,Grant Payable by Exchequer,BB9 OLX,"296,256.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,PLYMOUTH CITY COUNCIL,,Public Bodies,,5000231883,,Grant Payable by Exchequer,PL1 2AA,"1,026,421.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,PRESTON BC,,,,5000231887,,Grant Payable by Exchequer,PR1 2RL,"1,719,815.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,ROCHDALE MBC,,,,5000231902,,Grant Payable by Exchequer,OL16 1LQ,"2,762,563.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,RUTLAND CC,,,,5000231918,,Grant Payable by Exchequer,LE15 6HP,"240,866.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SCARBOROUGH BC,,Large,,5000231926,,Grant Payable by Exchequer,YO11 2HG,"323,729.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SEFTON MBC,,,,5000231928,,Grant Payable by Exchequer,L20 3NQ,"8,947,855.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SHEPWAY DC,,,,5000231932,,Grant Payable by Exchequer,CT20 2QY,"110,171.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SLOUGH BOROUGH COUNCIL,,,,5000231934,,Grant Payable by Exchequer,SL1 3UQ,"3,410,080.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SOUTH GLOUCESTERSHIRE COUNCIL,,,,5000231940,,Grant Payable by Exchequer,BS15 2TR,"200,806.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SOUTH HAMS DC,,,,5000231942,,Grant Payable by Exchequer,TQ9 5NE,"1,432,589.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SOUTH KESTEVEN DC,,,,5000231946,,Grant Payable by Exchequer,NG31 6PZ,"952,111.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SOUTH OXFORDSHIRE DC,,,,5000231950,,Grant Payable by Exchequer,OX10 8HQ,"376,345.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SOUTH TYNESIDE COUNCIL,,,,5000231956,,Grant Payable by Exchequer,NE33 2RL,"454,521.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SOUTHAMPTON CITY CNCL,,,,5000231958,,Grant Payable by Exchequer,SO14 7NR,"2,489,785.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SOUTHEND ON SEA BC,,,,5000231960,,Grant Payable by Exchequer,SS2 6EP,"2,198,670.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SOUTHWARK LB,,,,5000231962,,Grant Payable by Exchequer,SE1P 5LX,"4,766,080.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,ST ALBANS CITY COUNCIL,,,,5000231966,,Grant Payable by Exchequer,AL1 3JE,"1,609,155.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,STEVENAGE BC,,,,5000231976,,Grant Payable by Exchequer,SG1 1HN,"539,627.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,STOKE ON TRENT CITY COUNCIL,,,,5000231983,,Grant Payable by Exchequer,ST4 1RJ,"1,798,074.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,STRATFORD ON AVON DC,,,,5000231985,,Grant Payable by Exchequer,CV37 6HX,"1,177,037.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SUNDERLAND DC,,,,5000231991,,Grant Payable by Exchequer,SR2 7DN,"1,756,368.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,SWALE BC,,,,5000231997,,Grant Payable by Exchequer,ME10 3HT,"810,383.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,TAMESIDE MBC,,,,5000232001,,Grant Payable by Exchequer,OL6 6DL,"1,189,431.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,TAMWORTH BOROUGH COUNCIL,,,,5000232003,,Grant Payable by Exchequer,B79 7BZ,"634,709.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,TANDRIDGE DC,,,,5000232005,,Grant Payable by Exchequer,RH8 0BT,"246,302.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,TEST VALLEY BC,,Large,,5000232012,,Grant Payable by Exchequer,SP10 3AJ,"678,457.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,TEWKESBURY BC,,,,5000232014,,Grant Payable by Exchequer,GL20 5TT,"475,069.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,TORBAY BC,,,,5000232020,,Grant Payable by Exchequer,TQ1 3DR,"873,198.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,UTTLESFORD DC,,,,5000232028,,Grant Payable by Exchequer,CB11 4ER,"319,962.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WALTHAM FOREST LB,,Large,,5000232034,,Grant Payable by Exchequer,E17 4JF,"1,658,900.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WARRINGTON BC,,,,5000232038,,Grant Payable by Exchequer,WA1 1BN,"7,865,260.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WATFORD COUNCIL,,,,5000232042,,Grant Payable by Exchequer,WD17 3EX,"1,397,306.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WEST DORSET DC,,,,5000232052,,Grant Payable by Exchequer,DT1 1UZ,"120,166.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WEST LINDSEY DC,,,,5000232054,,Grant Payable by Exchequer,DN21 2NA,"8,593.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WEST OXFORDSHIRE DC,,,,5000232056,,Grant Payable by Exchequer,OX28 1NB,"435,782.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WEYMOUTH & PORTLAND BC,,,,5000232063,,Grant Payable by Exchequer,DT4 8TA,"164,611.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WILTSHIRE COUNCIL,,,,5000232102,,Grant Payable by Exchequer,BA14 4DS,"3,673,139.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WINDSOR & MAIDENHEAD,,,,5000232069,,Grant Payable by Exchequer,SL6 1RF,"1,960,068.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WOKING BC,,,,5000232073,,Grant Payable by Exchequer,GU21 1YL,"1,802,753.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WOKINGHAM DC,,,,5000232075,,Grant Payable by Exchequer,RG11 1WJ,"86,590.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WYCHAVON DISTRICT COUNCIL,,,,5000232083,,Grant Payable by Exchequer,WR10 1PT,"541,321.00",Yes
Communities & Local Government,DCLG,20/08/2013,NNDR Outturn Adjustments,Localism,WYCOMBE DC,,,,5000232085,,Grant Payable by Exchequer,HP11 1BB,"1,061,781.00",Yes
Communities & Local Government,DCLG,20/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106196426,Printing Services,Non-Vatable printing services,NR3 1PD,481.00,
Communities & Local Government,DCLG,20/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106196428,Printing Services,Non-Vatable printing services,NR3 1PD,"1,527.00",
Communities & Local Government,DCLG,20/08/2013,Professional services,Neighbourhoods,E C HARRIS LLP,,Large,,5106196437,Construction Service Providers,ERDF Southwest Convergence QS Service,N1 9AB,"4,266.00",
Communities & Local Government,DCLG,20/08/2013,Recruitment,Finance & Corporate Services,HM REVENUE & CUSTOMS,,Public Bodies,,5106196347,Business Process Outsourcing Services,Fast Stream Operational Researcher,BN12 4XH,"4,750.00",
Communities & Local Government,DCLG,20/08/2013,Revenue Support grant payable,Localism,IMPROVEMENT & DEVEL AGENCY LOC GOV,,Large,,2600061844,,RSG Payment-Specified Bodies,EC1M 5LG,"2,125,000.00",Yes
Communities & Local Government,DCLG,20/08/2013,Steady State Service Provision,Neighbourhoods,LOCALITY,,Medium,,5106196324,Business Process Outsourcing Services,Direct Support for the Community,N1 6DR,"85,435.75",
Communities & Local Government,DCLG,20/08/2013,Steady State Service Provision,Neighbourhoods,LOCALITY,,Medium,,5106196324,Business Process Outsourcing Services,Grant Administration,N1 6DR,"18,072.70",
Communities & Local Government,DCLG,20/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106196442,Development and Training,Fast Stream Training (First year courses,DL1 9HB,"3,565.84",
Communities & Local Government,DCLG,20/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106196442,Development and Training,BCS Business Analysis Diploma Course,DL1 9HB,767.05,
Communities & Local Government,DCLG,20/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106196442,Development and Training,LOC: Working in the Civil Service 2013/1,DL1 9HB,197.00,
Communities & Local Government,DCLG,20/08/2013,Water,Finance & Corporate Services,THAMES WATER UTILITIES,,Large,,5106196433,Operation of Water Supplies and Distribution,Eland House Water - 2013-14,SN38 8TU,"1,857.23",
Communities & Local Government,DCLG,20/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,HAMBLETON DC,,Large,,2300002043,,ERDF project name - Northallerton Managed Workspac,DL6 2UU,"-8,262.33",Yes
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,,Medium,Yes,5106196486,Contingent Labour,Interim Manager (Qualified Accountant),,"3,036.86",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196454,Contingent Labour,Interim Manager (IAS),SL6 1DP,871.20,
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196458,Contingent Labour,Extension of Interim Mgr,SL6 1DP,"30,360.00",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196458,Contingent Labour,Interim Manager,SL6 1DP,"1,320.00",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196464,Contingent Labour,Extension of Interim Mgr (2),SL6 1DP,"12,845.53",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196466,Contingent Labour,CPD 0492030 Capita MSP,SL6 1DP,"2,067.95",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196466,Contingent Labour,Expenses,SL6 1DP,38.40,
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196466,Contingent Labour,Extension (1),SL6 1DP,"7,237.82",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196468,Contingent Labour,Expenses,SL6 1DP,702.79,
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196468,Contingent Labour,Interim Manager - Ext 01,SL6 1DP,"1,117.80",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,Large,,5106196470,Contingent Labour,CPD 0492030 Capita MSP,SL6 1DP,637.50,
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Localism,CAPITA RESOURCING LTD,,Large,,5106196468,Contingent Labour,Expenses,SL6 1DP,295.55,
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Localism,CAPITA RESOURCING LTD,,Large,,5106196469,Contingent Labour,Interim Manager (Ext 01),SL6 1DP,"4,792.51",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Localism,CAPITA RESOURCING LTD,,Large,,5106196469,Contingent Labour,Interim manager,SL6 1DP,"1,198.13",
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Localism,MANPOWER UK LTD,,Large,,5106195695,Contingent Labour,Agency Staff,UB8 1AB,930.91,
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Localism,MANPOWER UK LTD,,Large,,5106196197,Contingent Labour,Agency Staff,UB8 1AB,847.12,
Communities & Local Government,DCLG,21/08/2013,Agency Staff,Localism,MANPOWER UK LTD,,Large,,5106196212,Contingent Labour,Agency Staff,UB8 1AB,690.04,
