DEPARTMENT FOR TRANSPORT - INFORMATION ASSET REGISTER ,,,,,,,,
Asset Title,Data collection activity,Asset Description,Business Area,Personal,No. of records,Data processor,In public domain,Published where
Commission Notice & Single Vehicle Approval,Ongoing,"Commission Notice & Single Vehicle Approval, 3000 records per annum collected. Name address and contact details held, whether cheque payment was used (""yes"" or ""no"" only) and vehicle details",Vehicle Certification Agency ,Yes,"10,001 - 100,000",,No,
Compliance Management System Type Approval,Ongoing,CMS Type Approval Information - certificates and information documents,Vehicle Certification Agency ,No,"1,001 - 10,000",,No,
Conformity of Production data (COP),Ongoing,"Conformity of Production database. Records of manufacturers holding approvals issued by VCA - manufacturing site information, quality systems certification information. Contact details for relevant company staff.",Vehicle Certification Agency ,No,"1,001 - 10,000",,No,
Dangerous Goods,Ongoing,Records of packaging approvals and test reports. Customer information.,Vehicle Certification Agency ,Yes,"1,001 - 10,000",,No,
DataFlex,Ongoing,Dataflex customer information database. ,Vehicle Certification Agency ,Yes,"1,001 - 10,000",,No,
EAO Management Systems Certification Auditors,Ongoing,East Asia Office (EAO) Management Systems Certification (MSC) information.,Vehicle Certification Agency ,No,"501 - 1,000",,No,
East Asia Office Customer Correspondence,Ongoing,Customer correspondence,Vehicle Certification Agency ,No,"501 - 1,000",,No,
East Asia Office Staff Records,Ongoing,"Staff information, both UK civil servant and local staff",Vehicle Certification Agency ,Yes,1-50,,No,
East Asia Office Type Approval,Ongoing,"Type approvals, including a register of those approvals",Vehicle Certification Agency ,No,"1,001 - 10,000",,No,
Emissions in-use Compliance,Ongoing,"Emissions In-Use Compliance:- Names and address of vehicle keepers and vehicle registrations and Vehicle Identification Numbers (VIN) Numbers. Around 1000 names and addresses. Details of test results. Correspondence with keepers, vehicle manufacturers and Cleaner Fuels & Vehicles (CFV).",Vehicle Certification Agency ,Yes,"1,001 - 10,000",,No,
End of Life Vehicles,Ongoing,End of Life Vehicles: Records of information supplied by vehicle producers and of enforcement visits. Contact names and addresses. Records relating to the criminal justice system.,Vehicle Certification Agency ,Yes,"501 - 1,000",,No,
Enforcement Camera Certification,Ongoing,Documentation and reviews of enforcement camera certification applications. It includes contact details and elements of CVs relating to the person responsible for the design and testing of the system.,Vehicle Certification Agency ,Yes,51 - 500,,No,
Finance,Ongoing,"General Financial data including Payroll, Bank Details, T&S, Staff Numbers, Names and Addresses",Vehicle Certification Agency ,Yes,51 - 500,,No,
GeMS System,Ongoing,Replacement storage and processing system (for 2) for Management Systems Certification Audit documentation and status. This holds details on companies and systems certified.,Vehicle Certification Agency ,No,"1,001 - 10,000",Total Solutions Inc,No,
IEMA Register,Ongoing,Institute of Environmental Management and Assessment (IEMA) Register. Records of certificates issued including company details and contact staff.,Vehicle Certification Agency ,Yes,51 - 500,,No,
Job Applications,Ongoing,Job applications for all vacancies advertised by VCA,Vehicle Certification Agency ,Yes,51 - 500,,No,
Management Systems Certification Auditors' Data,Ongoing,Management Systems Certification - Auditors' contracts,Vehicle Certification Agency ,Yes,51 - 500,,No,
Management Systems Certification Data,Ongoing,"Management Systems Certification (MSC) Job Register and Databases ( MSC DB, Acorn DB, and Training DB). These hold details on companies, systems certified and training conducted with particular individuals",Vehicle Certification Agency ,No,"1,001 - 10,000",,No,
Maximiser/Sage act/MS Dynamic,Ongoing,Customer database including contact details of general public requesting fuel consumption booklets etc.,Vehicle Certification Agency ,Yes,51 - 500,,No,
Noise Emission,Ongoing,"Noise emissions in the environment testing register. Data includes noise label, declaration of conformity, testing body, authorised product licence holder in UK. Includes records relating to the criminal justice system",Vehicle Certification Agency ,Yes,"1,001 - 10,000",,No,
Non-Road Mobile Machinery (NRMM),Ongoing,"Engine emissions for Non-Road Mobile Machinery register. Data includes engine type, engine family, emissions levels, approval type number. Includes records relating to the criminal justice system",Vehicle Certification Agency ,Yes,"1,001 - 10,000",,No,
Overseas Offices Contracts,Ongoing,Contracts for Type Approval and Management Systems Certification work carried out by VCA in India & China,Vehicle Certification Agency ,No,51 - 500,,No,
Overseas Offices Staff Records,Ongoing,Personal data of staff and contractors working in China & India,Vehicle Certification Agency ,Yes,51 - 500,,No,
Overseas Offices Type Approval,Ongoing,"Type approval information. Manufacturers' vehicle, system & component information documents, type approval test reports and approvals",Vehicle Certification Agency ,No,"501 - 1,000",,No,
Passenger car and van fuel consumption data,Ongoing,Passenger car fuel consumption data,Vehicle Certification Agency ,No,"1,001 - 10,000",Externally Hosted (South West COMMS),Yes,vcacarfueldata.org.uk & Businesslink.gov.uk
Payroll,Ongoing,Payroll Data,Vehicle Certification Agency ,Yes,51 - 500,,No,
Personnel,Ongoing,"Staff records, paper and access database",Vehicle Certification Agency ,Yes,51 - 500,,No,
Point of Sale (POS) Customer Data,Ongoing,Point of sale software customer information,Vehicle Certification Agency ,No,51 - 500,South West COMMS,No,
Quality Certification Register,Ongoing,Quality Certification register for Quality Management System (QMS) and Environmental Management System (EMS). Records of certificates issued with company details and contact staff.,Vehicle Certification Agency ,Yes,"501 - 1,000",,No,
Quality Management System,Ongoing,"Vehicle Certification Agency (VCA) quality management system (Q-Pulse) contains staff names and e-mails; records of QMS/EMS appeals and suspensions, including company details and records of complaints made against VCA.",Vehicle Certification Agency ,Yes,"501 - 1,000",,No,
Replacement Catalytic Converters,Ongoing,Replacement Catalytic Converters. Contact details and correspondence with producers and distributors. Market surveillance reports. Includes records relating to the criminal justice system.,Vehicle Certification Agency ,Yes,51 - 500,,No,
Secure Registration Scheme,Ongoing,Secure registration scheme:- Records of applications for authorisation to use the DVLA secure registration scheme and records of audits. Names and addresses of applicants,Vehicle Certification Agency ,Yes,"501 - 1,000",,No,
SharpOwl,Ongoing,"Project based time recording, expenses and invoicing.",Vehicle Certification Agency ,Yes,51 - 500,,No,
Single Enforcement Budget,Ongoing,Single Enforcement Budget - folders on project information,Vehicle Certification Agency ,No,51 - 500,,No,
Statutory Instrument,Ongoing,Statutory Instrument lists. Lists of current and draft type approval S.I.s. Consultee lists.,Vehicle Certification Agency ,Yes,51 - 500,,No,
Technical Services Laboratories,Ongoing,Agencies database. Records of laboratories appointed as Technical Services by Vehicle Certification Agency (VCA). Includes contact details for relevant laboratory staff.,Vehicle Certification Agency ,No,51 - 500,,Yes,vca.gov.uk & EC's website
Type Approval Register,Ongoing,"Type approval register. Data includes component/vehicle type, subject of approval, manufacturer details, CO2 emissions, fuel consumption. Also includes extensions to type approval.",Vehicle Certification Agency ,No,"10,001 - 100,000",,No,
Tyre Noise,,Tyre Noise. Contact details and correspondence with producers and distributors. Market surveillance reports. Includes records relating to the criminal justice system.,Vehicle Certification Agency ,Yes,"501 - 1,000",,No,
US Employee,Ongoing,Employee information - Civil Servants,Vehicle Certification Agency ,Yes,1-50,,No,
US Management Systems Certification,Ongoing,Management Systems Certification information,Vehicle Certification Agency ,No,"1,001 - 10,000",,No,
US Management Systems Certification Auditors,Ongoing,MSC - Auditors' CVs etc,Vehicle Certification Agency ,Yes,51 - 500,,No,
US Type Approval,Ongoing,"Manufacturers' vehicle, system & component information documents, type approval test reports and approvals",Vehicle Certification Agency ,No,"1,001 - 10,000",,No,
VISTA - LEGSTAT,Ongoing,VISTA /LEGSTAT. Records of statutory legislation and VCA technical Interpretations. Records of subscriber details.,Vehicle Certification Agency ,No,"1,001 - 10,000",,Yes,Subscription Service
WEEE Enforcement,Ongoing,"Waste Electrical and Electronic Equipment (WEEE) Directive - VCA carries out enforcement of this directive, ensuring that electrical & electronic goods retailers dispose of old electrical equipment appropriately. Contains complaints from general public, visit reports from market researchers and enforcement officers; correspondence from retailers/producers and records relating to the criminal justice system.",Vehicle Certification Agency ,Yes,"10,001 - 100,000",,No,
