Newcastle City Council Invoices over £250 paid in September 2013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994983,Revenue,1MF03,Supported Lodgings LC,268.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994891,Revenue,1MC20,In-House Foster Carer Costs,728.79 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994976,Revenue,1MF03,Supported Lodgings LC,268.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994839,Revenue,1MC20,In-House Foster Carer Costs,293.90 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5995033,Revenue,1MC20,In-House Foster Carer Costs,293.90 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5995130,Revenue,1MC21,Fostering Unit,525.28 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994779,Revenue,1MC20,In-House Foster Carer Costs,656.47 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5995090,Revenue,1MF35,Special Guardianship Allow,267.10 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994848,Revenue,1MC20,In-House Foster Carer Costs,"1,165.94 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994901,Revenue,1MC20,In-House Foster Carer Costs,"1,513.40 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994901,Revenue,1MC21,Fostering Unit,47.87 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994905,Revenue,1MC20,In-House Foster Carer Costs,"1,018.50 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994882,Revenue,1MF10,Adoption Payments,620.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994803,Revenue,1MC20,In-House Foster Carer Costs,366.71 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994783,Revenue,1MF35,Special Guardianship Allow,267.10 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994925,Revenue,1MC20,In-House Foster Carer Costs,258.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994917,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5995075,Revenue,1MC20,In-House Foster Carer Costs,667.18 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5995075,Revenue,1MC13,Post 18 Staying Put,840.28 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994897,Revenue,1MC20,In-House Foster Carer Costs,459.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994879,Revenue,1MC20,In-House Foster Carer Costs,"1,190.80 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994864,Revenue,1MF35,Special Guardianship Allow,787.50 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994926,Revenue,1MC20,In-House Foster Carer Costs,405.44 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5995137,Revenue,1MC20,In-House Foster Carer Costs,258.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994760,Revenue,1MC20,In-House Foster Carer Costs,651.10 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5995018,Revenue,1MF10,Adoption Payments,714.52 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994988,Revenue,1MF10,Adoption Payments,555.40 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994722,Revenue,1MF10,Adoption Payments,555.40 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5995121,Revenue,1MC20,In-House Foster Carer Costs,"1,372.55 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994932,Revenue,1MF10,Adoption Payments,505.67 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994960,Revenue,1MF10,Adoption Payments,925.41 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994966,Revenue,1MF10,Adoption Payments,"1,197.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994781,Revenue,1MF10,Adoption Payments,"1,197.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994705,Revenue,1MC20,In-House Foster Carer Costs,382.49 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994815,Revenue,1MF10,Adoption Payments,555.25 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994996,Revenue,1MC20,In-House Foster Carer Costs,865.11 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994996,Revenue,1MF03,Supported Lodgings LC,243.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994786,Revenue,1MC20,In-House Foster Carer Costs,459.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994795,Revenue,1MC20,In-House Foster Carer Costs,"1,161.41 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994817,Revenue,1MC20,In-House Foster Carer Costs,-297.70 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994817,Revenue,1MC21,Fostering Unit,545.67 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994845,Revenue,1MC20,In-House Foster Carer Costs,298.35 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994884,Revenue,1MC20,In-House Foster Carer Costs,"1,049.14 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994907,Revenue,1MC20,In-House Foster Carer Costs,579.20 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994876,Revenue,1MF03,Supported Lodgings LC,268.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994971,Revenue,1MC21,Fostering Unit,984.90 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994948,Revenue,1MC20,In-House Foster Carer Costs,403.97 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994847,Revenue,1MC20,In-House Foster Carer Costs,616.33 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994903,Revenue,1MF10,Adoption Payments,500.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994911,Revenue,1MF10,Adoption Payments,500.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994912,Revenue,1MF10,Adoption Payments,500.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,10/09/2013,Redacted Personal Data,5994984,Revenue,1MC20,In-House Foster Carer Costs,"2,790.74 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006199,Revenue,1MC20,In-House Foster Carer Costs,"1,732.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006246,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006216,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006477,Revenue,1MC20,In-House Foster Carer Costs,459.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006477,Revenue,1MF10,Adoption Payments,185.70 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006203,Revenue,1MC20,In-House Foster Carer Costs,"1,302.34 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006225,Revenue,1MF10,Adoption Payments,551.90 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006226,Revenue,1MC20,In-House Foster Carer Costs,"2,120.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006226,Revenue,1MF03,Supported Lodgings LC,268.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006227,Revenue,1MC20,In-House Foster Carer Costs,"2,009.28 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006228,Revenue,1MC20,In-House Foster Carer Costs,"2,120.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006205,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006206,Revenue,1MC20,In-House Foster Carer Costs,"2,557.70 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006218,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006208,Revenue,1MC20,In-House Foster Carer Costs,"2,428.72 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006229,Revenue,1MC20,In-House Foster Carer Costs,"1,784.32 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006230,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006565,Revenue,1MC20,In-House Foster Carer Costs,"1,302.34 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006210,Revenue,1MC20,In-House Foster Carer Costs,459.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006215,Revenue,1MC20,In-House Foster Carer Costs,"1,302.23 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006209,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006219,Revenue,1MC20,In-House Foster Carer Costs,807.44 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006231,Revenue,1MC20,In-House Foster Carer Costs,"1,466.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006231,Revenue,1MC13,Post 18 Staying Put,578.57 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006249,Revenue,1MC20,In-House Foster Carer Costs,"1,302.34 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006200,Revenue,1MC20,In-House Foster Carer Costs,925.38 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006213,Revenue,1MC20,In-House Foster Carer Costs,708.82 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006234,Revenue,1MF10,Adoption Payments,659.60 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006214,Revenue,1MC20,In-House Foster Carer Costs,925.38 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006235,Revenue,1MC20,In-House Foster Carer Costs,738.16 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006575,Revenue,1MC20,In-House Foster Carer Costs,559.50 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006457,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006237,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006197,Revenue,1MC20,In-House Foster Carer Costs,"1,872.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006238,Revenue,1MC20,In-House Foster Carer Costs,"2,116.18 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006251,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006204,Revenue,1MC20,In-House Foster Carer Costs,"1,732.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006580,Revenue,1MC20,In-House Foster Carer Costs,918.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006239,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006241,Revenue,1MC20,In-House Foster Carer Costs,397.67 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006241,Revenue,1MF03,Supported Lodgings LC,243.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006201,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006242,Revenue,1MC20,In-House Foster Carer Costs,721.29 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006221,Revenue,1MC20,In-House Foster Carer Costs,918.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006222,Revenue,1MC20,In-House Foster Carer Costs,"2,221.32 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006222,Revenue,1MF10,Adoption Payments,"1,186.96 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006224,Revenue,1MC20,In-House Foster Carer Costs,"2,120.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006243,Revenue,1MC20,In-House Foster Carer Costs,"1,605.32 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006198,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006198,Revenue,1MF03,Supported Lodgings LC,268.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006253,Revenue,1MC21,Fostering Unit,"1,076.78 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006465,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006465,Revenue,1MF10,Adoption Payments,162.40 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006495,Revenue,1MC20,In-House Foster Carer Costs,"1,112.38 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006513,Revenue,1MF10,Adoption Payments,386.08 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006496,Revenue,1MC20,In-House Foster Carer Costs,459.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006466,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006509,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006507,Revenue,1MC20,In-House Foster Carer Costs,"1,897.74 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006504,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006525,Revenue,1MC20,In-House Foster Carer Costs,810.88 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006508,Revenue,1MC20,In-House Foster Carer Costs,"1,649.80 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006511,Revenue,1MC20,In-House Foster Carer Costs,"2,009.28 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006514,Revenue,1MC20,In-House Foster Carer Costs,787.46 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006578,Revenue,1MD85,Residence Orders,573.08 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006529,Revenue,1MC20,In-House Foster Carer Costs,"1,165.94 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006570,Revenue,1MC20,In-House Foster Carer Costs,"1,104.78 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006548,Revenue,1MF10,Adoption Payments,457.30 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006585,Revenue,1MC20,In-House Foster Carer Costs,"2,120.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006585,Revenue,1MC21,Fostering Unit,406.85 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006572,Revenue,1MC20,In-House Foster Carer Costs,"1,190.80 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006594,Revenue,1MF35,Special Guardianship Allow,"1,277.68 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006404,Revenue,1MF35,Special Guardianship Allow,785.22 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006450,Revenue,1MC20,In-House Foster Carer Costs,918.16 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006450,Revenue,1MF03,Supported Lodgings LC,268.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006421,Revenue,1MF10,Adoption Payments,530.10 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006539,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006440,Revenue,1MF35,Special Guardianship Allow,518.34 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006262,Revenue,1MC20,In-House Foster Carer Costs,595.40 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006277,Revenue,1MD85,Residence Orders,788.66 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006442,Revenue,1MC20,In-House Foster Carer Costs,"1,649.80 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006500,Revenue,1MC20,In-House Foster Carer Costs,"2,045.82 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006195,Revenue,1MC20,In-House Foster Carer Costs,826.84 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006259,Revenue,1MC20,In-House Foster Carer Costs,459.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006562,Revenue,1MC20,In-House Foster Carer Costs,"1,761.34 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006258,Revenue,1MC20,In-House Foster Carer Costs,595.40 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006544,Revenue,1MC20,In-House Foster Carer Costs,"1,133.16 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006412,Revenue,1MC21,Fostering Unit,984.90 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006263,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006438,Revenue,1MC20,In-House Foster Carer Costs,559.50 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006438,Revenue,1MC21,Fostering Unit,82.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006256,Revenue,1MC20,In-House Foster Carer Costs,"1,312.89 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006256,Revenue,1MF03,Supported Lodgings LC,268.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006581,Revenue,1MC20,In-House Foster Carer Costs,"2,221.32 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006275,Revenue,1MC20,In-House Foster Carer Costs,459.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006282,Revenue,1MC20,In-House Foster Carer Costs,918.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006272,Revenue,1MC20,In-House Foster Carer Costs,"2,009.28 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006550,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006543,Revenue,1MC20,In-House Foster Carer Costs,"1,211.16 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006437,Revenue,1MF35,Special Guardianship Allow,730.26 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006271,Revenue,1MC20,In-House Foster Carer Costs,918.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006425,Revenue,1MC20,In-House Foster Carer Costs,"1,969.76 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006285,Revenue,1MC20,In-House Foster Carer Costs,918.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006281,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006301,Revenue,1MC20,In-House Foster Carer Costs,918.00 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006291,Revenue,1MC20,In-House Foster Carer Costs,"1,786.20 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006309,Revenue,1MC20,In-House Foster Carer Costs,595.40 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006542,Revenue,1MC20,In-House Foster Carer Costs,695.90 ,,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006276,Revenue,1MC20,In-House Foster Carer Costs,"1,413.88 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006305,Revenue,1MC20,In-House Foster Carer Costs,"1,897.74 ",,,,,,,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,24/09/2013,Redacted Personal Data,6006255,Revenue,1MC20,In-House Foster Carer Costs,706.94 ,,,,,,,,,
