Data is Unweighted,,,Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,How satisfied are you with each of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do the following statements apply to you and your job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sheet contains questions relating to: job satisfaction,,,a) The recognition I get for good work,,,,,,b) The support I get from my immediate manager,,,,,,c) The freedom I have to choose my own method of working,,,,,,d) The support I get from my work colleagues,,,,,,e) The amount of responsibility I am given,,,,,,f) The opportunities I have to use my skills,,,,,,g) The extent to which my organisation values my work,,,,,,h) My level of pay,,,,,,a) I am satisfied with the quality of care I give to patients / service users,,,,,,,b) I feel that my role makes a difference to patients / service users,,,,,,,c) I am able to deliver the patient care I aspire to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Scientific and Technical or Healthcare Scientists,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Medical / Dental staff,--,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,--,8,--,--,--,--,--,--,8,--,--,--,--,--,--,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (consultants),--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (other),--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Registered Nurses and Midwives,--,11,11,41,29,8,45,7,9,24,42,17,45,0,13,21,52,13,45,2,2,17,52,28,45,0,4,23,58,15,45,0,4,14,68,13,45,10,21,36,20,13,45,12,10,32,40,6,45,0,9,8,42,20,22,45,0,4,13,48,36,0,45,0,14,18,25,11,33,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  adult / general nurses,--,8,15,41,24,11,27,10,10,25,34,20,27,0,8,26,48,18,27,2,2,19,49,28,27,0,0,22,58,20,27,0,0,18,64,18,27,10,18,39,15,18,27,15,9,23,43,11,27,0,7,11,34,15,32,27,0,0,18,52,30,0,27,0,15,17,13,6,50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  mental health nurses,--,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,--,6,--,--,--,--,--,--,6,--,--,--,--,--,--,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  learning disabilities nurses,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  children nurses,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  district / community nurses,--,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,--,4,--,--,--,--,--,--,4,--,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  other registered nurses,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Nursing or Healthcare Assistants,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Social care staff,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  social workers,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Public Health / Health Improvement,--,1,16,17,52,14,86,2,9,19,45,25,86,1,6,10,54,29,86,1,6,14,56,23,86,2,4,15,65,14,86,4,11,23,48,14,86,4,16,33,40,7,86,4,11,30,47,7,86,0,4,1,19,9,67,86,0,0,11,35,14,41,86,0,6,4,12,3,75,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Commissioning managers / support staff,--,6,12,23,46,13,254,4,10,12,51,22,256,3,3,10,58,26,256,2,3,12,61,22,252,2,8,15,56,19,255,3,13,17,48,18,255,6,12,31,38,13,254,7,20,22,44,6,254,1,2,6,20,10,60,254,1,3,13,37,17,30,256,0,4,10,9,4,73,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Wider Healthcare Team,--,6,19,21,47,7,198,9,11,15,40,25,198,4,5,21,51,19,197,2,7,20,58,13,196,3,15,19,52,10,198,7,19,17,50,6,198,10,17,32,35,6,198,9,27,25,35,4,198,0,2,9,16,7,66,196,2,5,11,27,7,49,197,0,2,8,4,1,85,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  admin & clerical staff,--,8,16,19,46,10,84,10,12,12,37,29,84,8,4,21,46,22,83,2,8,17,54,19,83,5,17,14,49,16,84,9,18,15,47,10,84,11,13,31,37,8,84,5,27,35,29,4,84,0,3,9,19,8,61,84,2,4,13,30,11,40,84,0,3,9,8,3,77,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  central functions / corporate services,--,5,22,22,46,5,111,8,11,18,39,24,111,2,7,21,54,17,111,2,6,21,62,8,110,3,14,22,54,7,111,5,21,17,52,4,111,10,21,30,34,5,111,11,25,18,41,5,111,0,2,10,13,6,70,109,2,5,10,26,4,54,110,0,1,7,2,0,91,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  maintenance / ancillary,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,General managers,--,16,14,12,50,8,34,24,10,10,40,17,34,14,6,10,43,27,34,2,2,16,63,18,34,14,13,3,47,21,34,14,9,12,50,15,34,30,10,18,34,8,34,0,6,41,49,5,34,0,0,2,18,10,70,34,0,14,18,21,22,25,34,0,0,14,8,2,76,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Full time staff,--,6,14,22,46,11,592,6,11,15,44,25,593,3,5,14,53,26,592,2,4,16,58,21,588,3,10,16,54,17,592,4,13,17,50,15,592,9,15,31,34,10,591,9,20,24,41,6,591,0,3,6,22,10,59,589,1,3,11,36,16,32,592,0,4,9,11,3,72,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Part time staff,--,4,13,26,48,9,125,3,8,16,49,25,124,3,3,15,53,26,124,1,5,18,54,22,124,1,11,9,61,18,125,3,16,11,56,14,125,3,15,28,45,10,125,3,15,34,43,5,125,2,4,7,23,18,47,124,0,3,10,32,20,35,125,2,4,10,14,10,60,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 16-30,--,4,18,25,41,11,65,2,11,20,40,28,65,2,5,17,51,25,64,4,12,17,47,19,65,4,13,20,47,15,65,5,18,29,38,10,65,8,15,28,42,7,65,12,23,24,40,2,65,0,1,10,17,10,62,65,0,3,18,24,7,47,65,0,3,11,6,0,81,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 31-40,--,6,15,14,50,15,132,6,7,10,42,34,132,1,6,11,54,29,132,2,5,12,63,19,131,1,11,17,54,18,131,2,14,16,50,17,132,8,15,26,36,15,132,6,13,24,50,6,132,1,5,8,19,7,61,130,4,5,12,29,12,37,132,1,7,11,10,2,70,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 41-50,--,5,18,20,50,8,219,6,12,13,50,19,219,2,5,14,56,22,219,1,4,18,56,21,218,3,14,11,56,16,220,4,16,9,55,15,220,6,19,30,35,9,219,6,17,24,45,8,218,0,1,8,25,14,51,219,1,2,13,40,20,25,219,0,2,14,16,6,62,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 51 or over,--,7,10,29,42,12,294,6,10,17,42,24,294,5,4,15,50,27,294,1,3,15,58,23,291,3,6,16,56,18,294,5,10,19,52,15,293,8,13,34,35,9,293,8,22,29,35,6,294,1,3,4,25,11,56,292,1,3,8,38,20,30,294,1,5,6,12,5,70,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Men,--,6,15,21,46,13,139,3,10,15,48,23,139,3,4,15,50,29,138,3,1,12,64,20,139,3,10,15,53,20,139,4,10,13,54,19,139,5,18,23,42,13,139,9,16,22,46,7,139,1,3,3,19,11,63,137,1,3,9,36,17,33,138,1,3,7,11,3,74,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Women,--,6,14,23,47,11,550,6,9,15,44,26,550,3,5,12,54,26,549,1,6,17,55,21,544,3,10,15,57,16,549,4,14,17,51,14,549,8,14,33,35,9,549,7,19,26,41,6,549,0,3,7,24,12,55,547,1,3,12,35,18,32,550,1,5,10,12,5,68,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Disabled staff,--,10,14,20,44,11,100,11,7,13,45,24,100,5,5,15,54,22,100,1,4,19,56,21,99,5,13,17,49,16,100,6,18,15,49,13,100,14,11,32,38,6,100,8,21,31,36,4,100,1,4,6,20,17,52,100,1,4,8,34,17,35,100,1,4,10,10,6,69,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-disabled staff,--,5,14,23,46,11,604,5,10,15,44,25,605,3,5,14,52,27,604,2,5,15,57,21,601,3,9,15,56,17,605,4,13,17,51,15,605,7,15,30,37,11,604,8,19,24,43,6,604,1,3,6,23,10,58,601,1,3,11,36,17,31,605,1,4,9,12,4,70,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White staff (summary),--,6,13,23,47,12,658,5,10,14,45,25,658,3,5,12,53,27,658,1,4,15,57,22,654,2,9,15,55,18,658,3,13,16,52,16,658,7,15,32,36,11,658,7,19,25,42,7,659,1,3,7,22,11,57,654,1,3,12,35,16,33,658,1,4,10,11,4,70,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-white staff (summary),--,7,27,26,34,7,51,9,14,26,28,24,52,3,2,37,45,12,51,0,5,27,49,19,51,8,24,9,51,8,52,13,27,12,37,11,52,20,23,22,30,6,51,15,19,33,32,1,51,1,4,1,33,12,50,52,4,5,5,53,17,17,52,0,5,7,19,6,63,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White British staff,--,6,13,22,47,12,633,5,10,15,44,26,633,2,5,12,53,27,633,1,4,15,57,22,629,2,9,15,55,19,633,3,13,16,52,16,633,7,15,31,37,11,633,7,20,24,42,7,634,1,3,7,22,11,57,630,1,3,11,34,17,33,634,1,4,10,11,4,70,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White Irish staff,--,13,19,21,42,6,13,13,6,6,56,19,13,13,13,6,48,21,13,0,0,21,48,31,13,13,19,6,48,15,13,13,13,6,42,27,13,13,6,33,35,13,13,0,13,52,23,13,13,0,0,21,27,15,38,13,0,0,25,48,21,6,13,0,13,19,13,15,42,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other White staff,--,0,16,49,35,0,12,6,6,6,81,0,12,0,5,11,78,6,12,5,5,13,78,0,12,5,16,31,48,0,12,0,16,54,30,0,12,0,16,54,30,0,12,0,11,35,49,5,12,0,6,6,25,0,63,11,0,0,13,25,0,63,11,0,19,0,0,0,81,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Black or Black British staff,--,3,9,34,53,0,15,6,13,13,36,33,16,9,0,38,50,3,15,0,0,15,57,28,16,13,6,9,70,3,16,13,9,6,69,3,16,16,6,19,59,0,15,16,3,28,53,0,15,0,0,3,15,40,42,16,13,0,0,52,27,8,16,0,0,0,13,15,72,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black Caribbean staff,--,4,17,42,38,0,11,8,13,25,25,29,11,17,0,38,46,0,11,0,0,13,63,25,11,13,8,13,67,0,11,13,17,13,58,0,11,17,13,25,46,0,11,17,0,21,63,0,11,0,0,4,4,38,54,11,13,0,0,63,17,8,11,0,0,0,0,13,88,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black African staff,--,--,--,--,--,--,4,--,--,--,--,--,5,--,--,--,--,--,4,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Asian or Asian British staff,--,11,27,20,26,15,27,7,13,27,28,24,27,0,2,33,41,24,27,0,11,21,38,30,26,0,35,9,40,17,27,9,29,13,25,24,27,13,34,24,16,13,27,12,23,45,20,0,27,0,6,0,30,7,57,27,2,2,6,51,16,23,27,0,8,4,19,4,65,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Indian staff,--,9,32,25,25,8,17,0,15,40,27,19,17,0,0,39,50,11,17,0,18,13,36,33,16,0,40,11,36,13,17,6,33,18,22,21,17,9,39,31,13,8,17,20,22,46,13,0,17,0,9,0,31,3,56,17,3,3,9,67,3,15,17,0,13,0,22,3,63,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Pakistani staff,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Bangladeshi staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other Asian background staff,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Mixed background staff,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Black Caribbean staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Black African staff,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Asian staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Chinese staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other ethnic groups,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Heterosexual (straight) staff,--,6,14,22,47,11,657,5,10,15,45,25,658,3,5,13,53,26,657,2,5,16,56,22,655,2,10,15,55,17,659,4,14,16,52,15,659,7,15,31,36,10,657,7,20,25,42,6,658,0,2,7,23,11,57,654,1,2,11,37,16,32,658,0,4,10,12,4,70,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
