,,,,,,,,,,,,,
Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"6,961.94",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,COLORECTAL,,,"6,848.49",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"5,693.18",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,ONCOLOGY,,,"5,414.30",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"4,115.15",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,CHEST MEDICINE,,,"3,575.22",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,ONCOLOGY,,,"2,874.60",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,CHEST MEDICINE,,,"2,500.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,COLORECTAL,,,"1,972.13",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,RESEARCH AND DEVELOPMENT,,,"1,963.04",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"1,724.37",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,CARDIOLOGY,,,"1,570.40",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"1,521.70",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,COLORECTAL,,,"1,479.68",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,CANCER SERVICES,,,"1,441.41",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,COLORECTAL,,,"1,203.12",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,565.42,"282,800.11 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,COLORECTAL,,41459,"19,565.99",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,ENT,,,"18,545.63",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"18,163.21",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,COLORECTAL,,,"18,093.76",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,COLORECTAL,,,"17,378.61",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,ONCOLOGY,,,"17,109.97",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"16,696.11",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,CHEST MEDICINE,,,"16,083.33",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"16,004.75",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,CARDIOLOGY,,,"15,256.75",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"14,371.36",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,ONCOLOGY,,,"14,182.43",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,CARDIOLOGY,,,"13,666.28",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,RADIOLOGY,,,"10,623.13",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,COLORECTAL,,,"9,193.60",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,CANCER SERVICES,,,"8,863.66",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"6,961.94",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"6,961.94",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"5,693.18",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,ONCOLOGY,,,"5,570.59",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,CHEST MEDICINE,,,"3,615.53",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,ONCOLOGY,,,"2,956.40",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,CHEST MEDICINE,,,"2,500.00",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"2,489.17",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"2,295.11",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,COLORECTAL,,,"2,028.37",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,RESEARCH AND DEVELOPMENT,,,"2,019.28",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"1,724.37",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"1,724.37",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,CARDIOLOGY,,,"1,570.40",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,COLORECTAL,,,"1,523.11",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,CANCER SERVICES,,,"1,482.64",0.00 ,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,STAFF RECHARGES,COLORECTAL,,,"1,248.26","297,823.56 ",,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,MED SURG EQPT DISPOSABLE,NURSING,VYGON (UK) LTD,1126834,"36,734.69",0.00 ,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,MED SURG EQPT DISPOSABLE,NURSING,,,"18,369.31",0.00 ,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,MED SURG EQPT DISPOSABLE,NURSING,,,"7,346.94",0.00 ,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,MED SURG EQPT DISPOSABLE,NURSING,,,"3,673.86","66,124.80 ",,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,SERVICES FROM NHS TRUSTS,TRANSPORT SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,339001,"390,503.25","390,503.25 ",,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,SERVICES FROM NHS TRUSTS,TRANSPORT SERVICES,,702684,"-352,107.04","<352,107.04>",,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,WATER,ENERGY AND UTILITIES,YORKSHIRE WATER,800289560146,"28,750.15","28,750.15 ",,
,,,,,,,,,,"614,167.34"

,,,,,,,,,,#REF!































































,,,,,,,,,,#REF!
