Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Childrens & Educational Services,Redacted (CF),2015-09-02,"1,404.15",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551593,Stockport,Services to People
Childrens & Educational Services,Redacted (CF),2015-09-09,93.61,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552174,Stockport,Services to People
Childrens & Educational Services,Redacted (CF),2015-09-16,93.61,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552848,Stockport,Services to People
Childrens & Educational Services,Redacted (CF),2015-09-23,93.61,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900553665,Stockport,Services to People
Childrens & Educational Services,Redacted (CF),2015-09-30,93.61,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900554471,Stockport,Services to People
Childrens & Educational Services,Redacted (CF),2015-09-16,"2,092.50",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900553180,Stockport,Services to People
Highways & Transport Services,Redacted (CF),2015-09-18,250.00,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900553350,Stockport,Services to Place
Planning Services,Redacted (CF),2015-09-21,187.20,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900553598,Stockport,Services to Place
Public Health,Redacted (CF),2015-09-15,250.00,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552706,Stockport,Services to People
Capital Expenditure,Redacted (CF),2015-09-30,343.53,Supplies and services,Supplies and services,1900554642,Stockport,Services to Place
Central Services to the public,Redacted (CF),2015-09-23,990.00,Transfer payments,Transfer payments,1900553514,Stockport,Corporate and Support Services
Central Services to the public,Redacted (CF),2015-09-23,150.00,Transfer payments,Transfer payments,1900553515,Stockport,Corporate and Support Services
Central Support Costs,Redacted (CF),2015-09-17,276.40,Vehicle Insurance,Vehicle Management  ,1900553027,Stockport,Corporate and Support Services
Capital Expenditure,Redacted (CF),2015-09-07,-110.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1700006023,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-07,-110.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1700006028,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-07,-110.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1700006031,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-29,-127.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1700006053,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-29,-110.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1700006054,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-29,-110.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1700006056,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-02,76.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550324,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-15,116.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552752,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-15,160.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552754,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-15,160.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552755,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-15,127.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552756,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-15,143.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552757,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-15,127.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552758,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-21,110.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553519,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-21,143.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553520,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-21,160.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553521,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-21,110.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553522,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-21,127.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553523,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-21,160.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553524,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-21,160.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553525,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-21,160.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553526,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-29,160.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553767,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-29,76.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553768,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-29,160.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553769,Stockport,Services to Place
Capital Expenditure,Redacted (CF),2015-09-29,250.00,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900553999,Stockport,Services to Place
Childrens & Educational Services,REDDISH VALE TECHNOLOGY COLLEGE,2015-09-11,"8,005.00",Fees and Charges,Fees and Charges,1900544766,Stockport,Services to People
Adult Social Care,REGENDA LIMITED,2015-09-10,"2,362.70",Rents,Financial Services Rents ,1900552092,Stockport,Services to People
Capital Expenditure,REGIS GROUP,2015-09-10,"10,000.00",Capital Expenditure - Acquisitions,Acquisition of Land and Buildings,1900552628,Stockport,Services to Place
Planning Services,REGUS MANAGEMENT(UK) LTD - RE SMBC,2015-09-18,"25,098.47",Fees and Charges,Fees and Charges,1900552983,Stockport,Services to Place
Central Support Costs,RELATE GMS,2015-09-22,"4,042.00",Fees and Charges,Healthcare Occupational Therapy Services ,1900552543,Stockport,Corporate and Support Services
Childrens & Educational Services,REMEDI - RESTORATIVE SERVICES,2015-09-25,916.66,Publicity and Promotion,Arts & Leisure Services  ,1900552968,Stockport,Services to People
Adult Social Care,Respite North West ISF,2015-09-25,"141,857.17",Care Payments,Social Community Care Supplies & Services  ,102278765,Stockport,Services to People
Adult Social Care,Respite North West ISF,2015-09-25,"-1,781.74",Care Payments,Social Community Care Supplies & Services  ,102278765,Stockport,Services to People
Highways & Transport Services,RIBA ENTERPRISES LTD,2015-09-11,695.00,Fees and Charges,Financial Services  ,1900550594,Stockport,Services to Place
Adult Social Care,RICHARD HOUSE,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267792,Stockport,Services to People
Adult Social Care,RICHARD HOUSE,2015-09-07,-919.10,Care Payments,Social Community Care Supplies & Services  ,102267792,Stockport,Services to People
Adult Social Care,RICHARD HOUSE,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267792,Stockport,Services to People
Adult Social Care,RICHARD HOUSE,2015-09-07,"10,345.00",Care Payments,Social Community Care Supplies & Services  ,102267792,Stockport,Services to People
Adult Social Care,RICHARD HOUSE,2015-09-07,"-3,586.05",Care Payments,Social Community Care Supplies & Services  ,102267792,Stockport,Services to People
Adult Social Care,RICHARD HOUSE,2015-09-29,383.00,Care Payments,Social Community Care Supplies & Services  ,102280256,Stockport,Services to People
Adult Social Care,RICHARD HOUSE,2015-09-29,"11,290.00",Care Payments,Social Community Care Supplies & Services  ,102280296,Stockport,Services to People
Adult Social Care,RICHARD PANTLIN LTD,2015-09-29,"15,600.00",Professional Fees,Consultancy   ,1900554611,Stockport,Services to People
Adult Social Care,RIG Healthcare Recruit,2015-09-18,"1,014.60",Agency Staff,Human Resources Temporary & Agency Staff ,1900553504,Stockport,Services to People
Adult Social Care,RIG Healthcare Recruit,2015-09-18,717.25,Agency Staff,Human Resources Temporary & Agency Staff ,1900553433,Stockport,Services to People
Adult Social Care,RIG Healthcare Recruit,2015-09-18,"3,381.32",Agency Staff,Human Resources Temporary & Agency Staff ,1900553434,Stockport,Services to People
Adult Social Care,RIG Healthcare Recruit,2015-09-28,"1,146.50",Agency Staff,Human Resources Temporary & Agency Staff ,1900554357,Stockport,Services to People
Adult Social Care,RIG Healthcare Recruit,2015-09-29,"1,143.72",Agency Staff,Human Resources Temporary & Agency Staff ,1900554617,Stockport,Services to People
Childrens & Educational Services,RITE DIRECTIONS,2015-09-02,"3,120.00",Care Payments,Social Community Care Supplies & Services  ,102264750,Stockport,Services to People
Childrens & Educational Services,RITE DIRECTIONS,2015-09-03,57.90,Care Payments,Social Community Care Supplies & Services  ,1900549704,Stockport,Services to People
Childrens & Educational Services,RITE DIRECTIONS,2015-09-10,57.90,Care Payments,Social Community Care Supplies & Services  ,1900551980,Stockport,Services to People
Childrens & Educational Services,RITE DIRECTIONS,2015-09-17,57.90,Care Payments,Social Community Care Supplies & Services  ,1900552853,Stockport,Services to People
Childrens & Educational Services,RITE DIRECTIONS,2015-09-24,57.90,Care Payments,Social Community Care Supplies & Services  ,1900553358,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"8,490.30",Information and Communications Technology,Information Communication Technology  ,1900553702,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"1,691.24",Information and Communications Technology,Information Communication Technology  ,1900553759,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,645.00,Information and Communications Technology,Information Communication Technology  ,1900553771,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,80.74,Information and Communications Technology,Information Communication Technology  ,1900553772,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"1,843.98",Information and Communications Technology,Information Communication Technology  ,1900553775,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,939.99,Information and Communications Technology,Information Communication Technology  ,1900553780,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,27.36,Information and Communications Technology,Information Communication Technology  ,1900553781,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"1,542.11",Information and Communications Technology,Information Communication Technology  ,1900553784,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,10.08,Information and Communications Technology,Information Communication Technology  ,1900553786,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"5,260.15",Information and Communications Technology,Information Communication Technology  ,1900553789,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"7,477.17",Information and Communications Technology,Information Communication Technology  ,1900553790,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"4,290.07",Information and Communications Technology,Information Communication Technology  ,1900553791,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"12,892.86",Information and Communications Technology,Information Communication Technology  ,1900553799,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"15,781.98",Information and Communications Technology,Information Communication Technology  ,1900553801,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"3,018.27",Information and Communications Technology,Information Communication Technology  ,1900553803,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"6,918.47",Information and Communications Technology,Information Communication Technology  ,1900553806,Stockport,Services to People
Capital Expenditure,RM EDUCATION PLC,2015-09-23,"6,707.00",Information and Communications Technology,Information Communication Technology  ,1900553808,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"5,360.00",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"1,680.00",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"6,765.00",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"-3,364.05",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"1,120.00",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"2,255.00",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"-1,497.05",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"4,640.00",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"15,404.00",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,"-1,795.55",Care Payments,Social Community Care Supplies & Services  ,102267793,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,80.00,Care Payments,Social Community Care Supplies & Services  ,102267794,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-07,322.14,Care Payments,Social Community Care Supplies & Services  ,102267794,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-29,"1,932.86",Care Payments,Social Community Care Supplies & Services  ,102280257,Stockport,Services to People
Adult Social Care,RMD CARE SERVICES LTD,2015-09-24,11.85,Care Payments,Social Community Care Supplies & Services  ,1900554151,Stockport,Services to People
Adult Social Care,ROCHE HEALTHCARE LTD,2015-09-07,"2,289.70",Care Payments,Social Community Care Supplies & Services  ,102267835,Stockport,Services to People
Adult Social Care,ROCHE HEALTHCARE LTD,2015-09-07,-669.15,Care Payments,Social Community Care Supplies & Services  ,102267835,Stockport,Services to People
Adult Social Care,Rock House,2015-09-07,"3,000.00",Care Payments,Social Community Care Supplies & Services  ,102267876,Stockport,Services to People
Adult Social Care,Rock House,2015-09-07,"-1,035.65",Care Payments,Social Community Care Supplies & Services  ,102267876,Stockport,Services to People
Adult Social Care,Roefield Specialist Care Ltd,2015-09-07,"8,400.00",Care Payments,Social Community Care Supplies & Services  ,102267863,Stockport,Services to People
Adult Social Care,Roefield Specialist Care Ltd,2015-09-07,-295.55,Care Payments,Social Community Care Supplies & Services  ,102267863,Stockport,Services to People
Childrens & Educational Services,ROMILEY METHODIST PRE SCHOOL,2015-09-03,"8,872.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551821,Stockport,Services to People
Adult Social Care,ROSEMOUNT CARE HOME LTD,2015-09-07,"1,915.00",Care Payments,Social Community Care Supplies & Services  ,102267795,Stockport,Services to People
Adult Social Care,ROSEMOUNT CARE HOME LTD,2015-09-07,-935.86,Care Payments,Social Community Care Supplies & Services  ,102267795,Stockport,Services to People
Adult Social Care,ROSEMOUNT CARE HOME LTD,2015-09-07,503.47,Care Payments,Social Community Care Supplies & Services  ,102267795,Stockport,Services to People
Adult Social Care,ROSEMOUNT CARE HOME LTD,2015-09-07,"6,060.00",Care Payments,Social Community Care Supplies & Services  ,102267795,Stockport,Services to People
Adult Social Care,ROSEMOUNT CARE HOME LTD,2015-09-07,"-3,434.00",Care Payments,Social Community Care Supplies & Services  ,102267795,Stockport,Services to People
Adult Social Care,ROSEMOUNT CARE HOME LTD,2015-09-29,"1,210.57",Care Payments,Social Community Care Supplies & Services  ,102280258,Stockport,Services to People
Capital Expenditure,ROSEMOUNT CARE HOME LTD,2015-09-25,"3,264.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900554175,Stockport,Services to People
Childrens & Educational Services,ROSSENDALE SCHOOL,2015-09-03,"6,879.83",Fees and Charges,Human Resources Training & Conferences ,1900551149,Stockport,Services to People
Childrens & Educational Services,ROSSENDALE SCHOOL,2015-09-25,"6,657.90",Fees and Charges,Human Resources Training & Conferences ,1900551189,Stockport,Services to People
Central Services to the public,ROYAL MAIL GROUP LTD.,2015-09-29,0.74,Publicity and Promotion,Facilities & Management Services  ,1900554167,Stockport,Corporate and Support Services
Central Support Costs,ROYAL MAIL GROUP LTD.,2015-09-01,"2,820.39",Publicity and Promotion,Facilities & Management Services  ,1900550697,Stockport,Corporate and Support Services
Central Support Costs,ROYAL MAIL GROUP LTD.,2015-09-01,"2,666.91",Publicity and Promotion,Facilities & Management Services  ,1900550711,Stockport,Corporate and Support Services
Central Support Costs,ROYAL MAIL GROUP LTD.,2015-09-17,"2,953.07",Publicity and Promotion,Facilities & Management Services  ,1900552035,Stockport,Corporate and Support Services
Central Support Costs,ROYAL MAIL GROUP LTD.,2015-09-17,"3,766.43",Publicity and Promotion,Facilities & Management Services  ,1900552722,Stockport,Corporate and Support Services
Central Support Costs,ROYAL MAIL GROUP LTD.,2015-09-18,"1,146.55",Publicity and Promotion,Facilities & Management Services  ,1900552764,Stockport,Corporate and Support Services
Central Support Costs,ROYAL MAIL GROUP LTD.,2015-09-25,"2,001.64",Publicity and Promotion,Facilities & Management Services  ,1900553263,Stockport,Corporate and Support Services
Central Support Costs,ROYAL MAIL GROUP LTD.,2015-09-23,"4,326.01",Publicity and Promotion,Facilities & Management Services  ,1900553737,Stockport,Corporate and Support Services
Central Services to the public,ROYAL MAIL GROUP LTD.,2015-09-23,"1,068.08",Office Expenses,Mail Services   ,1900553436,Stockport,Corporate and Support Services
Central Services to the public,ROYAL MAIL GROUP LTD.,2015-09-23,"2,312.91",Office Expenses,Mail Services   ,1900553438,Stockport,Corporate and Support Services
Central Services to the public,ROYAL MAIL GROUP LTD.,2015-09-24,"1,086.37",Office Expenses,Mail Services   ,1900553495,Stockport,Corporate and Support Services
Central Support Costs,ROYAL MAIL GROUP LTD.,2015-09-02,"3,579.00",Office Expenses,Mail Services   ,1900550701,Stockport,Corporate and Support Services
Childrens & Educational Services,ROYAL MAIL GROUP LTD.,2015-09-04,787.00,Office Expenses,Mail Services   ,1900551710,Stockport,Services to People
Childrens & Educational Services,ROYAL MAIL GROUP LTD.,2015-09-09,787.00,Office Expenses,Mail Services   ,1900552060,Stockport,Services to People
Childrens & Educational Services,RSJ EDUCATION CONSULTANCY LTD,2015-09-23,900.00,Professional Fees,Consultancy   ,1900553708,Stockport,Services to People
Childrens & Educational Services,RSJ EDUCATION CONSULTANCY LTD,2015-09-23,900.00,Professional Fees,Consultancy   ,1900553713,Stockport,Services to People
Adult Social Care,Rushcliffe Care Group,2015-09-07,"2,951.05",Care Payments,Social Community Care Supplies & Services  ,102267839,Stockport,Services to People
Adult Social Care,Rushcliffe Care Group,2015-09-07,-399.25,Care Payments,Social Community Care Supplies & Services  ,102267839,Stockport,Services to People
Adult Social Care,Rushcliffe Care Group,2015-09-29,"2,500.00",Care Payments,Social Community Care Supplies & Services  ,102280269,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-07,"2,550.00",Care Payments,Social Community Care Supplies & Services  ,102267715,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-07,-250.00,Care Payments,Social Community Care Supplies & Services  ,102267715,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267715,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-07,"3,000.00",Care Payments,Social Community Care Supplies & Services  ,102267715,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-07,-770.00,Care Payments,Social Community Care Supplies & Services  ,102267715,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-07,"6,750.00",Care Payments,Social Community Care Supplies & Services  ,102267715,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-07,"-2,540.95",Care Payments,Social Community Care Supplies & Services  ,102267715,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-29,"1,984.00",Care Payments,Social Community Care Supplies & Services  ,102280219,Stockport,Services to People
Adult Social Care,RUSHES HOUSE CARE HOME,2015-09-29,-200.00,Care Payments,Social Community Care Supplies & Services  ,102280219,Stockport,Services to People
Childrens & Educational Services,Ruth Pearson Training,2015-09-07,631.65,Staff Training,Human Resources  ,1900548198,Stockport,Services to People
Childrens & Educational Services,S M JOSEPH - TUTOR,2015-09-16,720.00,Care Payments,Social Community Care Supplies & Services  ,1900551687,Stockport,Services to People
Adult Social Care,SAFE AND SECURE SOLUTIONS LTD,2015-09-04,315.00,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",1900544017,Stockport,Services to People
Adult Social Care,SAFE AND SECURE SOLUTIONS LTD,2015-09-16,330.00,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",1900553211,Stockport,Services to People
Adult Social Care,SAFE AND SECURE SOLUTIONS LTD,2015-09-16,315.00,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",1900553213,Stockport,Services to People
Capital Expenditure,SAFE AND SECURE SOLUTIONS LTD,2015-09-30,"3,095.00",Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",5100291348,Stockport,Services to People
Central Support Costs,SAFE AND SECURE SOLUTIONS LTD,2015-09-01,25.00,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",1900549865,Stockport,Corporate and Support Services
Childrens & Educational Services,SAFESPACES (CORNHOLME) LTD,2015-09-02,250.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100286300,Stockport,Services to People
Childrens & Educational Services,SAFESPACES (CORNHOLME) LTD,2015-09-03,"1,992.00",Furniture and Equipment,Environmental Services Technical Equipment ,5100289790,Stockport,Services to People
Childrens & Educational Services,SAICA NATUR UK LTD,2015-09-14,100.00,Cleaning,Cleaning & Janitorial  ,5100291837,Stockport,Services to People
Central Support Costs,SAICA NATUR UK LTD,2015-09-14,50.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100291830,Stockport,Services to Place
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,50.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100291968,Stockport,Services to Place
Adult Social Care,SAICA NATUR UK LTD,2015-09-18,50.00,Waste Management,Environmental Services Waste Management ,5100291960,Stockport,Services to People
Central Services to the public,SAICA NATUR UK LTD,2015-09-18,50.00,Waste Management,Environmental Services Waste Management ,5100291961,Stockport,Corporate and Support Services
Central Services to the public,SAICA NATUR UK LTD,2015-09-25,5.01,Waste Management,Environmental Services Waste Management ,5100292300,Stockport,Corporate and Support Services
Central Services to the public,SAICA NATUR UK LTD,2015-09-25,5.01,Waste Management,Environmental Services Waste Management ,5100292301,Stockport,Corporate and Support Services
Central Services to the public,SAICA NATUR UK LTD,2015-09-25,5.01,Waste Management,Environmental Services Waste Management ,5100292302,Stockport,Corporate and Support Services
Central Services to the public,SAICA NATUR UK LTD,2015-09-28,5.01,Waste Management,Environmental Services Waste Management ,5100292383,Stockport,Corporate and Support Services
Central Services to the public,SAICA NATUR UK LTD,2015-09-28,5.01,Waste Management,Environmental Services Waste Management ,5100292384,Stockport,Corporate and Support Services
Central Services to the public,SAICA NATUR UK LTD,2015-09-28,5.01,Waste Management,Environmental Services Waste Management ,5100292386,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292299,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292300,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,20.00,Waste Management,Environmental Services Waste Management ,5100292300,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292300,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292300,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,4.99,Waste Management,Environmental Services Waste Management ,5100292300,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292300,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292300,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292301,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,20.00,Waste Management,Environmental Services Waste Management ,5100292301,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292301,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292301,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,4.99,Waste Management,Environmental Services Waste Management ,5100292301,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292301,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292301,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292302,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,20.00,Waste Management,Environmental Services Waste Management ,5100292302,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292302,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292302,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,4.99,Waste Management,Environmental Services Waste Management ,5100292302,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292302,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-25,10.00,Waste Management,Environmental Services Waste Management ,5100292302,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292383,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,20.00,Waste Management,Environmental Services Waste Management ,5100292383,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292383,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292383,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,4.99,Waste Management,Environmental Services Waste Management ,5100292383,Stockport,Corporate and Support Services
Central Support Costs,SAICA NATUR UK LTD,2015-09-28,10.00,Waste Management,Environmental Services Waste Management ,5100292383,Stockport,Corporate and Support Services
