Newcastle City Council Invoices over £250 paid in February 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FC40,Cee Central Team,508.84 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FJX1,Legal - Expenditure Overheads,33.94 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FP30,Occupational Health,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FT04,Communications And Marketing,56.68 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KBAA,Building Contracts,"1,241.21 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KBM0,Public & Educ O/H,91.72 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KE03,Unclassified Road Maintenance,"3,531.28 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KE14,Waste Disposal General O/H,76.13 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KE27,Bereavement Services Overhead,206.40 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KE42,Waste Collect Trade Overhead,116.01 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KE88,Transport Road Safety,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KEAT,Hortic Services Overhead,94.22 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KELA,Traffic Sig General O/H,287.59 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KEMC,Highways,368.83 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KEMV,Blacksmiths,40.53 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KENB,Fleet Workshops OH,77.19 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KEND,Fleet Fuel Account,30.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KF08,Gosforth Civic Hall,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KFHH,Harehills,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KJ01,Security Overheads,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KJ31,Security - Manned Guards,36.30 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KKA4,Pest Control,353.73 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KKX1,Civic Centre Direct Costs,77.82 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL0C,Leisure Mainenance Unit,39.47 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL1C,Outer West Pool,12.54 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL1D,East End Pool,11.28 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL1G,Gosforth Pool,4.69 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL2B,Eldon Leisure,11.47 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL3A,City Hall,20.37 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL3D,City Hall Catering,18.18 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KM1C,Voids 2.5 Central,296.81 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KM1W,Voids 2.5 West,365.32 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR01,R & M Trading,253.80 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR1C,Response Central,616.73 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR1E,Response East,"1,294.53 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR1W,Response West,891.11 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR5E,Gas Serv East,825.27 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR8E,Build Surv Team,41.49 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR8L,Wide District Heating,185.95 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KSCA,Corporate Charges,"1,841.53 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KTC1,Liasion,68.30 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KTDX,Architecture Building Design,363.61 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KVEM,Mechanical Stand Alone Works,6.88 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KVWC,Minor Works Contracts,20.46 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KW00,Localised Working O/H,43.69 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MC05,Slatyford Lane Childrens Unit,33.83 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MC20,In-House Foster Carer Costs,20.93 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MC21,Fostering Unit,353.85 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MC41,Cheviot View,80.50 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MF03,Supported Lodgings LC,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MF11,Adoption Unit,154.35 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MG25,Lewcock House,22.56 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MM23,Community Mntl Hlth was Scrogg,134.36 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MN30,Asylum Seekers Adults,10.20 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MP12,MESMAC,60.72 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MR11,Walker Social Work office,515.15 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MR52,Adults Admin Pool,209.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MW01,Palatine Products,168.40 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MW03,Capabilities,11.47 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MX06,Community Reablement,"6,938.01 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1RB16,Transformation Costs,5.92 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V030,Development Management,67.66 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V070,T&W Conservation Team,1.26 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V080,Private Developers s106,37.50 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V204,Car Parking Infrastructure,243.75 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1VH06,FHU Private Housing Team,493.83 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1VH26,Housing & Welfare Rights,170.52 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1VP22,Community Safety Team,316.13 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KESW,Fleet SLA Costs & Income,"9,262.00 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KM1E,Voids 2.5 East,371.94 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V300,Green Travel office,0.42 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KLV0,Physical Activity Strategy,95.64 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E558,SB Music Service,45.64 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1EEH1,NBH CC Central Costs,54.62 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FN02,Mansion House,51.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MR58,Transport Function,101.10 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KJ51,Cash in Transit,15.72 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MD71,Family and Parenting Support,390.88 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL0A,Leisure Factility Central O/H,33.79 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V205,Car Parking Management,"1,892.91 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR3C,Planned Central,144.41 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KB40,Citybuild Stores O/H,52.45 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL6M,Ouseburn Park,12.15 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL60,Parks,54.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL64,Heaton Park Building,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL6H,Tyne Riverside Country Park,24.16 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KS65,Allendale Rd Training Centre,28.67 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1CS00,Benefits Staff,1.18 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V206,Shop Mobility,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KKU5,Civic Centre Control,23.19 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KENG,MOT,2.50 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1CC26,Contact Centre Management,22.50 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MP01,Assmnt & Care Mgmt HIV/AIDs,63.47 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MH70,Phy Disability-Sensory Support,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1EA39,Family Literacy & Numeracy,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR3W,Planned West,497.74 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KS07,Sponsorships,57.99 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1HC04,HRA ICT Engagement,54.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KLH0,Sports Dev,26.66 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KS02,Resources and Performance,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KEAR,Cleansing Overhead,290.45 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FN10,Policy Strat&Com-Specialists,127.53 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1DZQ1,Quayside Market,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KKK1,Cleaning Direct O/H,414.78 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KE09,City Bridge,14.60 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FR03,Procurement & Efficiency,75.34 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FG51,Chief Executive,171.23 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1VP15,Housing Retrofit Project,58.72 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MB14,Social Care Strategic Mngment,37.29 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MW04,WorkChoice,84.75 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1VP25,Safer Stronger Community Fund,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1DF71,High Bridge Studios & Gallery,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MC09,Phillipson Street,22.34 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1EEL1,Lemington Childrens Centre,12.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1DF02,Planning & Resources Team Cost,118.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KE41,Waste Collect Domestic Refuse,48.51 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KJ33,Wardens Overheads,128.43 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MK21,Castle Dene Prev Clayton Road,0.29 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MB04,Childrens Standards Unit,125.46 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KR3E,Planned East,299.98 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E45H,Training - C/Care,12.08 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1CC50,CSC Management,56.46 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V060,Transport Policy Planning,93.17 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KS60,Youth Employment Training,2.02 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MW02,Nature's Landscape,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MG01,Assmnt & Care Man Elderly,116.40 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E+97,Bridgewater Centre,36.78 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E+212,Transport Special,252.17 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1EP91,Playcare Elswick,15.42 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E+254,Linhope PRU,101.63 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KELD,Planned Maintenance Sunderland,186.94 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MR05,Information Technology,123.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1ERDC,One Bill Dump Code,154.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1EA34,Skills For Life FE Resources,3.73 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MF31,D&A Services For Young People,15.14 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MX17,One Bill Error,"1,733.04 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KJ28,New Deal Wardens,99.59 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E836,Connexions,263.10 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E+236,SB Young Childrens Spec. Needs,59.54 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MN10,UASC <18,90.97 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E+240,SB Hearing Impaired Service,56.62 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E711,Walkergate CC-PREV SF EEC,48.50 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MB23,Social Work Team West,463.11 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1D520,Trading Standards,20.48 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MM01,Assess & Care Management MH,509.84 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MG02,Assmnt & Care Man Elderly Hosp,337.93 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FN01,Lord Mayors Secretariat,13.12 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MB22,Initial Response Service,878.94 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MF02,16+ Team,436.65 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FC43,Cee West Team,122.80 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E+302,Parent Partnership Service,0.03 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KTC2,Technical Consultancy,250.58 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FP40,Safety,59.67 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KEHA,Arbor Team,66.06 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1D550,Executive and Events,92.22 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E317,Management Secretariat,18.27 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MK01,Disability Team,375.03 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MH01,Equipment Team,346.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KW06,Denton,70.93 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KSCD,External Vehicle Tracking,"3,143.45 ",
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1D559,Street Enforcement,210.23 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1FN20,Central Policy Unit,33.75 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MR64,Students Training & Developme,341.37 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1D543,Environment,137.89 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KJ24,Street Wardens Support,164.72 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E45C,Family Intervention/Admissions,49.72 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1E81A,Employability Skills Progress,51.29 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KRSE,Standby East,97.81 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MB05,Children With Disabilities,256.88 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1D540,District Function,97.91 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MR10,Performance,121.18 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1D519,Contaminated Land Risk Surveys,52.63 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1V560,Building Control Trading,225.74 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1MF32,Changing Trax,189.57 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KJ81,Void Service,1.91 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1CA05,City Service Cashiers,0.16 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1VH32,FHU Policy/Commissioning Team,0.58 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1VP33,CCTV Management Contingency,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KE85,Traffic Management,38.26 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1DTS1,I&D Property Services,11.35 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1D502,Day Time Noise,11.25 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1EP94,Playcare St Catherines,0.88 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KEYV,Carbon Management Programme,45.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KL80,Ouseburn Project,28.00 ,
Chief Executive's,Utilities                              ,Supplies & Services,05/02/2014,VODAFONE CORPORATE,6131476,Revenue,1KLAA,"Comm Spt, Business & Research",14.60 ,
