Site,Chart 1:Number of cases included in chart,Chart 1:Admitted to orthopaedic ward within 4 hours (n),Chart 1:Admitted to orthopaedic ward after 4 hours (n),Chart 1:Not admitted to orthopaedic ward (n),Chart 1:Unknown (n),Chart2:Number of cases included in chart,Chart2:Routine by orthogeriatrician (n),Chart2:All other reviews (n),Chart2:No assessment (n),Chart2:Unknown (n),Chart3:Number of cases included in chart,"Chart3:GA, GA+nerve block (n)","Chart3:SA, SA+epidural(CSE), SA+nerve block (n)","Chart3:GA+SA, GA+epidural (n)",Chart3:Unknown and other (n),Chart4:Number of cases included in chart,"Chart4:Surgery on day of, or day after, admission (n)",Chart4:Surgery two or more calendar days after admission (n),Chart4:No surgery performed (n),Chart4:Unknown (n),Chart5:Number of cases included in chart,Chart5:Internal fixation (n),Chart5:Arthroplasty (n),Chart5:No operation (n),Chart5:Unknown and other (n),Chart6:Number of cases included in chart,Chart6:Arthroplasty (n),Chart6:Internal fixation (n),Chart6:No operation (n),Chart6:Unknown and other (n),Chart7:Number of cases included in chart,Chart7:Cemented (n),Chart7:Uncemented (n),Chart8:Number of cases included in chart,Chart8:Total hip replacement (n),Chart8:Other operation or unknown (n),Chart9:Number of cases included in chart,Chart9:Internal fixation SHS (n),Chart9:Internal fixation – not SHS (n),Chart9:Arthroplasty (n),Chart9:No operation (n),Chart9:Unknown and other (n),Chart10:Number of cases included in chart,Chart10:Internal fixation – all intramedullary nail (n),Chart10:Internal fixation –all other (n),Chart10:Arthroplasty (n),Chart10:No operation (n),Chart10:Unknown and other (n),Chart11:Number of cases included in chart,Chart11:Surgery (n),Chart11:No surgery (n),Chart11:Unknown (n),Chart12:Number of cases included in chart,Chart12:Reoperation within 30 days (n),Chart12:No reoperation within 30 days (n),Chart12:Unknown (n),Chart13:Number of cases included in chart,Chart13:Continued from pre-admission (n),Chart13:Started on this admission (n),Chart13:Awaits DXA scan (n),Chart13:Awaits bone clinic assessment (n),Chart13:Assessed – no bone protection medication needed/appropriate (n),Chart13:No assessment or action taken (n),Chart13:Unknown (n),Chart14:Number of cases included in chart,Chart14:Yes (n),Chart14:No or unknown (n),Chart15:Number of cases included in chart,Chart15:Pressure ulcers (n),Chart15:No pressure ulcers (n),Chart15:Unknown (n),Chart16:Number of cases included in chart,Chart16:Own home/sheltered housing (n),Chart16:Rehabilitation unit (n),Chart16:Acute hospital (n),Chart16:Residential care (n),Chart16:Nursing care (n),Chart16:Dead (n),Chart16:Other (n),Chart16:Unknown (n),Chart17:Number of cases included in chart,Chart17:Own home/sheltered housing (n),Chart17:Residential care (n),Chart17:Nursing care (n),Chart17:Rehabilitation unit (n),Chart17:Acute hospital (n),Chart17:Already in hospital (n),Chart17:Other (n),Chart17:Unknown (n),Chart18:Number of cases included in chart,Chart18:Mean length of acute stay (days),Chart18:Mean length of post-acute stay (days),Chart19:No. of cases eligible for mortality analysis,Chart19:Raw mortality rate within 30 days (%),Chart19:Adjusted mortality rate with 30 days (%),Chart20:No. of cases eligible for return home from home analysis,Chart20:Raw return home rate by 30 days (%),Chart20:Adjusted return home rate by 30 days (%),Chart21:Number of cases included in chart,Chart21:Ineligible - met 9 criteria,Chart21:Ineligible - met 8 criteria (n),Chart21:Ineligible - met 7 criteria (n),Chart21:Ineligible - met 6 criteria (n),Chart21:Ineligible - met 5 criteria (n),Chart21:Ineligible - met 4 criteria (n),Chart21:Ineligible - met 3 criteria (n),Chart21:Ineligible - met 2 criteria (n),Chart21:Ineligible - met 1 criteria (n),Chart21:Ineligible - met 0 criteria (n),Regional table:Number of cases submitted,Regional table:Admitted to orthopaedic ward within 4 hours (%),Regional table:Surgery on the day of or day after admission (%),Regional table:Senior geriatric review within 72 hours of admission (%),Regional table:Abbreviated mental test performed (%),Regional table:Specialist falls assessment performed (%),Regional table:Bone health medication assessment performed (%),Regional table:Patients developing pressure ulcers (%),Regional table:Best practice tariff attainment (%),Regional table:Mortality 2011 to 2013 - crude (%),Regional table:Mortality 2011 to 2013 - casemix adjusted (%),Regional table:Returned home from home within 30 days - crude (%),Regional table:Return home from home within 30 days - casemix adjusted (%),Regional table:Mean length of total Trust stay [acute + post-acute] (days),Regional table:30 day follow up completion rate (%),Facilities audit:No. of hip fractures treated/annum,Facilities audit:Trauma service description,Facilities audit:Hours of designated trauma/week,Facilities audit:No. of WTE orthopaedic consultants,Facilities audit:No. of WTE orthopaedic middle grades,Facilities audit:Orthogeriatric consultant hours/week,Facilities audit:Orthogeriatric middle grade hours/week,Facilities audit:Orthogeriatric ward rounds/week,Facilities audit:No of. WTE fragility fracture nurses,Facilities audit:No. of WTE fracture liaison nurses,Facilities audit:Specific clerking proforma,Facilities audit:Falls clinic,Facilities audit:DXA on-site facility,Facilities audit:Data collected by,Facilities audit:Data entered by,Facilities audit:Enhanced recovery programme,Facilities audit:Early supported discharge service,Facilities audit:Access to rehabilitation beds
QEB,406,228,146,28,*,426,70,350,6,0,426,373,29,14,10,426,276,140,10,0,133,26,99,6,*,98,84,13,*,0,185,176,9,48,28,20,171,121,46,*,*,0,20,15,*,0,0,*,426,416,10,0,383,0,0,383,394,7,243,*,*,140,0,*,394,393,*,394,56,338,0,393,167,110,*,37,41,31,*,0,426,342,28,26,11,0,15,*,0,282,15.4,*,1158,5.9,*,342,35.1,36.3,419,220,131,48,17,*,0,0,0,0,0,426,56.2,64.8,92,97.7,99.7,99.7,14.2,52.5,5.9,*,35.1,36.3,23.9,0,427,DGH,28,12,16,16,*,*,*,*,Yes,Con,Axial,Nurses,Audit,Yes,Yes,Yes
QEG,262,189,66,*,*,299,156,22,121,0,299,181,108,*,8,299,257,35,7,0,13,8,*,*,*,153,142,8,*,0,147,146,*,68,10,58,121,70,46,*,*,0,12,12,0,0,0,0,299,292,7,0,278,*,238,36,258,36,113,38,17,52,*,0,258,258,0,258,26,231,*,285,140,32,6,39,28,38,*,0,299,221,33,14,*,*,24,*,0,405,16.2,*,877,12,10.7,221,64.3,64.3,308,222,56,15,12,*,*,0,0,0,0,299,72.1,86,92,99,100,99.2,10.1,72.1,12,10.7,64.3,64.3,18.2,97.1,320,DGH,48,8,10,9,24,*,0,*,Yes,Con,Axial,Doctors,Nurses,No,Yes,No
QEQ,428,262,162,0,*,437,300,45,92,0,437,267,76,59,35,437,325,100,12,0,65,36,26,*,0,202,169,26,7,0,209,166,43,104,*,100,123,105,14,*,*,0,26,18,8,0,0,0,437,425,12,0,393,0,21,372,397,13,367,*,0,14,*,0,397,396,*,397,20,265,112,405,242,25,*,38,48,38,13,0,437,347,72,*,*,*,*,9,0,363,11.8,*,1288,8.4,8,347,59.1,63.3,423,293,103,20,*,0,*,*,0,0,0,437,61.2,74.4,94.3,99.8,99.7,99.7,*,69.3,8.4,8,59.1,63.3,16.6,0,456,DGH,37,9.5,27.2,30,40,*,0,*,Yes,Con,None,Doctors,Audit,Yes,Yes,Yes
QKL,351,114,141,0,96,375,161,23,191,0,375,135,232,*,7,375,265,103,7,0,34,27,7,0,0,198,188,7,*,0,196,193,*,89,18,71,125,116,*,0,*,0,17,13,*,0,0,0,375,368,7,0,357,*,0,356,355,35,229,31,0,41,18,*,355,338,17,355,6,349,0,364,147,98,*,83,8,20,6,0,375,300,57,*,*,0,9,*,0,520,13,*,1070,7.9,7.3,300,48,49.7,373,175,129,38,16,10,*,*,0,*,0,375,32.5,70.7,77.9,97.3,95.2,94.6,*,46.9,7.9,7.3,48,49.7,12.5,*,420,DGH,30,8,7,*,0,*,0,0,Yes,Con,None,Nurses,Nurses,No,No,Yes
RAD,526,224,281,18,*,566,364,21,137,44,566,199,262,19,86,566,385,165,16,0,28,14,10,*,0,239,237,0,*,0,272,267,*,74,24,50,189,175,12,*,*,0,40,26,12,0,*,0,566,534,16,16,526,14,0,512,519,76,282,55,30,66,9,*,519,508,11,519,16,481,22,541,153,231,13,35,48,45,8,8,566,360,45,56,6,*,31,8,58,410,12.6,5.5,1554,9.1,6.9,360,32.5,36.1,566,325,159,43,16,8,*,*,*,0,*,566,42.6,68,88.9,97.5,97.9,98.1,*,57.4,9.1,6.9,32.5,36.1,14.1,0,534,Both,119,9.51,10,36,32,*,0,*,Yes,Con,Axial,Audit,Audit,No,Yes,Yes
RBE,419,78,327,11,*,438,372,*,61,0,438,387,24,14,13,438,318,107,13,0,46,12,29,*,0,207,185,17,*,0,224,13,211,106,29,77,131,102,17,8,*,*,54,40,10,*,*,*,438,425,13,0,400,7,104,289,410,34,278,23,*,72,0,0,410,410,0,410,*,406,*,413,198,124,*,22,38,25,*,*,438,345,37,34,*,*,17,*,0,575,11.8,*,1355,7.5,8,345,52.5,52.6,435,311,104,17,*,0,0,0,0,0,0,438,18.6,72.6,97.3,99.5,100,100,*,71.5,7.5,8,52.5,52.6,18.1,70.9,449,DGH,56,8,13,30,40,*,*,0,Yes,Con,None,Doctors,Admin,Yes,Yes,No
RCH,577,396,173,*,7,601,431,36,134,0,601,262,258,71,10,601,452,142,7,0,47,20,25,*,0,329,301,26,*,*,327,294,33,179,60,119,178,143,32,*,*,*,46,37,*,0,*,*,601,594,7,0,569,6,14,549,559,51,256,95,7,148,*,*,559,557,*,559,6,551,*,576,228,239,*,26,36,42,*,0,601,479,49,42,10,*,9,10,0,534,11.4,*,1742,9.3,9.5,479,41.5,41.3,605,429,152,19,*,0,*,0,*,*,0,601,68.6,75.2,95.8,99.2,99.6,99.6,*,70.9,9.3,9.5,41.5,41.3,14.2,*,577,DGH,108,17,13,20,10,*,0,0,Yes,Con,Axial,Nurses,Nurses,Yes,No,No
RDE,543,360,179,*,*,563,396,15,152,0,563,237,101,214,11,563,451,102,9,*,26,16,9,*,0,306,275,27,*,0,286,284,*,185,55,130,175,152,18,*,*,0,56,48,6,0,*,*,563,554,9,0,534,9,523,*,530,92,283,102,0,52,*,0,530,530,0,530,*,526,0,542,224,202,*,55,26,31,*,0,563,453,73,35,0,0,*,*,0,238,18.4,*,1611,5.8,7.2,453,57.4,55.5,563,438,107,15,*,*,0,0,0,0,0,563,66.3,80.1,97.2,99.8,100,99.8,*,77.8,5.8,7.2,57.4,55.5,12.8,98,581,DGH,56,12,7,22,15,*,0,0,Yes,None,Axial,Nurses,Nurses,No,Yes,Yes
RED,245,130,112,*,0,262,261,0,*,0,262,149,100,6,7,262,173,82,7,0,18,15,0,*,0,118,101,14,*,*,101,26,75,52,11,41,114,107,*,0,*,0,12,12,0,0,0,0,262,255,7,0,236,*,0,233,234,28,183,20,0,*,0,0,234,234,0,234,*,232,*,243,71,103,0,12,30,27,0,0,262,188,22,29,*,*,15,*,0,132,16.8,0,726,7.2,7.8,188,35.1,34.7,250,147,87,13,*,0,0,*,0,0,0,262,53.1,66,90.1,99.6,100,100,*,58.8,7.2,7.8,35.1,34.7,19.4,*,250,DGH,20,10,8,10,0,*,*,0,Yes,Con,None,Nurses,Nurses,No,No,No
RFH,156,78,56,21,*,171,144,11,16,0,171,109,58,*,*,171,123,46,*,0,17,12,*,*,0,76,76,0,0,0,80,73,7,37,*,32,71,70,0,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,171,169,*,0,161,0,0,161,157,18,100,17,*,21,0,0,157,156,*,157,*,154,*,163,74,53,0,9,7,12,8,0,171,140,15,*,0,*,10,*,0,196,11.5,18.4,533,8.6,8.1,140,47.1,48.2,168,101,54,*,*,*,*,0,0,0,0,171,50,71.9,97.1,97.7,99.4,100,*,60.1,8.6,8.1,47.1,48.2,16.8,*,170,DGH,24,6,7,20,10,*,*,0,Yes,Con,Axial,Nurses,Doctors,No,Yes,No
RHC,222,96,125,0,*,238,235,*,0,*,238,82,132,16,8,238,207,23,8,0,22,15,6,*,0,112,107,*,*,0,113,86,27,52,7,45,89,87,0,0,*,0,15,12,*,0,*,*,238,230,8,0,210,*,187,20,217,35,35,47,48,52,0,0,217,217,0,217,*,211,*,218,115,17,0,27,38,21,0,0,238,182,23,20,*,*,10,0,0,228,14.8,9.9,674,8.3,8.7,182,57.1,58.9,233,191,28,12,*,*,0,0,0,0,0,238,43.2,87,95,100,100,100,*,82,8.3,8.7,57.1,58.9,24.8,97.2,275,DGH,20,9.5,8.8,28,0,6,*,0,Yes,Con,None,Nurses,Nurses,Yes,Yes,Yes
RLI,230,172,50,0,8,253,35,95,123,0,253,187,44,21,*,253,178,74,*,0,70,13,55,*,*,77,73,*,0,*,130,84,46,37,7,30,101,94,*,*,0,0,N/A,N/A,N/A,N/A,N/A,N/A,253,252,*,0,228,0,0,228,231,25,119,11,0,69,7,0,231,231,0,231,7,224,0,229,119,15,*,36,38,20,0,0,253,185,21,30,*,*,15,0,0,373,17.1,*,759,9.6,7.7,185,48.6,49.1,240,97,84,35,12,8,*,*,0,0,0,253,74.8,70.4,71.9,93.3,100,97,*,40.4,9.6,7.7,48.6,49.1,24.7,0,264,DGH,38,9.4,12,9,0,*,0,0,Yes,Con,Axial,Nurses,Audit,Yes,No,No
RLU,373,172,192,*,7,404,287,14,103,0,404,366,23,6,9,404,336,59,9,0,22,14,6,*,0,180,159,6,*,11,168,151,17,96,18,78,165,85,75,*,*,0,37,34,*,*,0,0,404,395,9,0,372,9,289,74,368,40,126,76,30,96,0,0,368,368,0,368,*,366,0,381,170,100,*,40,29,36,*,0,404,300,40,27,10,*,17,*,0,288,16.1,*,1119,7.1,8.2,300,58.3,55.9,396,325,59,11,*,0,0,0,0,0,0,404,46.1,83.2,99,100,100,100,*,82.1,7.1,8.2,58.3,55.9,18.3,32.2,360,Both,106,25,12,29,*,6,*,0,Yes,Con,Axial,Nurses,Nurses,Yes,No,Yes
ROT,289,223,65,0,*,309,295,9,*,0,309,60,231,7,11,309,248,50,11,0,20,16,*,*,*,169,157,*,8,0,160,135,25,70,29,41,106,76,27,*,*,0,13,13,0,0,0,0,309,298,11,0,279,0,185,94,276,24,202,36,*,9,*,0,276,276,0,276,10,266,0,289,106,79,*,33,29,32,*,*,309,241,30,32,0,*,*,*,0,388,19,*,869,10.9,10.5,241,47.7,49.7,314,215,66,21,10,*,0,0,0,0,0,309,77.2,80.3,92.6,96.8,100,98.9,*,68.5,10.9,10.5,47.7,49.7,16.8,40.4,300,DGH,36,12.2,9.5,8,0,*,0,0,Yes,Con,None,Nurses,Admin,No,No,Yes
RPH,374,223,108,0,43,417,52,140,225,0,417,108,242,15,52,413,278,134,*,0,34,30,*,0,0,204,195,8,*,0,199,186,13,101,33,68,130,108,22,0,0,0,39,25,14,0,0,0,417,416,*,0,387,*,379,6,377,33,150,21,*,172,0,0,377,377,0,377,*,372,0,388,147,16,9,101,54,39,*,17,417,288,47,49,0,*,29,*,0,503,7,11.1,1205,7.3,7.7,288,52.1,49.4,423,57,198,110,46,12,0,0,0,0,0,417,59.6,67.3,26.1,94.2,100,100,*,13.5,7.3,7.7,52.1,49.4,20.9,56.4,430,Both,66,12,11,49,0,7,*,0,Yes,Con,None,Nurses,Nurses,No,No,No
RSC,510,213,295,*,*,525,283,*,241,0,525,83,421,20,*,525,462,60,*,0,16,9,7,0,0,264,255,8,*,0,262,252,10,158,56,102,230,157,71,0,*,0,14,12,*,0,0,0,525,522,*,0,501,*,0,497,499,74,149,54,*,220,*,0,499,498,*,499,52,447,0,504,206,108,*,81,64,24,20,0,525,416,61,26,0,*,14,7,0,344,12,5.9,1430,6.4,6.6,416,41.8,41.8,528,442,66,13,*,*,*,*,0,0,0,525,41.8,88,97.3,99.8,99.8,99.8,10.4,83.7,6.4,6.6,41.8,41.8,18.1,0,530,Tertiary,130,27,15,28,0,7,0,*,Yes,Nurse,Axial,Audit,Audit,Yes,Yes,Yes
RSS,359,169,187,*,0,369,128,241,0,0,369,186,108,34,41,368,149,179,40,0,44,32,*,9,0,188,140,34,14,0,144,78,66,26,8,18,119,90,11,*,13,*,17,*,*,0,*,*,369,329,40,0,311,*,241,69,351,46,148,32,*,100,22,0,351,326,25,351,*,350,0,349,116,135,8,32,40,17,*,0,369,282,50,25,0,*,8,*,0,316,17.9,*,1046,7.5,7.9,282,46.1,44.8,375,0,32,97,119,81,14,15,14,*,0,369,47.1,40.5,59.9,36.9,92.9,93.7,*,0,7.5,7.9,46.1,44.8,17.9,33.7,400,DGH,50,*,*,10,37.5,*,0,37.5,Yes,Con,None,Nurses,Nurses,No,No,Yes
RSU,324,55,206,8,55,341,222,14,105,0,341,193,100,29,19,341,281,50,10,0,N/A,N/A,N/A,N/A,N/A,190,178,9,*,0,181,172,9,93,16,77,117,103,9,0,*,*,26,24,0,0,0,*,341,331,10,0,312,*,280,29,315,39,117,52,39,68,0,0,315,315,0,315,15,300,0,322,114,73,*,25,72,26,7,*,341,239,47,40,*,*,8,*,0,458,18,0,1029,7.7,6.8,239,51,52,342,279,47,12,*,0,0,0,0,0,*,341,17,82.4,97.4,99.7,100,100,*,81.6,7.7,6.8,51,52,19,85.8,330,DGH,24,15,10,24,40,*,*,*,Yes,Con,None,Nurses,Nurses,No,No,Yes
RUS,457,147,308,*,0,493,250,233,10,0,493,133,343,6,11,493,410,72,11,0,34,15,19,0,0,260,238,16,*,*,257,165,92,136,12,124,154,132,17,0,*,0,45,17,27,0,*,0,493,481,11,*,452,11,440,*,446,41,254,67,0,83,0,*,446,445,*,446,18,428,0,463,175,138,*,53,47,44,*,0,493,363,68,27,*,*,30,0,0,822,11.5,8.1,1421,7.7,10.8,363,45.7,43.1,492,401,72,12,*,*,0,0,0,0,0,493,32.2,83.2,96.1,100,99.8,99.8,*,81.5,7.7,10.8,45.7,43.1,18.1,5.3,512,DGH,56,11,10,16,80,*,*,0,Yes,Con,Axial,Nurses,Nurses,Yes,No,Yes
RVN,363,146,216,*,0,410,181,43,186,0,410,349,22,10,29,410,329,64,17,0,11,*,*,*,0,233,217,8,7,*,224,222,*,71,14,57,127,114,8,*,*,*,23,14,8,0,0,*,410,393,17,0,359,*,331,24,379,69,148,82,13,67,0,0,379,378,*,379,48,330,*,376,215,16,*,63,46,28,7,0,410,274,63,24,7,24,9,9,0,270,16.9,*,1244,6.8,6.1,274,59.5,62.7,415,288,82,25,11,*,*,*,0,0,0,410,40.2,80.2,93.4,98,99.7,100,12.7,69.4,6.8,6.1,59.5,62.7,26.4,92.1,450,Both,70,7.5,8,12,10,*,*,*,Yes,Con,Axial,Nurses,Admin,No,Yes,Yes
SAL,268,190,76,*,*,287,205,15,67,0,287,207,52,18,10,287,222,55,10,0,24,*,20,*,0,136,119,9,8,0,142,142,0,91,9,82,112,95,14,*,0,0,15,12,*,0,0,0,287,277,10,0,264,*,178,82,263,*,247,10,*,0,0,0,263,263,0,263,*,256,*,274,194,24,0,20,12,23,0,*,287,221,14,35,*,*,14,0,0,326,14.5,7.3,791,8.8,9.8,221,77.8,79.7,290,230,48,8,*,0,*,0,0,0,0,287,70.9,77.4,96.2,99.7,100,100,*,79.3,8.8,9.8,77.8,79.7,18.1,65.4,278,DGH,30,10,8,20,44,6,*,0,Yes,Con,Peri,Nurses,Admin,No,No,Yes
SAN,341,193,142,*,*,356,143,213,0,0,356,52,283,9,12,356,269,81,6,0,41,15,21,*,*,132,111,16,0,*,158,122,36,54,22,32,156,119,13,19,*,*,16,8,7,*,0,0,356,350,6,0,325,*,229,92,325,16,209,15,0,83,*,0,325,324,*,325,10,301,14,331,257,*,*,19,22,29,*,0,356,272,28,24,0,0,17,13,*,286,9.3,6.6,1042,8.6,9.9,272,67.3,69.9,362,208,109,30,6,*,*,*,*,*,0,356,56.6,75.6,86.2,95.5,99.7,99.4,*,57.5,8.6,9.9,67.3,69.9,21.9,73,380,DGH,72,11.5,15,22,0,*,*,0,No,Con,Axial,Nurses,Audit,Yes,No,Yes
SCA,281,150,130,0,*,294,148,6,140,0,294,135,150,*,6,294,251,39,*,0,35,12,22,*,0,142,136,*,*,0,158,151,7,72,28,44,103,93,8,0,*,0,11,10,*,0,0,0,294,290,*,0,284,0,0,284,279,44,171,32,0,26,6,0,279,274,*,279,7,269,*,287,105,78,7,46,28,14,9,0,294,203,39,26,8,0,15,*,0,437,13,*,856,7.8,7.5,203,41.9,40.7,300,240,44,10,*,*,*,0,0,0,0,294,53.4,85.4,92.9,99.7,98.2,97.8,*,80,7.8,7.5,41.9,40.7,16,0,308,DGH,21,6,6,15,0,*,0,0,Yes,Con,Axial,Admin,Admin,Yes,Yes,Yes
SCM,427,330,89,0,8,460,212,18,230,0,460,318,114,12,16,460,364,81,15,0,49,15,31,*,0,243,217,18,8,0,249,242,7,111,22,89,139,105,30,*,*,0,29,20,8,0,*,0,460,445,15,0,422,*,*,420,425,54,211,66,52,40,*,0,425,425,0,425,14,410,*,437,143,171,*,58,25,35,*,0,460,333,65,37,*,*,17,*,0,222,10.3,*,1387,6.8,6.5,333,35.4,34.9,451,325,96,25,*,*,0,0,0,0,0,460,77.3,79.1,93.7,99.3,100,99.5,*,72.1,6.8,6.5,35.4,34.9,13.5,10.9,512,Both,65,22,16,37.5,0,*,*,*,Yes,None,Axial,Admin,Admin,Yes,Yes,Yes
SCU,215,149,63,0,*,228,134,35,59,0,228,53,151,*,21,228,148,65,15,0,41,12,26,*,0,107,94,*,8,0,122,78,44,38,*,37,65,45,16,0,*,0,14,13,0,*,0,0,228,213,15,0,207,*,110,92,210,31,148,*,0,25,*,0,210,210,0,210,*,206,*,222,115,8,0,42,37,18,*,*,228,162,37,16,*,0,12,0,0,193,16.3,*,682,9.1,7.3,162,71.6,74,233,128,70,30,*,*,*,0,0,0,0,228,69.3,64.9,90.8,96.9,100,99.5,*,54.9,9.1,7.3,71.6,74,11,50.7,212,DGH,32,6,8,*,0,*,0,0,Yes,Con,Axial,Nurses,Admin,No,No,Yes
SDG,208,90,103,15,0,216,95,20,101,0,216,91,64,51,10,216,160,46,10,0,24,11,10,*,0,111,97,9,*,0,107,100,7,66,19,47,77,75,*,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,216,206,10,0,197,*,157,36,201,24,112,39,*,19,*,0,201,187,14,201,0,107,94,206,127,7,*,29,26,14,*,0,216,177,10,20,*,*,*,0,0,400,12.5,*,673,6.7,7.4,177,67.8,65.2,231,126,71,20,6,*,*,*,0,0,0,216,43.3,74.1,76.4,98.1,93,99,0,54.5,6.7,7.4,67.8,65.2,20.7,86.4,240,DGH,29,10,7,0,8,*,*,*,Yes,None,Peri,Nurses,Nurses,No,No,No
SEH,394,296,71,*,26,420,262,156,*,0,420,330,75,6,9,420,279,140,*,0,46,17,29,0,0,190,173,16,*,0,210,204,6,94,16,78,156,129,23,*,0,0,22,12,10,0,0,0,420,419,*,0,400,*,128,267,392,53,320,0,*,12,*,0,392,392,0,392,17,372,*,401,175,61,0,115,11,27,*,8,420,298,90,8,*,*,18,*,0,521,19.2,*,1221,8.2,9.5,298,63.4,60.4,410,220,123,40,21,*,*,*,0,0,0,420,75.1,66.4,89.5,93.6,100,99.5,*,53.7,8.2,9.5,63.4,60.4,12.7,45.4,400,DGH,32,15.3,11,75,37.5,*,*,*,Yes,Con,Axial,Nurses,Admin,No,No,Yes
SGH,534,178,353,*,*,574,420,149,*,*,574,224,180,37,133,574,431,134,9,0,72,25,46,*,0,298,251,41,6,0,303,300,*,137,59,78,180,62,112,*,*,0,22,18,*,0,0,0,574,565,9,0,513,0,0,513,523,12,417,58,6,27,*,*,523,516,7,523,17,445,61,522,281,112,18,28,25,46,11,*,574,457,42,39,*,*,31,*,0,429,19.4,*,1705,8.1,7.4,457,47,46,557,323,167,55,7,*,*,*,*,0,0,574,33.3,75.1,92.9,97.2,98.7,99.4,*,58,8.1,7.4,47,46,20.7,0,674,Both,115,20,20,26,80,*,0,0,Yes,Con,Axial,Admin,Admin,No,Yes,Yes
SHC,445,74,343,23,*,484,364,27,93,0,484,306,155,7,16,484,427,44,13,0,19,11,*,*,0,258,236,15,7,0,239,201,38,131,12,119,188,148,39,0,*,0,19,16,*,0,0,0,484,471,13,0,424,0,0,424,428,36,223,74,22,71,*,0,428,426,*,428,11,411,6,437,250,39,17,28,51,50,*,0,484,358,42,38,*,*,38,*,*,345,20.5,*,1301,10.1,9.8,358,59.5,61.5,459,407,38,9,*,0,*,*,0,0,0,484,16.6,88.2,98.1,100,99.5,99.5,*,88.7,10.1,9.8,59.5,61.5,22,0,400,DGH,62.5,16,12,26,26,*,*,0,Yes,None,None,Nurses,Audit,No,Yes,Yes
SHH,350,242,98,*,9,369,42,264,62,*,369,198,144,12,15,369,300,63,6,0,31,26,*,*,0,188,172,11,*,*,177,169,8,86,22,64,133,126,*,0,*,*,15,8,*,*,0,*,369,363,6,0,342,0,342,0,338,19,257,24,9,23,*,*,338,335,*,338,6,331,*,347,126,89,6,44,54,28,0,0,369,267,37,40,*,*,18,*,0,233,15.8,*,1051,7.7,6.9,267,41.9,42.8,374,252,85,22,7,*,*,*,0,0,0,369,69.1,81.3,85.9,97.8,99.1,98.2,*,67.4,7.7,6.9,41.9,42.8,22.1,0,379,DGH,59.5,18,11,18,0,6,0,0,Yes,Con,Axial,Nurses,Audit,No,Yes,Yes
SLF,228,147,76,*,*,258,58,129,70,*,258,99,143,*,15,258,186,66,*,*,26,22,*,0,0,119,115,0,*,*,120,117,*,48,9,39,101,73,26,*,*,0,N/A,N/A,N/A,N/A,N/A,N/A,258,252,*,*,234,0,0,234,231,25,52,*,70,78,*,*,231,229,*,231,12,218,*,239,71,95,0,31,9,26,6,*,258,195,39,*,*,*,11,*,0,365,13.9,7.7,685,10.8,10.4,195,33.3,34.4,248,168,55,15,*,*,*,0,*,0,0,258,64.5,72.1,95,97.7,99.1,97.8,5.2,67.7,10.8,10.4,33.3,34.4,17.6,0,280,Both,63,12.4,11,40,0,*,*,*,Yes,Con,Axial,Doctors,Doctors,Yes,Yes,Yes
SMV,395,44,323,17,11,413,160,175,78,0,413,242,131,9,31,413,297,106,10,0,64,31,31,*,0,178,169,*,*,0,200,159,41,91,29,62,153,130,20,0,*,0,18,18,0,0,0,0,413,403,10,0,376,6,19,351,373,34,304,12,7,14,*,0,373,371,*,373,*,368,*,386,254,*,*,41,48,37,*,0,413,321,46,28,*,0,10,6,0,274,15.7,*,1181,7.5,7.6,321,69.2,67.1,420,277,113,18,*,*,*,*,0,0,0,413,11.1,71.9,95.6,99.5,99.5,99.5,*,66,7.5,7.6,69.2,67.1,21.6,61.1,400,DGH,56,13,13.5,20,8,*,0,*,Yes,Con,None,Nurses,Nurses,No,Yes,Yes
SOU,294,146,133,10,*,300,79,108,113,0,300,52,170,47,31,300,198,83,19,0,30,*,20,6,*,133,126,0,7,0,146,102,44,39,11,28,104,95,6,0,*,0,21,11,7,0,*,*,300,281,19,0,266,8,222,36,269,10,45,*,*,19,190,0,269,222,47,269,*,268,0,284,109,0,0,75,66,30,*,*,300,211,35,45,0,0,6,*,0,345,10.9,10.4,852,6.5,7.5,211,50.2,51.5,297,21,12,12,16,13,62,35,70,41,15,300,49.7,66,11.7,57.3,82.5,29.4,*,7.1,6.5,7.5,50.2,51.5,18.7,88,312,DGH,45,8,8,10,6,*,*,0,Yes,Con,Axial,Nurses,Nurses,Yes,Yes,Yes
SPH,352,207,141,*,0,374,280,*,92,0,374,189,143,30,12,374,303,61,10,0,23,*,14,6,0,173,164,6,*,0,178,26,152,102,27,75,163,87,76,0,0,0,15,14,0,0,*,0,374,364,10,0,340,*,286,49,354,7,311,25,0,10,*,0,354,353,*,354,17,336,*,350,194,62,*,27,37,19,9,0,374,295,33,26,*,0,16,*,0,190,15.7,10.9,1171,5.9,7.8,295,56.9,52.5,380,307,63,9,0,0,*,0,0,0,0,374,58.8,81,99.5,100,99.7,99.7,*,80.8,5.9,7.8,56.9,52.5,21.3,90.5,392,Both,45,14,14,17,*,*,*,*,Yes,Con,Axial,Nurses,Nurses,Yes,Yes,Yes
