Creditor Name ,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
SUPREME CARE SERVICES LTD,640.92, 21/12/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,1205.04, 21/12/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,647.46, 21/12/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,510.12, 21/12/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,617.92, 21/12/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,526.47, 21/12/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,873.08, 21/12/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,654, 21/12/2015,Adult and Older People,ISF Personal Care
REDACTED PERSONAL INFORMATION,4590, 21/12/2015,Childrens Services,Services Vol Associations
LONDON COMMUNITY HOMECARE LTD,730.32, 21/12/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,800.66, 21/12/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,1281.98, 21/12/2015,Adult and Older People,Private Home Help Domest Misc
QEF INDEPENDENT LIVING SERVICES,5012, 21/12/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,2571.42, 21/12/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,4671.43, 21/12/2015,Adult and Older People,Services Private Contractor
BUPA CARE HOMES (CFHCARE) LIMITED,2493.69, 21/12/2015,Adult and Older People,Private Sector Nursing Homes
BUPA CARE HOMES (CFHCARE) LIMITED,2515.33, 21/12/2015,Adult and Older People,Private Sector Nursing Homes
BUPA CARE HOMES (CFHCARE) LIMITED,2515.33, 21/12/2015,Adult and Older People,Private Sector Nursing Homes
BUPA CARE HOMES (CFHCARE) LIMITED,2164.29, 21/12/2015,Adult and Older People,Services Private Contractor
BUPA CARE HOMES (CFHCARE) LIMITED,2601.43, 21/12/2015,Adult and Older People,Private Sector Nursing Homes
BUPA CARE HOMES (CFHCARE) LIMITED,1947.86, 21/12/2015,Adult and Older People,Services Private Contractor
BUPA CARE HOMES (CFHCARE) LIMITED,1947.86, 21/12/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,1150, 21/12/2015,Childrens Services,Services Vol Associations
REDACTED PERSONAL INFORMATION,9825, 21/12/2015,Childrens Services,Agency Placements
BUPA CARE HOMES (CFHCARE) LIMITED,2601.43, 21/12/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,3771.4, 21/12/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,3771.4, 21/12/2015,Adult and Older People,Services Private Contractor
SUPREME CARE SERVICES LTD,544.22, 21/12/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,961.38, 21/12/2015,Adult and Older People,ISF Personal Care
RAINBOW FOSTERING SERVICES LIMITED,871.68, 21/12/2015,Childrens Services,Agency Placements
ORDINARY LIVING LTD,5656, 21/12/2015,Adult and Older People,Supported Living
REDACTED PERSONAL INFORMATION,9857, 21/12/2015,Childrens Services,Agency Placements
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,726.85, 21/12/2015,Adult and Older People,Private Home Help Domest Misc
CAPITA  BUSINESS SERVICES LTD,1211.65, 21/12/2015,Chief Executives,Computer Software
ARDEN CHAMBERS LTD,900, 21/12/2015,Chief Executives,Professional Fees
PARTNER ABUSE INTERVENTIONS LTD,1081.08, 21/12/2015,Chief Executives,Professional Fees
GREATER LONDON AUTHORITY,1102289, 21/12/2015,Collection Fund,NNDR1 on Account GLA
OSBORNE ENERGY LTD,1387643.87, 21/12/2015,Capital Housing Revenue Acc,Refurbishment
REDACTED PERSONAL INFORMATION,2520, 22/12/2015,Chief Executives,Professional Fees
WOLSELEY UK LTD (VARIOUS SUPPLIES),587.52, 22/12/2015,Housing Services,Materials
REDACTED PERSONAL INFORMATION,800, 22/12/2015,Childrens Services,Prof Serv Con Adv Non Curric
REDACTED PERSONAL INFORMATION,600, 22/12/2015,Chief Executives,Professional Fees
VALUTARE SOLUTIONS LTD,1600, 22/12/2015,Childrens Services,Special Guardianship Orders - Section 14
ABACUS CARE GREENWICH,1596.38, 22/12/2015,Adult and Older People,Agency Staff
HYDE HOUSING ASSOCIATION,25, 22/12/2015,Adult and Older People,Service Charges
HYDE HOUSING ASSOCIATION,153.18, 22/12/2015,Adult and Older People,Service Charges
HYDE HOUSING ASSOCIATION,583.01, 22/12/2015,Adult and Older People,Service Charges
HYDE HOUSING ASSOCIATION,266.6, 22/12/2015,Adult and Older People,Service Charges
HYDE HOUSING ASSOCIATION,25, 22/12/2015,Adult and Older People,Service Charges
HYDE HOUSING ASSOCIATION,234.52, 22/12/2015,Adult and Older People,Service Charges
VANBRUGH COMMUNITY ASSOCIATION,369.6, 22/12/2015,Adult and Older People,Venue Hire
VANBRUGH COMMUNITY ASSOCIATION,872, 22/12/2015,Adult and Older People,Venue Hire
REDACTED PERSONAL INFORMATION,585.48, 22/12/2015,Childrens Services,Prof Serv Con Adv Non Curric
REDACTED PERSONAL INFORMATION,653, 22/12/2015,Childrens Services,Professional Fees
REDACTED PERSONAL INFORMATION,2240, 22/12/2015,Eltham Crematorium Revenue,Organist
REDACTED PERSONAL INFORMATION,2660, 22/12/2015,Eltham Crematorium Revenue,Organist
REDACTED PERSONAL INFORMATION,840, 22/12/2015,Eltham Crematorium Revenue,Organist
REDACTED PERSONAL INFORMATION,3115, 22/12/2015,Childrens Services,Agency Staff
NJP CONSULTING LTD,1440, 22/12/2015,Childrens Services,Professional Fees
REDACTED PERSONAL INFORMATION,2400, 22/12/2015,Childrens Services,Prof Serv Consult Advice Curri
FIRST ABOUT PLUMBING & CARPENTRY LTD,590.4, 22/12/2015,Housing Services HRA,HRA Occupancy Incentives Under Occupancy
MANPOWER UK LTD,434218.91, 22/12/2015,Systems Control Accounts,Expenditure Payments
MANPOWER UK LTD,434575.02, 22/12/2015,Systems Control Accounts,Expenditure Payments
UK POWER NETWORKS LIMITED,1803.6, 22/12/2015,Modernisation,Landscape
UK POWER NETWORKS LIMITED,1803.6, 22/12/2015,Modernisation,Landscape
UK POWER NETWORKS LIMITED,1324.8, 22/12/2015,Modernisation,Landscape
D CATCHESIDES LTD,900, 22/12/2015,Housing Services HRA,Direct Orders
WHYTE & CO,1371.65, 22/12/2015,Chief Executives,Debt Collection Agency Charges
DAVID PHILLIPS FURNITURE LTD,54.72, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,61.78, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,15.17, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,25.85, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,23.95, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,4.46, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,7.44, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,194.15, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,186.35, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,19.72, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,7.69, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,12.68, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,11.59, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,4.55, 22/12/2015,Chief Executives,ESS Care Grant Electrical
BARTON FORGE AND IRON WORKS LIMITED,1668.1, 22/12/2015,Chief Executives,Services Private Contractor
DAVID PHILLIPS FURNITURE LTD,27.36, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,30.88, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,15.17, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,2.23, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,3.72, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,12.92, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,11.98, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,162, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,194.15, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,186.35, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,4.48, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,7.44, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,7.58, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,12.92, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,11.98, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,27.36, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,30.89, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,12.68, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,11.59, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,4.55, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,7.69, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,7.8, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,186.35, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,162, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,194.15, 22/12/2015,Chief Executives,ESS Care Grant Electrical
LONDON BOROUGH OF TOWER HAMLETS,10804.61, 22/12/2015,Childrens Services,Teachers Normal Time
REDACTED PERSONAL INFORMATION,540, 22/12/2015,Childrens Services,Agency Staff
DAVID PHILLIPS FURNITURE LTD,27.36, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,30.88, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,2.23, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,3.72, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,12.92, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,11.98, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,15.17, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,162, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,194.15, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,186.35, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
GREENWICH SERVICE PLUS LIMITED,2144.52, 22/12/2015,Comm Safety and Environment,Cleaning Services - Contract
DAVID PHILLIPS FURNITURE LTD,8.92, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,14.88, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,15.17, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,25.85, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,23.95, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,54.72, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,61.78, 22/12/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,186.35, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,162, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 22/12/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,194.15, 22/12/2015,Chief Executives,ESS Care Grant Electrical
AF STARR BUILDING CONTRACTORS,10020, 22/12/2015,Planned Maintenance,Refurbishment
GREENWICH SERVICE PLUS LIMITED,1183.75, 22/12/2015,Comm Safety and Environment,Cleaning Serv In House Trad
GREENWICH SERVICE PLUS LIMITED,5395.27, 22/12/2015,Comm Safety and Environment,Cleaning Serv In House Trad
BRYEN & LANGLEY LIMITED,1133.62, 22/12/2015,Comm Safety and Environment,Repairs Buildings GMR In House
GREENWICH SERVICE PLUS LIMITED,733.33, 22/12/2015,Comm Safety and Environment,Cleaning Serv In House Trad
REDACTED PERSONAL INFORMATION,836, 22/12/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,5802.27, 22/12/2015,Systems Control Accounts,Advances
BT PLC,517.3, 22/12/2015,Housing Services HRA,Telephones
DWF LLP,3393.6, 22/12/2015,Corporate,Insurance Claims
GRAHAM HOLMES ASTRASEAL LIMITED,660, 22/12/2015,Housing Services HRA,Direct Orders
SUPPLIES TEAM LTD,6655.85, 22/12/2015,Regeneration Enterprise and Sk,Equipment Toner
FACULTATIEVE TECHNOLOGIES LTD,3355.49, 22/12/2015,Eltham Crematorium Revenue,R & M Buildings Other
WOLSELEY UK LTD (VARIOUS SUPPLIES),547.87, 22/12/2015,Housing Services,Materials
REDACTED PERSONAL INFORMATION,675, 22/12/2015,Childrens Services,Prof Serv Consult Advice Curri
REDACTED PERSONAL INFORMATION,540, 22/12/2015,Childrens Services,Prof Serv Consult Advice Curri
WOLSELEY UK LTD (VARIOUS SUPPLIES),660.25, 22/12/2015,Housing Services,Materials
WOLSELEY UK LTD (VARIOUS SUPPLIES),563.43, 22/12/2015,Housing Services,Materials
WOLSELEY UK LTD (VARIOUS SUPPLIES),1299.42, 22/12/2015,Housing Services,Materials
SANCTUARY CARE LTD,2011.64, 22/12/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,2861.16, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2011.64, 22/12/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,2011.64, 22/12/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,2429.32, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2020, 22/12/2015,Adult and Older People,Services Private Contractor
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,659.85, 22/12/2015,Adult and Older People,ISF Personal Care
SANCTUARY CARE LTD,2795.68, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2549.6, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2795.68, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2384.56, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,601.74, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
SANCTUARY CARE LTD,2429.32, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2011.64, 22/12/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,2011.64, 22/12/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,2828.08, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2011.64, 22/12/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,2795.68, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2384.56, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,545.48, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
SANCTUARY CARE LTD,2011.64, 22/12/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,2432.84, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,3089.64, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
SANCTUARY CARE LTD,2795.28, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,2394, 22/12/2015,Childrens Services,Agency Placements
SANCTUARY CARE LTD,2011.64, 22/12/2015,Adult and Older People,Services Private Contractor
SANCTUARY CARE LTD,2832.56, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,653.58, 22/12/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,1460.94, 22/12/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,813.6, 22/12/2015,Childrens Services,Section 17
AMBER CAR SERVICES LTD,547.38, 22/12/2015,Childrens Services,Transport For Children
GAD PA AGENCY,542.82, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,1098.72, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,1151.04, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,627.84, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,732.48, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,588.6, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,745.56, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,771.46, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,791.34, 22/12/2015,Adult and Older People,ISF Personal Care
GAD PA AGENCY,888.78, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
GAD PA AGENCY,1330.56, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
GAD PA AGENCY,619.62, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,4424.88, 22/12/2015,Childrens Services,Children Looked After
ANGELS ABODE LIMITED,945, 22/12/2015,Childrens Services,Section 17
ANGELS ABODE LIMITED,1085, 22/12/2015,Childrens Services,Section 17
ANGELS ABODE LIMITED,1085, 22/12/2015,Childrens Services,Section 17
CHOICE SUPPORT LTD,3496, 22/12/2015,Adult and Older People,Services Private Contractor
HARMONY HOME AID SERVICES LTD,1006.04, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
HARMONY HOME AID SERVICES LTD,884.18, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
HARMONY HOME AID SERVICES LTD,836.8, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
VOYAGE 1 LTD,6763.28, 22/12/2015,Adult and Older People,Services Private Contractor
VOYAGE 1 LTD,6937.3, 22/12/2015,Adult and Older People,Services Private Contractor
HARMONY HOME AID SERVICES LTD,860.44, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
CAREWATCH CARE SERVICES LTD,554.4, 22/12/2015,Adult and Older People,ISF Personal Care
HARMONY HOME AID SERVICES LTD,832, 22/12/2015,Childrens Services,Section 17
CAREWATCH CARE SERVICES LTD,670.35, 22/12/2015,Adult and Older People,ISF Personal Care
HARMONY HOME AID SERVICES LTD,768, 22/12/2015,Childrens Services,Private Home Help Domestic
HARMONY HOME AID SERVICES LTD,521.4, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
HARMONY HOME AID SERVICES LTD,1146.94, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
CAREWATCH CARE SERVICES LTD,8569.7, 22/12/2015,Adult and Older People,Private Home Help Domest Misc
CAREWATCH CARE SERVICES LTD,549.36, 22/12/2015,Adult and Older People,ISF Personal Care
CAREWATCH CARE SERVICES LTD,542.7, 22/12/2015,Adult and Older People,ISF Personal Care
REDACTED PERSONAL INFORMATION,4442.16, 22/12/2015,Childrens Services,Legal Fees
REDACTED PERSONAL INFORMATION,793.4, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,5092, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,5092, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,5092, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,5092, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,5092, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,5092, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,5092, 22/12/2015,Adult and Older People,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,814.26, 22/12/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,814.26, 22/12/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,1221.39, 22/12/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,964, 22/12/2015,Systems Control Accounts,Advances
ETHOS VO LIMITED,9630, 22/12/2015,Transportation Schemes,General Payments
HM REVENUE & CUSTOMS,17037.65, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,690, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,17931.52, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,-642.07, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,68832.5, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,4258, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,80722.76, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,-737.43, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,33600.2, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,2626, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,33875.33, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,-513.65, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,2515926.89, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,119404, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,2940286.07, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,-106412.94, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,4379.1, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,207, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,5860.14, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,75094.65, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,6754, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,84831.55, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,-10968.87, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,3598.85, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,4261.56, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,-520.09, 22/12/2015,Systems Control Accounts,Expenditure Payments
THOMPSONS SOLICITORS LLP,140000, 22/12/2015,Chief Executives,Car Allowances
REDACTED PERSONAL INFORMATION,4104, 22/12/2015,Systems Control Accounts,Advances
HM REVENUE & CUSTOMS,81821.44, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,7597, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,89491.89, 22/12/2015,Systems Control Accounts,Expenditure Payments
HM REVENUE & CUSTOMS,-5875.11, 22/12/2015,Systems Control Accounts,Expenditure Payments
REDACTED PERSONAL INFORMATION,720, 22/12/2015,Childrens Services,Supply/Sessional Normal TIme
HM REVENUES & CUSTOMS,31057.04, 22/12/2015,Housing Revenue Account,Transfer to MHS
REDACTED PERSONAL INFORMATION,5464, 22/12/2015,Chief Executives,Redundancy Payments
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,1990.46, 23/12/2015,Adult and Older People,Services Private Contractor
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT) LTD,1837.71, 23/12/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,751.56, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,652, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,652.12, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,869.82, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1695.44, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1532.3, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,3948.76, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1930.2, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,499.94, 23/12/2015,Childrens Services,Services Vol Associations
REDACTED PERSONAL INFORMATION,1930.2, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1945.84, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,736.88, 23/12/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,949.02, 23/12/2015,Childrens Services,Fostering Allowances
