UK Fig 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability of NGA networks: end 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of households (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,UK,FRA,FRA,GER,GER,GER,ITA,ITA,USA,USA,USA,CAN,CAN,JPN,AUS,AUS,ESP,ESP,NED,NED,NED,SWE,POL,POL,POL,BRA,BRA,BRA,RUS,IND,IND,CHN,
JPN,37,34,34,34,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,24,26,26,27,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,21,23,25,26,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,19,20,20,20,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,19,19,18,19,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,20,21,21,22,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,17,17,17,17,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,17,18,19,21,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,30,29,25,23,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,20,21,21,21,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,22,22,21,20,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,6,6,7,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,5,7,7,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,7,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,3,3,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per-capita mobile data average revenue: 2007 and 2012  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,
,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012
SMS,44,38,26,42,29,37,35,27,19,32,10,15,0,0,53,74,31,12,34,27,21,36,,26,14,24,,,,,,,,
Mobile internet,4,40,12,35,21,68,21,36,29,120,30,101,145,243,32,167,16,48,10,56,10,72,,51,1,3,,,,,,,,
Total data,,,,,,,,,,,,,,,,,,,,,,,71,,,,5,28,6,24,0,2,8,18
Total,48,78,38,77,50,105,56,63,48,152,40,116,145,243,86,241,47,60,44,83,31,108,71,78,15,27,5,28,6,24,0,2,8,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of data services on mobile phones ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of mobile users (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
SMS,89,84,88,89,71,48,90,80,82,,,,,,,,,,,,,,,,,,,,,,,,,
Email,70,35,66,66,77,91,65,63,54,,,,,,,,,,,,,,,,,,,,,,,,,
Instant messaging,31,18,31,47,19,14,29,62,62,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,35,25,24,37,31,32,26,41,38,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents with a mobile phone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
I always have a mobile signal when I want to make a call,67,60,72,67,71,68,63,67,72,,,,,,,,,,,,,,,,,,,,,,,,,
I can always connect to the internet when I want to,64,51,69,63,70,63,64,65,84,,,,,,,,,,,,,,,,,,,,,,,,,
My internet connection is always fast enough for what I do online,59,51,60,66,66,39,57,56,59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents with a smartphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: “I always have a mobile signal...” figures include all mobile phone users ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average per-capita monthly mobile voice call minutes: 2007 to 2012  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,584,600,616,603,612,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,260,299,310,318,343,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,137,150,158,170,185,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,144,160,170,175,174,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,87,100,108,121,143,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,130,132,130,132,134,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,77,88,95,105,110,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,82,87,91,96,97,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,159,208,247,270,311,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,91,151,165,190,214,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,144,166,183,204,212,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,166,205,184,193,196,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,75,92,107,125,138,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,36,51,69,95,108,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,123,127,125,126,127,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,33,47,55,78,98,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,114,116,117,113,114,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Figures for USA, CAN and CHN also include incoming call minute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average per-capita mobile text messages: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messages per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,159,274,423,552,614,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,26,52,88,138,194,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,25,45,81,132,186,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,88,117,171,205,227,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,51,82,102,117,121,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,60,76,91,89,98,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,23,28,35,42,56,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,141,186,216,219,218,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,57,91,152,164,170,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,84,98,104,111,112,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,31,38,46,57,55,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,17,16,15,14,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities undertaken on a mobile phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
Email,70,67,66,66,77,91,65,63,54,,,,,,,,,,,,,,,,,,,,,,,,,
Instant messaging,46,33,47,61,40,30,48,71,87,,,,,,,,,,,,,,,,,,,,,,,,,
Sending a tweet,35,25,24,37,31,32,26,41,38,,,,,,,,,,,,,,,,,,,,,,,,,
VoIP calls,15,15,18,25,19,14,23,20,23,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents who access the internet on a mobile phone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile connections per 100 people: 2007 and 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,
2007,121,86,118,150,85,61,79,104,111,119,118,112,108,63,123,21,40,,,,,,,,,,,,,,,,,
2012,132,111,139,159,104,81,101,139,113,125,161,123,141,131,162,71,83,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile broadband connections per 100 people: 2008 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,7,15,26,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,5,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2,6,8,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,6,6,6,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,3,5,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2,3,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,1,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,1,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,8,12,16,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,6,8,10,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2,5,6,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,1,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2,4,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for the US include mobile data access on a mobile handset ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
