Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum Of Amount
Department For Transport,Highways Agency,22/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN CARILLION JOINT VENTURE,496902,"72,126.59"
Department For Transport,Highways Agency,22/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN CARILLION JOINT VENTURE,496899,"9,247,067.59"
Department For Transport,Highways Agency,22/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,496879,"34,271.73"
Department For Transport,Highways Agency,22/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,496878,"203,033.06"
Department For Transport,Highways Agency,22/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,496906,"56,150.70"
Department For Transport,Highways Agency,22/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,496903,"68,535.46"
Department For Transport,Highways Agency,22/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,496904,"100,055.23"
Department For Transport,Highways Agency,22/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,LAING O'ROURKE CIVIL ENGINEERING LIMITED,496882,"27,731.80"
Department For Transport,Highways Agency,22/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,496925,"78,274.00"
Department For Transport,Highways Agency,22/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,496926,"90,477.00"
Department For Transport,Highways Agency,22/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,PB LTD,496895,"31,487.55"
Department For Transport,Highways Agency,22/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,PB LTD,496849,"53,528.72"
Department For Transport,Highways Agency,22/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,PB LTD,496893,"116,888.66"
Department For Transport,Highways Agency,22/02/2011,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROAD MANAGEMENT SERVICES (PETERBOROUGH) LTD,496861,"1,846,316.96"
Department For Transport,Highways Agency,22/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,TARMAC LIMITED,496834,"69,788.68"
Department For Transport,Highways Agency,22/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,TURNER & TOWNSEND,495705,"19,838.27"
Department For Transport,Highways Agency,22/02/2011,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,UK HIGHWAYS M40 LTD,496863,"217,652.00"
Department For Transport,Highways Agency,22/02/2011,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,UK HIGHWAYS M40 LTD,496862,"2,060,033.00"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,497080,"209,421.93"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,CENTRO,497046,"175,000.00"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,TRAFFIC MANAGEMENT DIRECTORATE,COMPUTACENTER (UK) LTD,497058,"40,088.55"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,COMPUTACENTER (UK) LTD,497054,"46,811.08"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,GENESYS TELECOMMUNICATIONS LTD,497059,"27,542.82"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,496945,"144,362.86"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,496943,"166,335.74"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,496948,"553,349.87"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,496970,"35,086.57"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,496956,"36,903.25"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,496947,"64,256.18"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,496946,"86,960.03"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,496954,"36,816.09"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,497064,"77,416.23"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,LEICESTERSHIRE CONSTABULARY,496988,"37,500.00"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,MORGAN VINCI MCALPINE JOINT VENTURE,496939,"66,576.75"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,497071,"34,000.00"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,MOTT MACDONALD GROUP LTD,496966,"37,484.00"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,MOTT MACDONALD GROUP LTD,497111,"38,802.00"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,497060,"46,500.00"
Department For Transport,Highways Agency,23/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,NORBERT DENTRESSANGLE LOGISTICS LTD,496963,"90,000.00"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,497061,"70,000.00"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,TRAFFIC MANAGEMENT DIRECTORATE,PA CONSULTING SERVICES LTD,497057,"44,669.94"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,SERCO,497007,"57,361.15"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,SIMULATION SYSTEMS LTD,497029,"39,251.00"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,TRAFFIC MANAGEMENT DIRECTORATE,TRAFFIC INFORMATION SERVICES LTD,496941,"58,750.00"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,UK POWER NETWORKS (OPERATIONS) LTD (CIS) DIVERT/CONNECT,497110,"28,899.18"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,VAISALA TMI LTD,496980,"51,061.00"
Department For Transport,Highways Agency,23/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,VAISALA TMI LTD,496972,"70,000.00"
Department For Transport,Highways Agency,23/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,VARIABLE MESSAGE SIGNS LTD,497066,"32,009.00"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,WSP UK LIMITED,497062,"45,000.00"
Department For Transport,Highways Agency,23/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,497077,"96,014.37"
Department For Transport,Highways Agency,24/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AGGREGATE INDUSTRIES UK LTD,468957,"731,591.48"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,AMEY LG LIMITED,497125,194.06
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497125,"123,447.39"
Department For Transport,Highways Agency,24/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497125,"135,736.48"
Department For Transport,Highways Agency,24/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497125,"879,761.68"
Department For Transport,Highways Agency,24/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,497191,"344,990.69"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,497191,"682,612.90"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BAM NUTTALL LTD AND HANSON QUARRY PRODUCTS LTD JV,497190,"41,175.51"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,BUSINESS SERVICES DIRECTORATE,CAPITA GROUP,497114,"83,431.77"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CAPITA SYMONDS GROUP LTD,497172,"33,907.46"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,CAPITA SYMONDS GROUP LTD,497246,"35,783.60"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CAPITA SYMONDS GROUP LTD,497193,"56,456.39"
Department For Transport,Highways Agency,24/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,COLAS LTD,497147,"31,680.40"
Department For Transport,Highways Agency,24/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,497221,"65,926.23"
Department For Transport,Highways Agency,24/02/2011,Non Civil Servant HA Staff,MAJOR PROJECTS,E C HARRIS LLP,497235,"98,499.20"
Department For Transport,Highways Agency,24/02/2011,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,497219,"739,741.59"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497156,"100,200.73"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,BUSINESS SERVICES DIRECTORATE,HALCROW GROUP LTD,497115,"27,603.91"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,497137,"30,386.19"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,497186,"39,130.14"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,497304,"41,413.61"
Department For Transport,Highways Agency,24/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,497157,"26,810.00"
Department For Transport,Highways Agency,24/02/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE PROJECT SERVICES LTD,497181,"425,006.58"
Department For Transport,Highways Agency,24/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,JACOBS ENGINEERING UK LIMITED,497165,"42,051.96"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,LAFARGE/COSTAIN JOINT VENTURE,497182,"373,676.25"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,TRAFFIC MANAGEMENT DIRECTORATE,MOUCHEL LIMITED,497199,"33,513.68"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,497272,"103,732.22"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,NORBERT DENTRESSANGLE LOGISTICS LTD,497152,"49,507.28"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,497121,"69,715.35"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,PEEK TRAFFIC LTD,497259,"27,171.79"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,PEEK TRAFFIC LTD,497261,"31,903.67"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,PEEK TRAFFIC LTD,497247,"35,283.00"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,SERCO,497256,"36,330.71"
Department For Transport,Highways Agency,24/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,SIMULATION SYSTEMS LTD,497118,"38,036.24"
Department For Transport,Highways Agency,24/02/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,URS CORPORATION LTD,497224,"184,194.45"
Department For Transport,Highways Agency,24/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,497301,"51,711.45"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497520,"3,453.68"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497520,"31,217.12"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497520,"404,206.12"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,497390,"31,911.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,497419,"33,012.00"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,497393,"37,570.00"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,497398,"39,181.00"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,497382,"121,095.00"
Department For Transport,Highways Agency,25/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,497435,"367,339.00"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BAM NUTTALL LIMITED,497372,"223,236.46"
Department For Transport,Highways Agency,25/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BAM NUTTALL LTD AND HANSON QUARRY PRODUCTS LTD JV,497364,"255,100.51"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BURO HAPPOLD LTD,497417,"31,273.19"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,MAJOR PROJECTS,CAPITA SYMONDS GROUP LTD,497458,"27,875.60"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LIMITED,497428,"1,095,518.29"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,COMPUTACENTER (UK) LTD,497411,"31,845.50"
Department For Transport,Highways Agency,25/02/2011,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,CONNECT A30/A35 LTD,497380,"2,693,970.51"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,497405,"27,161.61"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,497367,"40,574.67"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,497378,"135,447.70"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,TRAFFIC MANAGEMENT DIRECTORATE,FMG SUPPORT LIMITED,497503,"509,010.00"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,491818,"-30,000.00"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497324,"31,267.09"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497316,"40,076.28"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497317,"40,911.13"
Department For Transport,Highways Agency,25/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497456,"44,080.43"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497321,"87,101.40"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497318,"110,578.44"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497323,"150,000.00"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497320,"154,143.89"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497312,"220,317.00"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497326,"240,737.31"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497314,"247,850.00"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497322,"270,402.00"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,497308,"4,221,179.65"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,497459,"25,853.02"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,497499,"45,000.00"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERSERVE PROJECT SERVICES LTD,497368,"357,198.11"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,JACOBS ENGINEERING UK LIMITED,497165,"-6,779.92"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,JACOBS ENGINEERING UK LIMITED,497341,"41,961.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JMP CONSULTANTS LTD,497430,"47,455.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JMP CONSULTANTS LTD,497429,"68,132.00"
Department For Transport,Highways Agency,25/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE/COSTAIN JOINT VENTURE,497371,"81,357.11"
Department For Transport,Highways Agency,25/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,LAFARGE/COSTAIN JOINT VENTURE,497366,"585,480.71"
Department For Transport,Highways Agency,25/02/2011,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,497331,"29,800.00"
Department For Transport,Highways Agency,25/02/2011,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,497330,"32,800.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,MOTT MACDONALD GROUP LTD,497426,"29,620.64"
Department For Transport,Highways Agency,25/02/2011,CM External Technical Consultant Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,497407,"26,076.00"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,497338,"155,000.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,497388,"26,000.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,497412,"43,011.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,497410,"49,887.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,497420,"50,985.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,497418,"72,798.00"
Department For Transport,Highways Agency,25/02/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,PA CONSULTING SERVICES LTD,497310,"76,940.00"
Department For Transport,Highways Agency,25/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PEEK TRAFFIC LTD,497505,"69,607.20"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,SERCO,497325,"233,669.29"
Department For Transport,Highways Agency,25/02/2011,Facilities Management Charges,TRAFFIC MANAGEMENT DIRECTORATE,TAYLOR WOODROW CONSTRUCTION - FACILITIES DIVISION,497492,"34,689.35"
Department For Transport,Highways Agency,25/02/2011,Facilities Management Charges,TRAFFIC MANAGEMENT DIRECTORATE,TAYLOR WOODROW CONSTRUCTION - FACILITIES DIVISION,497494,"37,851.11"
Department For Transport,Highways Agency,25/02/2011,Facilities Management Charges,TRAFFIC MANAGEMENT DIRECTORATE,TAYLOR WOODROW CONSTRUCTION - FACILITIES DIVISION,497491,"38,192.81"
Department For Transport,Highways Agency,25/02/2011,Facilities Management Charges,TRAFFIC MANAGEMENT DIRECTORATE,TAYLOR WOODROW CONSTRUCTION - FACILITIES DIVISION,497490,"39,185.48"
Department For Transport,Highways Agency,25/02/2011,Facilities Management Charges,TRAFFIC MANAGEMENT DIRECTORATE,TAYLOR WOODROW CONSTRUCTION - FACILITIES DIVISION,497493,"39,873.78"
Department For Transport,Highways Agency,25/02/2011,Facilities Management Charges,TRAFFIC MANAGEMENT DIRECTORATE,TAYLOR WOODROW CONSTRUCTION - FACILITIES DIVISION,497496,"41,764.76"
Department For Transport,Highways Agency,25/02/2011,Facilities Management Charges,TRAFFIC MANAGEMENT DIRECTORATE,TAYLOR WOODROW CONSTRUCTION - FACILITIES DIVISION,497495,"43,390.92"
Department For Transport,Highways Agency,25/02/2011,TA Cost AUC - Programme,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,497424,"41,698.00"
Department For Transport,Highways Agency,28/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AGGREGATE INDUSTRIES UK LTD,497687,"158,491.71"
Department For Transport,Highways Agency,28/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AIRWAVE SOLUTIONS LIMITED,497563,"90,000.00"
Department For Transport,Highways Agency,28/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,459887,"-37,010.00"
Department For Transport,Highways Agency,28/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,459887,"-1,171.50"
Department For Transport,Highways Agency,28/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,459887,-65.37
Department For Transport,Highways Agency,28/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497535,17.2
Department For Transport,Highways Agency,28/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497535,17.2
Department For Transport,Highways Agency,28/02/2011,TA Cost AUC - Programme,MAJOR PROJECTS,AMEY LG LIMITED,497535,39.28
Department For Transport,Highways Agency,28/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497535,"2,443.65"
Department For Transport,Highways Agency,28/02/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497535,"9,710.72"
Department For Transport,Highways Agency,28/02/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497599,"11,548.77"
Department For Transport,Highways Agency,28/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497599,"44,219.69"
Department For Transport,Highways Agency,28/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497599,"47,450.67"
Department For Transport,Highways Agency,28/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497536,"71,864.76"
Department For Transport,Highways Agency,28/02/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497599,"105,960.37"
Department For Transport,Highways Agency,28/02/2011,CM - Compensation / Variation Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497535,"230,558.53"
Department For Transport,Highways Agency,28/02/2011,CM - Third Party Damage,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497534,"245,614.76"
Department For Transport,Highways Agency,28/02/2011,CM - Third Party Damage,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,497535,"371,623.77"
Department For Transport,Highways Agency,28/02/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE INTEGRATED HIGHWAY SERVICES,497709,165.47
Department For Transport,Highways Agency,28/02/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE INTEGRATED HIGHWAY SERVICES,497709,"1,142.29"
Department For Transport,Highways Agency,28/02/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE INTEGRATED HIGHWAY SERVICES,497709,"10,613.91"
Department For Transport,Highways Agency,28/02/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE INTEGRATED HIGHWAY SERVICES,497709,"16,594.81"
