Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department For Transport,Highways Agency,16/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LIMITED,499276,"135,356.88"
Department For Transport,Highways Agency,16/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LIMITED,499277,"144,938.26"
Department For Transport,Highways Agency,16/03/2011,Waste disposal / refuse collection,FINANCE & BUSINESS SERVICES,AZCOM BUSINESS SOLUTIONS LTD,478255,"-46,398.40"
Department For Transport,Highways Agency,17/03/2011,CM - Compounds Maintenance,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"169,322.35"
Department For Transport,Highways Agency,17/03/2011,CM - Compounds Maintenance,NETWORK DELIVERY & DEVELOPMENT,SOUTH GLOUCESTERSHIRE COUNCIL,499378,"27,062.50"
Department For Transport,Highways Agency,17/03/2011,CM - Development Control,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499489,"21,157.43"
Department For Transport,Highways Agency,17/03/2011,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,499532,"288,551.43"
Department For Transport,Highways Agency,17/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,471819,"-190,201.99"
Department For Transport,Highways Agency,17/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,478024,"-128,093.43"
Department For Transport,Highways Agency,17/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,480189,"-95,108.90"
Department For Transport,Highways Agency,17/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,480192,"-120,007.68"
Department For Transport,Highways Agency,17/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499394,"2,472,122.10"
Department For Transport,Highways Agency,17/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"642,110.37"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499489,"57,012.44"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,499501,"27,020.88"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,499532,"1,581.25"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,480189,"-25,234.51"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,483939,"-26,704.27"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,486642,"-57,130.04"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,488752,"-39,937.38"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,494306,"-20,075.10"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,494308,"-18,842.80"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499393,"131,090.19"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"574,821.89"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JACOBS ENGINEERING UK LIMITED,499503,"28,273.38"
Department For Transport,Highways Agency,17/03/2011,Contractors Costs,TRAFFIC MANAGEMENT DIRECTORATE,INTERROUTE,499401,"7,990.88"
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AIRWAVE SOLUTIONS LIMITED,499434,"65,000.00"
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,499502,"44,746.71"
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CARILLION-WSP JOINT VENTURE,498939,-10.31
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,COLAS LTD,499403,"37,705.45"
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,483939,"-13,324.23"
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,486622,"-574,660.13"
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499389,"616,101.16"
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499391,"514,327.32"
Department For Transport,Highways Agency,17/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"901,617.40"
Department For Transport,Highways Agency,17/03/2011,ICT Consultancy Costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,496785,"-369,000.00"
Department For Transport,Highways Agency,17/03/2011,ICT Consultancy Costs,NETWORK SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,499477,"45,052.23"
Department For Transport,Highways Agency,17/03/2011,ICT Fixed service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,499505,"135,400.00"
Department For Transport,Highways Agency,17/03/2011,ICT Other costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,483786,"-750,926.46"
Department For Transport,Highways Agency,17/03/2011,ICT Other costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,487143,"-367,958.28"
Department For Transport,Highways Agency,17/03/2011,ICT Other costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,492688,"-734,381.57"
Department For Transport,Highways Agency,17/03/2011,ICT Other costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,494566,"-368,257.04"
Department For Transport,Highways Agency,17/03/2011,ICT Other costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,499507,"650,000.00"
Department For Transport,Highways Agency,17/03/2011,ICT Unit price service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,499500,"369,000.00"
Department For Transport,Highways Agency,17/03/2011,ICT Unit price service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,499506,"369,000.00"
Department For Transport,Highways Agency,17/03/2011,Legal Costs,FINANCE & BUSINESS SERVICES,TREASURY SOLICITOR,499479,"31,259.90"
Department For Transport,Highways Agency,17/03/2011,PFI Service Payments,TRAFFIC MANAGEMENT DIRECTORATE,TRAFFIC INFORMATION SERVICES LTD,499386,"2,108,311.62"
Department For Transport,Highways Agency,17/03/2011,PFI Service Payments,TRAFFIC MANAGEMENT DIRECTORATE,TRAFFIC INFORMATION SERVICES LTD,499411,"202,784.27"
Department For Transport,Highways Agency,17/03/2011,Prepaid expenses - programme,TRAFFIC MANAGEMENT DIRECTORATE,BRISTOL CITY COUNCIL,499475,"60,187.00"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,499540,"148,649.00"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,EON ENERGY/CENTRAL NETWORKS (CIS) DIVERT/CONNECT,499406,"31,010.39"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,499541,"97,713.28"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499489,"5,457.09"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,499501,"30,532.59"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,499532,"13,532.37"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BIRSE CIVILS LTD,499408,"35,010.26"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CAMBRIDGE CONSULTANTS LTD,499409,"59,288.24"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,459327,"-47,408.47"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,465676,"-38,345.80"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,499476,"95,555.44"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,499522,"417,156.28"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,499524,"605,421.03"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,483939,"-3,432.43"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499395,"202,154.79"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499396,"602,417.63"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"1,102,907.46"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,499538,"90,133.74"
Department For Transport,Highways Agency,17/03/2011,TA Cost AUC - Programme,NETWORK SERVICES DIRECTORATE,INTERROUTE,499401,626.12
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499383,"28,156.87"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,499165,"-2,468.42"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,486642,-208.63
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,488752,"-1,137.00"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,494306,"-7,332.76"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,494308,"-14,688.88"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499397,"259,324.09"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499398,"171,144.68"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499400,"52,253.05"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"340,015.33"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,483939,"-7,423.64"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,494306,"-97,984.00"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"622,652.47"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499402,"288,370.61"
Department For Transport,Highways Agency,17/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,LAL/MAY GURNEY LTD JOINT VENTURE,499536,"350,000.00"
Department For Transport,Highways Agency,17/03/2011,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"205,267.16"
Department For Transport,Highways Agency,17/03/2011,WM - Winter Maintenance,NETWORK DELIVERY & DEVELOPMENT,INTERROUTE,499401,"432,667.50"
Department For Transport,Highways Agency,17/03/2011,WM - Winter Maintenance,NETWORK DELIVERY & DEVELOPMENT,WYCHAVON DISTRICT COUNCIL,499486,"37,671.00"
Department For Transport,Highways Agency,18/03/2011,Contractors Costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,499598,"60,000.00"
Department For Transport,Highways Agency,18/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,499638,"62,351.51"
Department For Transport,Highways Agency,18/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,499639,"96,057.12"
Department For Transport,Highways Agency,18/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,499641,"50,350.01"
Department For Transport,Highways Agency,18/03/2011,Contractors Costs,TRAFFIC MANAGEMENT DIRECTORATE,COMPUTACENTER (UK) LTD,499583,"35,324.18"
Department For Transport,Highways Agency,18/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,499587,"611,687.86"
Department For Transport,Highways Agency,18/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,499588,"215,568.62"
Department For Transport,Highways Agency,18/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,499589,"330,925.50"
Department For Transport,Highways Agency,18/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,499634,"26,810.00"
Department For Transport,Highways Agency,18/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,499578,"29,670.94"
Department For Transport,Highways Agency,18/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,499581,"41,927.76"
Department For Transport,Highways Agency,18/03/2011,ICT Application Service costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,499597,"509,000.00"
Department For Transport,Highways Agency,18/03/2011,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,WILLIAM POLLARD & CO LTD T/A POLLARDS,499586,"29,447.70"
Department For Transport,Highways Agency,18/03/2011,Prepaid expenses - programme,TRAFFIC MANAGEMENT DIRECTORATE,BIRMINGHAM CITY COUNCIL,499637,"137,477.50"
Department For Transport,Highways Agency,18/03/2011,Prepaid expenses - programme,TRAFFIC MANAGEMENT DIRECTORATE,IRISH ESTATES (MANAGEMENT) LTD T/A ARAMARK PROPERTY,499132,"-22,076.29"
Department For Transport,Highways Agency,18/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,BT OPENREACH (CIS) DIVERT/CONNECT,461946,"-29,064.81"
Department For Transport,Highways Agency,18/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,BT OPENREACH (CIS) DIVERT/CONNECT,470048,"-206,942.48"
Department For Transport,Highways Agency,18/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,499562,"286,043.68"
Department For Transport,Highways Agency,18/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,NATIONAL GRID PLC (CIS) DIVERT/CONNECT,499646,"136,717.07"
Department For Transport,Highways Agency,18/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,PANNONE LLP,LOMD231202,"84,292.49"
Department For Transport,Highways Agency,18/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,PANNONE LLP,LOMD231211,"32,774.89"
Department For Transport,Highways Agency,18/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,TELENT TECHNOLOGY SERVICES LIMITED,499581,750
Department For Transport,Highways Agency,18/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,499581,"39,991.67"
Department For Transport,Highways Agency,18/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,RINGWAY INFRASTRUCTURE SERVICES LTD,499569,"103,515.69"
Department For Transport,Highways Agency,18/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,499581,"12,168.90"
Department For Transport,Highways Agency,18/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,499610,"177,977.86"
Department For Transport,Highways Agency,18/03/2011,TA Renewal of Structures - Capital,MAJOR PROJECTS,TELENT TECHNOLOGY SERVICES LIMITED,499581,"21,544.49"
Department For Transport,Highways Agency,18/03/2011,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,499577,"101,249.39"
Department For Transport,Highways Agency,18/03/2011,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,TELENT TECHNOLOGY SERVICES LIMITED,499580,"224,577.78"
Department For Transport,Highways Agency,21/03/2011,Call costs - Mobile phones,FINANCE & BUSINESS SERVICES,ATOS ORIGIN IT SERVICES UK LIMITED,499773,"100,000.00"
Department For Transport,Highways Agency,21/03/2011,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499672,"209,295.53"
Department For Transport,Highways Agency,21/03/2011,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499701,"972,410.46"
Department For Transport,Highways Agency,21/03/2011,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499702,"41,246.56"
Department For Transport,Highways Agency,21/03/2011,CM - Term Maintenance Preliminaries,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499694,"19,399.35"
Department For Transport,Highways Agency,21/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,494985,-407.7
Department For Transport,Highways Agency,21/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499673,"6,147.15"
Department For Transport,Highways Agency,21/03/2011,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499694,"44,000.24"
Department For Transport,Highways Agency,21/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,494985,"-10,221.46"
Department For Transport,Highways Agency,21/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499673,"135,653.25"
Department For Transport,Highways Agency,21/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499694,"303,347.93"
Department For Transport,Highways Agency,21/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,CAMBRIDGE CONSULTANTS LTD,499674,"49,865.00"
Department For Transport,Highways Agency,21/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,NETWORK RAIL,499787,"150,000.00"
Department For Transport,Highways Agency,21/03/2011,Contractors Costs,NETWORK SERVICES DIRECTORATE,JACOBS ENGINEERING UK LIMITED,499675,"142,098.91"
Department For Transport,Highways Agency,21/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,494985,"-26,772.48"
Department For Transport,Highways Agency,21/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499673,"17,142.24"
Department For Transport,Highways Agency,21/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,496643,-148.04
Department For Transport,Highways Agency,21/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499694,"446,025.91"
Department For Transport,Highways Agency,21/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,490165,"-109,292.28"
Department For Transport,Highways Agency,21/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,492560,"-26,608.68"
Department For Transport,Highways Agency,21/03/2011,ICT Other costs,BUSINESS SERVICES DIRECTORATE,ATOS ORIGIN IT SERVICES UK LIMITED,499507,"250,000.00"
Department For Transport,Highways Agency,21/03/2011,PFI Service Payments,TRAFFIC MANAGEMENT DIRECTORATE,TRAFFIC INFORMATION SERVICES LTD,499680,"63,251.00"
Department For Transport,Highways Agency,21/03/2011,PFI Service Payments,TRAFFIC MANAGEMENT DIRECTORATE,TRAFFIC INFORMATION SERVICES LTD,499692,"27,937.01"
Department For Transport,Highways Agency,21/03/2011,PFI Service Payments,TRAFFIC MANAGEMENT DIRECTORATE,TRAFFIC INFORMATION SERVICES LTD,499726,"60,673.73"
Department For Transport,Highways Agency,21/03/2011,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,MOLE VALLEY DISTRICT COUNCIL,499689,"116,733.76"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,ESSEX COUNTY COUNCIL,499679,"131,945.90"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,PB LTD,499764,"32,763.77"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,PB LTD,499783,"102,055.69"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,TURNER & TOWNSEND,499724,"90,760.04"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,MAJOR PROJECTS,URS CORPORATION LTD,499678,"175,439.13"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,494985,-533.87
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,499673,"25,510.63"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,496643,"-82,146.65"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499694,"394,959.12"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BAM NUTTALL LTD AND HANSON QUARRY PRODUCTS LTD JV,489847,"-74,526.54"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BAM NUTTALL LTD AND HANSON QUARRY PRODUCTS LTD JV,497190,"-41,175.51"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LIMITED,499687,"48,996.26"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LIMITED,499741,"309,412.59"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,499722,"238,031.41"
Department For Transport,Highways Agency,21/03/2011,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,UK POWER NETWORKS (OPERATIONS) LTD (CIS) DIVERT/CONNECT,499732,"40,429.12"
Department For Transport,Highways Agency,21/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499694,"136,386.22"
Department For Transport,Highways Agency,21/03/2011,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,499717,"188,951.18"
Department For Transport,Highways Agency,21/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,496643,-0.22
Department For Transport,Highways Agency,21/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499694,"142,361.63"
Department For Transport,Highways Agency,21/03/2011,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,499717,"100,000.00"
Department For Transport,Highways Agency,21/03/2011,Waste disposal / refuse collection,FINANCE & BUSINESS SERVICES,AZCOM BUSINESS SOLUTIONS LTD,499777,"46,398.40"
Department For Transport,Highways Agency,21/03/2011,WM - Winter Maintenance,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,499694,"17,291.04"
Department For Transport,Highways Agency,22/03/2011,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500009,"1,142,319.96"
Department For Transport,Highways Agency,22/03/2011,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES,500022,"2,311,292.46"
Department For Transport,Highways Agency,22/03/2011,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,CAMBRIDGE CONSULTANTS LTD,500018,"31,017.00"
Department For Transport,Highways Agency,22/03/2011,Contractors Costs,TRAFFIC MANAGEMENT DIRECTORATE,A-ONE + INTEGRATED HIGHWAY SERVICES,500022,"5,861.55"
Department For Transport,Highways Agency,22/03/2011,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CAMBRIDGE CONSULTANTS LTD,490362,"-49,865.00"
Department For Transport,Highways Agency,22/03/2011,Contractor Costs,TRAFFIC MANAGEMENT DIRECTORATE,A-ONE + INTEGRATED HIGHWAY SERVICES,500009,"9,511.00"
Department For Transport,Highways Agency,22/03/2011,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,EXETER CITY COUNCIL,499966,"62,274.67"
Department For Transport,Highways Agency,22/03/2011,Prepaid expenses - programme,TRAFFIC MANAGEMENT DIRECTORATE,HERTSMERE BOROUGH COUNCIL,499988,"99,469.67"
