"#","Page","Popularity","Impressions","Sessions","Re-Visits"
"8326","motoring > en > learnerandnewdrivers%20/ridingmotorcyclesandmopeds/ dg_4022666 enhanced rider scheme for motorcyclists : directgov - motoring",0.00,1,1,0.01
"8327","other directgov subsite > en > other  dg_177961 get swine flu updates on your mobile : directgov - swine flu",0.00,1,1,0.01
"8328","other directgov subsite > en > other  dg_177995 swine flu information leaflet - alternative versions : directgov - swine flu",0.00,1,1,0.01
"8329","other directgov subsite > en > other  dg_178001 delivery of swine flu information leaflet begins : directgov - news",0.00,1,1,0.01
"8330","motoring > en > findyournearest/ dg_132 no title",0.00,1,1,0.01
"8331","other directgov subsite > en > other  dg_178076 swine flu - national curricular tests and exams : directgov - news",0.00,1,1,0.01
"8332","motoring > en > drivingforaliving/ dg_186133 driver qualification card and driver cpc : directgov - m",0.00,1,1,0.01
"8333","government citizens and rights > en > other  dg_176568 types of honours and award : directgov - government, citizens and rights: safersurf active [cw9dgpkj]",0.00,1,1,0.01
"8334","government citizens and rights > en > other  dg_176603 loss of transport or business location in an emergency : directgov - government, citizens and rights",0.00,1,1,0.01
"8335","other directgov subsite > en > other  dg_178315 swine flu - half term travel advice : directgov - news",0.00,1,1,0.01
"8336","motoring > en > driverlicensing/whatcanyoudriveandyourobligations/  what you can drive and your obligations : directgov - motoring: safersurf active [hcmeykjs]",0.00,1,1,0.01
"8337","motoring > en > driverlicensing/whatcanyoudriveandyourobligations/ dg_4022619 driving passenger",0.00,1,1,0.01
"8338","motoring > en > driverlicensing/whatcanyoudriveandyourobligations/ dg_4022547 the vehicles you can drive or ride and minimum ages : directgov - motor",0.00,1,1,0.01
"8339","other directgov subsite > en > other  dg_186301 check, change or cancel your dsa driving theory test online : directgov - motoring",0.00,1,1,0.01
"8340","government citizens and rights > en > other  dg_177090 community risk registers - scotland : directgov - government, citizens and rights",0.00,1,1,0.01
"8341","motoring > en > driverlicensing/whatcanyoudriveandyourobligations/ dg_4022547 the vehicles you ca",0.00,1,1,0.01
"8342","motoring > en > driverlicensing/needaneworupdatedlicence/  no title",0.00,1,1,0.01
"8343","caring for someone > en > moneymatters/carersallowance/dg_10012525?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/calculate.asp?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/ dg_10012525 carer's allowance - eligibility : directgov - caring for someone",0.00,1,1,0.01
"8344","motoring > en > driverlicensing/needaneworupdatedlicence/  need a new or updated licence : directgov - motoring: safersurf active [hcmeykjs]",0.00,1,1,0.01
"8345","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_10028503 premium checking service : directgov - motoring: safersurf active [hcmeykjs]",0.00,1,1,0.01
"8346","caring for someone > en > moneymatters/carersallowance/dg_10012525?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/calculate.asp?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/calculate.asp?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/ dg_10012525 carer's allowance - eligibility : directgov - caring for someone",0.00,1,1,0.01
"8347","other directgov subsite > en > other   site information : directgov",0.00,1,1,0.01
"8348","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022091 identity documents and photograph criteria",0.00,1,1,0.01
"8349","other directgov subsite > en > other   tenancy deposit : directgov",0.00,1,1,0.01
"8350","other directgov subsite > en > searchresults  (cached: 11:53. 10 nov)search results : directgov - search results",0.00,1,1,0.01
"8351","other directgov subsite > en > searchresults dg_068315 search results : directgov - search results",0.00,1,1,0.01
"8352","other directgov subsite > en > searchresults dg_069239 search results : directgov - search results",0.00,1,1,0.01
"8353","other directgov subsite > en > searchresults dg_078179 search results : directgov - search results",0.00,1,1,0.01
"8354","other directgov subsite > en > searchresults dg_171624 search results : directgov - search results",0.00,1,1,0.01
"8355","other directgov subsite > en > searchresults dg_171775 search results : directgov - search results",0.00,1,1,0.01
"8356","other directgov subsite > en > searchresults dg_174859 search results : directgov - search results",0.00,1,1,0.01
"8357","other directgov subsite > en > searchresults dg_183331 search results : directgov - search results",0.00,1,1,0.01
"8358","other directgov subsite > en > searchresults dg_186585 search results : directgov - search results",0.00,1,1,0.01
"8359","other directgov subsite > en > searchresults dg_187274 search results : directgov - search results",0.00,1,1,0.01
"8360","other directgov subsite > en > searchresults dg_189916 search results : directgov - search results",0.00,1,1,0.01
"8361","other directgov subsite > en > searchresults dg_189966 search results : directgov - search results",0.00,1,1,0.01
"8362","other directgov subsite > en > searchresults dg_4017919 search results : directgov - search results",0.00,1,1,0.01
"8363","other directgov subsite > en > searchresults dg_10018661 search results : directgov - search results",0.00,1,1,0.01
"8364","other directgov subsite > en > searchresults dg_10018692 search results : directgov - search results",0.00,1,1,0.01
"8365","other directgov subsite > en > searchresults dg_10034876 search results : directgov - search results",0.00,1,1,0.01
"8366","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022088 no title",0.00,1,1,0.01
"8367","other directgov subsite > other  benefits and financial support : directgov - money, tax and benefits",0.00,1,1,0.01
"8368","other directgov subsite > other  book your dsa driving theory test online : directgov - motoring",0.00,1,1,0.01
"8369","other directgov subsite > other dg_178842 pandemic flu",0.00,1,1,0.01
"8370","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022085 replacing your driving li",0.00,1,1,0.01
"8371","other directgov subsite > other dg_186301 check, change or cancel your theory driving test online : directgov - motoring",0.00,1,1,0.01
"8372","caring for someone > en > moneymatters/carersallowance/dg_10012525?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/calculate.asp?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/calculate.asp?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/calculate.asp?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/ dg_10012525 carer's allowance - eligibility : directgov - caring for someone",0.00,1,1,0.01
"8373","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022085 no title",0.00,1,1,0.01
"8374","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022084 exchanging your paper driving licence for a photocard : directgov - moto",0.00,1,1,0.01
"8375","other directgov subsite > other dg_186303 check, change or cancel your dsa practical driving test online : directgov -",0.00,1,1,0.01
"8376","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022084 exchanging your pape",0.00,1,1,0.01
"8377","other directgov subsite > other dg_186303 xxx : check, change or cancel your dsa practical driving test online : directgov - motoring",0.00,1,1,0.01
"8378","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_078070 no title",0.00,1,1,0.01
"8379","motoring > en > driverlicensing/needaneworupdatedlicence/dg_078070?cf03388ef2=2759eebc!mta4mda2mja1omnvcnbyywrpdxnzc286qvldua67oyzp9rggahrl/ dg_078070 renewing the photo on your driving licence : directgov - motoring",0.00,1,1,0.01
"8380","other directgov subsite > other dg_187178 http://www.direct.gov.uk - car theory test one: directgov - practical theory test",0.00,1,1,0.01
"8381","other directgov subsite > other dg_187178 no title",0.00,1,1,0.01
"8382","other directgov subsite > other dg_10010962 general register office for northern ireland : directgov - directories",0.00,1,1,0.01
"8383","government citizens and rights > en > other  dg_184975 peter cooke on public appointments : directgov - government, citizens and rights",0.00,1,1,0.01
"8384","other directgov subsite > other  money news : directgov - newsroom",0.00,1,1,0.01
"8385","other directgov subsite error page . http://www.direct.gov.uk - error messages : directgov",0.00,1,1,0.01
"8386","parents > cy > adoptionfosteringandchildrenincare/adoptionandfostering/ dg_10021340 mabwysiadu llysblentyn : directgov - rhieni",0.00,1,1,0.01
"8387","government citizens and rights > en > other  dg_4009464 bbc charter review : directgov - government, citizens and rights",0.00,1,1,0.01
"8388","parents > cy > childcare/ dg_071215 nanis - cymwysterau a sgiliau : directgov - rhieni",0.00,1,1,0.01
"8389","parents > cy > childcare/ dg_180969 safonau ac ansawdd gofal plant : directgov - rhieni",0.00,1,1,0.01
"8390","parents > cy > childcare/ dg_4016029 budd-daliadau gofal plant, credydau treth a chymorth arall ar gyfer rhieni sy'n gweithio : directgov - rhieni",0.00,1,1,0.01
"8391","government citizens and rights > en > other  dg_4009466 getting the balance right : directgov - government, citizens and rights",0.00,1,1,0.01
"8392","young people > cy > crimeandjustice/ dg_100176 troseddu a chyfiawnder : directgov - pobl ifanc",0.00,1,1,0.01
"8393","parents > cy > familyleisureandrecreation/ dg_172710 cael eich plentyn i gymryd rhan mewn chwaraeon : directgov - rhieni",0.00,1,1,0.01
"8394","parents > cy > familyleisureandrecreation/ dg_172801 cael eich plentyn i gymryd rhan mewn cerddoriaeth ac yn y celfyddydau : directgov - rhieni",0.00,1,1,0.01
"8395","parents > cy > familyleisureandrecreation/ dg_10013564 pethau i'w gwneud yn ystod gwyliau'r ysgol : directgov - rhieni",0.00,1,1,0.01
"8396","parents > cy > havingababy/afterthebirth/ dg_4002917 bwyta'n iach ar gyfer bwydo ar y fron : directgov - rhieni",0.00,1,1,0.01
"8397","parents > cy > havingababy/afterthebirth/ dg_10037284 iselder ar ol geni : directgov - rhieni",0.00,1,1,0.01
"8398","parents > cy > havingababy/  cael babi : directgov - rhieni",0.00,1,1,0.01
"8399","parents > cy > havingababy/healthinpregnancy/ dg_171342 alcohol ac ysmygu yn ystod beichiogrwydd : directgov - rhieni",0.00,1,1,0.01
"8400","parents > cy > havingababy/healthinpregnancy/ dg_171357 cymhlethdodau yn ystod beichiogrwydd : directgov - rhieni",0.00,1,1,0.01
"8401","parents > cy > havingababy/healthinpregnancy/ dg_171519 iechyd yn ystod beichiogrwydd : directgov - rhieni",0.00,1,1,0.01
"8402","parents > cy > havingababy/healthinpregnancy/ dg_4018288 archwiliadau rheolaidd yn ystod beichiogrwydd : directgov - rhieni",0.00,1,1,0.01
"8403","parents > cy > havingababy/healthinpregnancy/  yn ystod beichiogrwydd : directgov - rhieni",0.00,1,1,0.01
"8404","parents > cy > moneyandworkentitlements/workandfamilies/paternityrightsintheworkplace/ dg_190788 tâl ac absenoldeb tadolaeth ychwanegol : directgov - rhieni",0.00,1,1,0.01
"8405","parents > cy > moneyandworkentitlements/workandfamilies/pregnancyandmaternityrights/ dg_065153 absenoldeb mamolaeth: dychwelyd i'r gwaith : directgov - rhieni",0.00,1,1,0.01
"8406","parents > cy > moneyandworkentitlements/workandfamilies/pregnancyandmaternityrights/ dg_10026556 gweithio a chithau'n feichiog : directgov - rhieni",0.00,1,1,0.01
"8407","parents > cy > parentsrights/ dg_4002954 hawliau a chyfrifoldebau rhiant : directgov - rhieni",0.00,1,1,0.01
"8408","young people > cy > crimeandjustice/keepingsafe/ dg_10027714 diogelu eich eiddo : directgov - pobl ifanc",0.00,1,1,0.01
"8409","parents > cy > preschooldevelopmentandlearning/helpingyourchildtolearn/ dg_10017051 datblygu sgiliau darllen ac ysgrifennu i blant dan bump : directgov - rhieni",0.00,1,1,0.01
"8410","parents > cy > preschooldevelopmentandlearning/nurseriesplaygroupsreceptionclasses/ dg_173054 canolfannau plant cychwyn cadarn : directgov - rhieni",0.00,1,1,0.01
"8411","parents > cy > preschooldevelopmentandlearning/specialeducationalneeds/ dg_4000691 cael cymorth ar gyfer anghenion addysgol arbennig plant dan bump oed : directgov - rhieni",0.00,1,1,0.01
"8412","government citizens and rights > en > other  dg_10015894 nacionalidad y ciudadanía: directgov - gobierno, los ciudadanos y los derechos",0.00,1,1,0.01
"8413","parents > cy > schoolslearninganddevelopment/examstestsandthecurriculum/  arholiadau, profion ar cwricwlwm : directgov - rhieni",0.00,1,1,0.01
"8414","government citizens and rights > en > other  dg_10029657 no title",0.00,1,1,0.01
"8415","government citizens and rights > en > other  dg_10029799 w",0.00,1,1,0.01
"8416","government citizens and rights > en > other   honours, awards and medals : directgov",0.00,1,1,0.01
"8417","government citizens and rights > en > other   no title",0.00,1,1,0.01
"8418","government citizens and rights > en > other   support after a major incident : direct",0.00,1,1,0.01
"8419","motoring > en > driverlicensing/medicalrulesfordrivers/ dg_4022417 what happens after you",0.00,1,1,0.01
"8420","parents > cy > schoolslearninganddevelopment/examstestsandthecurriculum/ dg_10037625 cefnogi plant dawnus a thalentog : directgov - rhieni",0.00,1,1,0.01
"8421","motoring > en > driverlicensing/medicalrulesfordrivers/ dg_4022064 wearing a seat belt and exemptions : directgov - motoring",0.00,1,1,0.01
"8422","motoring > en > driverlicensing/endorsementsanddisqualifications/ dg_10022425 no title",0.00,1,1,0.01
"8423","motoring > en > driverlicensing/endorsementsanddisqualifications/ dg_4022550 no title",0.00,1,1,0.01
"8424","money tax and benefits > cy > taxcreditsandchildbenefit/childbenefits/paymentsandentitlements/benefitsforparents/ dg_173609 sut y gall hawlio budd-dal plant ddiogelu'ch pensiwn gan y wladwriaeth : directgov - arian, treth a budd-daliadau",0.00,1,1,0.01
"8425","motoring > en > driverlicensing/endorsementsanddisqualifications/ dg_4022491 no title",0.00,1,1,0.01
"8426","parents > cy > schoolslearninganddevelopment/helpingyourchildtolearn/ dg_10013559 cymorth i astudio: clybiau brecwast a gwaith cartref : directgov - rhieni",0.00,1,1,0.01
"8427","parents > cy > schoolslearninganddevelopment/schoollife/ dg_179508 gwaith cartref: beth mae angen i rieni ei wybod : directgov - rhieni",0.00,1,1,0.01
"8428","parents > cy > schoolslearninganddevelopment/schoollife/ dg_4016089 maeth a chinio ysgol : directgov - rhieni",0.00,1,1,0.01
"8429","parents > cy > schoolslearninganddevelopment/specialeducationalneeds/  anghenion addysgol arbennig : directgov - rhieni",0.00,1,1,0.01
"8430","directories > en >  dg_10011320 driving standards agency (dsa) - theo",0.00,1,1,0.01
"8431","parents > cy > schoolslearninganddevelopment/specialeducationalneeds/ dg_4000870 anghenion addysgol arbennig: datganiadau : directgov - rhieni",0.00,1,1,0.01
"8432","directories > en >  dg_10011318 driving standards agency (dsa) - customer enquiry unit : directgov - directories: safersurf active [hcmeykjs]",0.00,1,1,0.01
"8433","caring for someone > en > healthandtakingabreak/ dg_10026504 carers and learning : direc",0.00,1,1,0.01
"8434","parents > cy > schoolslearninganddevelopment/yourchildswelfareatschool/ dg_066966 mynychu'r ysgol ac absenoldeb: y gyfraith : directgov - rhieni",0.00,1,1,0.01
"8435","motoring > en > driverlicensing/endorsementsanddisqualifications/ dg_4022490 no title",0.00,1,1,0.01
"8436","parents > cy > schoolslearninganddevelopment/yourchildswelfareatschool/ dg_100184 lles eich plentyn yn yr ysgol : directgov - rhieni",0.00,1,1,0.01
"8437","young people > cy > crimeandjustice/typesofcrime/ dg_10027669 troseddau casineb crefyddol : directgov - pobl ifanc",0.00,1,1,0.01
"8438","young people > cy > crimeandjustice/typesofcrime/ dg_10027673 ymddygiad gwrthgymdeithasol : directgov - pobl ifanc",0.00,1,1,0.01
"8439","directories > en >  dg_10011304 vosa test station -  nottingham : directgov - directories",0.00,1,1,0.01
"8440","directories > en >  dg_10011303 vosa test station -  norwich : directgov - directories",0.00,1,1,0.01
"8441","parents > cy > yourchildshealthandsafety/internetsafety/ dg_071156 seiberfwlio: cadw eich plentyn yn ddiogel ar gyfrifiaduron a ffonau symudol : directgov - rhieni",0.00,1,1,0.01
"8442","motoring > en > driverlicensing/endorsementsanddisqualifications/ dg_069887 drivi",0.00,1,1,0.01
"8443","parents > cy > yourchildshealthandsafety/internetsafety/  diogelwch ar y rhyngrwyd : directgov - rhieni",0.00,1,1,0.01
"8444","motoring > en > driverlicensing/drivingingbonaforeignlicence/ dg_4022562 no title",0.00,1,1,0.01
"8445","parents > cy > yourchildshealthandsafety/worriedabout/ dg_10015788 bwlio: cael cymorth : directgov - rhieni",0.00,1,1,0.01
"8446","parents > cy > yourchildshealthandsafety/worriedabout/ dg_10026210 alcohol, eich plentyn ar gyfraith : directgov - rhieni",0.00,1,1,0.01
"8447","parents > cy > yourchildshealthandsafety/worriedabout/ dg_10026450 cyffuriau a'ch plentyn : directgov - rhieni",0.00,1,1,0.01
"8448","parents > cy > yourchildshealthandsafety/youngpeopleandalcohol/ dg_183763 annog yfed yn synhwyrol : directgov - rhieni",0.00,1,1,0.01
"8449","parents > cy > yourchildshealthandsafety/youngpeopleandalcohol/ dg_183848 alcohol a phobl ifanc - beth yw'r peryglon? : directgov - rhieni",0.00,1,1,0.01
"8450","parents > cy > yourchildshealthandsafety/yourchildshealth/ dg_066077 plant a phwysau iach : directgov - rhieni",0.00,1,1,0.01
"8451","health and well-being > en >  dg_79 health and well-being : directgov",0.00,1,1,0.01
"8452","motoring > en > driverlicensing/ dg_068315 no title",0.00,1,1,0.01
"8453","parents > cy > yourchildshealthandsafety/yourchildssafetyinthehome/  diogelwch eich plentyn yn y cartref : directgov - rhieni",0.00,1,1,0.01
"8454","help > cy > accessibility/ dg_10016905 porwyr, cyfrifiaduron a directgov - hygyrchedd : directgov - helpu",0.00,1,1,0.01
"8455","young people > cy > crimeandjustice/typesofcrime/ dg_10027698 trais ac ymosodiad rhywiol : directgov - pobl ifanc",0.00,1,1,0.01
"8456","parents > en > adoptionfosteringandchildrenincare/adoptionandfostering/ dg_10021345 no title",0.00,1,1,0.01
"8457","help > cy > contactus/contactusform/  ffurflen cysylltu â ni : directgov - helpu",0.00,1,1,0.01
"8458","caring for someone > en >  dg_87 caring for someone : directgov",0.00,1,1,0.01
"8459","help > cy > contactus/feedbackform/  ffurflen sylwadau : directgov - helpu",0.00,1,1,0.01
"8460","parents > en > childcare/  childcare : dir",0.00,1,1,0.01
"8461","young people > cy > crimeandjustice/typesofcrime/ dg_10027721 troseddau casineb hiliol : directgov - pobl ifanc",0.00,1,1,0.01
"8462","parents > en > childcare/ dg_4016029 benefits and help for parents going back to work : directgov - parents",0.00,1,1,0.01
"8463","help > cy >  dg_020463 y cynllun bysellau hwylus : directgov - helpu",0.00,1,1,0.01
"8464","motoring > en > buyingandsellingavehicle/registeringavehicle/ dg_4022311 how to not",0.00,1,1,0.01
"8465","money tax and benefits > cy > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018928 lwfans tai lleol : directgov - arian, treth a budd-daliadau",0.00,1,1,0.01
"8466","help > cy > yourquestions/ dg_10015151 cerdyn meddygol y gig : directgov - helpu",0.00,1,1,0.01
"8467","directories > en > dg_10011247/ dg_10011247 dvla local office - preston : directgov - directories",0.00,1,1,0.01
"8468","motoring > en > buyingandsellingavehicle/registeringavehicle/ dg_4022311 how to n",0.00,1,1,0.01
"8469","caring for someone > en > caringforadisabledchild/ dg_10027594 no title",0.00,1,1,0.01
"8470","young people > cy >  dg_10016105 hamdden : directgov - pobl ifanc",0.00,1,1,0.01
"8471","parents > en > index.htm?menu=plants&main=plants/  parents : directgov",0.00,1,1,0.01
"8472","motoring > en > buyingandsellingavehicle/importingandexportingavehicle/dg_296?bcsi-ac-9c4ab1c64a48afb5=1b988b4f00000003vvzwcfnzwiclbk+4zr5bfpggnjj/ dg_296 importing and exporting a vehicle : directgov - motoring",0.00,1,1,0.01
"8473","help > en >  dg_1735 the cost of contacting 08 and 03 telephone numbers : directgov - help",0.00,1,1,0.01
"8474","young people > cy >  dg_10016203 gwleidyddiaeth a'r llywodraeth : directgov - pobl ifanc",0.00,1,1,0.01
"8475","parents > en > index.htm?menu=water&main=water/  parents : directgov",0.00,1,1,0.01
"8476","parents > en > moneyandworkentitlements/parentalleaveandpay/ dg_170401 entitlements during statutory adoption leave : directgov - parents",0.00,1,1,0.01
"8477","parents > en > moneyandworkentitlements/parentalleaveandpay/ dg_10039631 taking your maternity leave : directgov - parents",0.00,1,1,0.01
"8478","help > en >  dg_020455 terms and conditions : directgov - help",0.00,1,1,0.01
"8479","motoring > en > buyingandsellingavehicle/adviceonbuyingandsellingavehicle/ dg_4022406 legal obligations of drivers and keepers of vehicles : directgov - motoring: safersurf active [hcmeykjs]",0.00,1,1,0.01
"8480","directories > en >  dg_10011227 no title",0.00,1,1,0.01
"8481","motoring > en > buyingandsellingavehicle/adviceonbuyingandsellingavehicle/ dg_4022107 windows internet explorer",0.00,1,1,0.01
"8482","parents > en > moneyandworkentitlements/workandfamilies/pregnancyandmaternityrights/ dg_065153 statutory m",0.00,1,1,0.01
"8483","parents > en > moneyandworkentitlements/workandfamilies/pregnancyandmaternityrights/ dg_175088 entitleme",0.00,1,1,0.01
"8484","young people > cy > healthandrelationships/bullying/ dg_070501 seiber-fwlio - cyflwyniad : directgov - pobl ifanc",0.00,1,1,0.01
"8485","motoring > en > buyingandsellingavehicle/%20importingandexportingavehicle/ dg_10014623 temporarily importing a vehicle : directgov - motoring",0.00,1,1,0.01
"8486","directories > en >  dg_10011222 dvla local office - bournemouth : directgov -",0.00,1,1,0.01
"8487","motoring > en > %20buyingandsellingavehicle/importingandexportingavehicle/  importing and exporting a vehicle : directgov - motoring",0.00,1,1,0.01
"8488","parents > en > moneyandworkentitlements/yourmoney/ dg_4003043 no title",0.00,1,1,0.01
"8489","parents > en > moneyandworkentitlements/yourmoney/  no title",0.00,1,1,0.01
"8490","parents > en >   no title",0.00,1,1,0.01
"8491","young people > cy > healthandrelationships/bullying/ dg_070502 delio a seiber-fwlio : directgov - pobl ifanc",0.00,1,1,0.01
"8492","parents > en > parentsrights/ dg_4003313 childre",0.00,1,1,0.01
"8493","help > en > dg_173539?backtopage=http://pensions.direct.gov.uk/en/information-points/ dg_173539 the cost of contacting 08 and 03 telephone numbers : directgov - help",0.00,1,1,0.01
"8494","directories > en >  dg_10011204 office of the first minister and deputy first minister (northern ireland) : directgov - directories",0.00,1,1,0.01
"8495","parents > en > preschooldevelopmentandlearning/%20nurseriesplaygroupsreceptionclasses/ dg_171007 early years foundation stage (birth to five years old) : directgov - parents",0.00,1,1,0.01
"8496","motoring > cy > vehiclecrime/ dg_10020050 what to do if your vehicle has been cloned : directgov - moduro",0.00,1,1,0.01
"8497","parents > en > schoolslearninganddevelopment/choosingaschool/ dg_4016364 no title",0.00,1,1,0.01
"8498","help > en >  dg_186719 thank you : directgov - help",0.00,1,1,0.01
"8499","help > en > dg_10014666?backtopage=http://pensions.direct.gov.uk/en/pension-credit-calculator/ dg_10014666 help with pdf files : directgov - help",0.00,1,1,0.01
"8500","young people > cy > healthandrelationships/bullying/ dg_182400 bwlio ar ffonau symudol : directgov - pobl ifanc",0.00,1,1,0.01
"8501","motoring > cy > personalisedregandnumberplates/ dg_172124 prynu rhif cofrestru personol gan ddeliwr neu mewn gwerthiant preifat : directgov - moduro",0.00,1,1,0.01
"8502","money tax and benefits > cy > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018946 grantiau effeithlonrwydd ynni : directgov - arian, treth a budd-daliadau",0.00,1,1,0.01
"8503","parents > en > schoolslearninganddevelopment/choosingaschool/ dg_10023401 a guide to choosing a school : direct",0.00,1,1,0.01
"8504","parents > en > schoolslearninganddevelopment/choosingaschool/ dg_10038421 apply for a school place : directg",0.00,1,1,0.01
"8505","directories > en >  dg_10011186 enable holidays : directgov - directories",0.00,1,1,0.01
"8506","motoring > cy > owningavehicle/taxationclasses/ dg_10014695 sut i gyfnewid disg dreth : directgov - moduro",0.00,1,1,0.01
"8507","parents > en > schoolslearninganddevelopment/choosingaschool/  no title",0.00,1,1,0.01
"8508","motoring > cy > owningavehicle/taxationclasses/ dg_4022042 exemptions from paying vehicle tax : directgov - moduro",0.00,1,1,0.01
"8509","help > en > other  dg_173539 the cost of contacting 08 and 03 telephone numbers : directgov - help l1",0.00,1,1,0.01
"8510","parents > en > schoolslearninganddevelopment/examstestsandthecurriculum/ dg_10013041 national curriculum teacher assessments and key stage tests : directgov",0.00,1,1,0.01
"8511","motoring > cy > owningavehicle/motorinsurance/ dg_067624 y system cerdyn gwyrdd : directgov - moduro",0.00,1,1,0.01
"8512","help > en > sitemap/ > c  site index : directgov - site index",0.00,1,1,0.01
"8513","motoring > cy > owningavehicle/howtotaxyourvehicle/ dg_4022121 taxing your vehicle in the disabled tax class : directgov - moduro",0.00,1,1,0.01
"8514","parents > en > schoolslearninganddevelopment/schoollife/ dg_179512 costs for school activities  : directgov - parents",0.00,1,1,0.01
"8515","parents > en > schoolslearninganddevelopment/specialeducationalneeds/ dg_4000835 special educational needs",0.00,1,1,0.01
"8516","parents > en > schoolslearninganddevelopment/specialeducationalneeds/ dg_4000870 no title",0.00,1,1,0.01
"8517","parents > en > schoolslearninganddevelopment/yourchildswelfareatschool/ dg_10030997 radical overhaul for the system of vetting those working in schools : directgov - parents",0.00,1,1,0.01
"8518","parents > en > yourchildshealthandsafety/%20internetsafety/ dg_071138 keeping children safe online : directgov - parents",0.00,1,1,0.01
"8519","motoring > cy > owningavehicle/changestoyourregistrationcertificate/ dg_4022057 beth i'w wneud os yw'ch cerbyd wedi'i sgrapio neu'n anadferadwy : directgov - moduro",0.00,1,1,0.01
"8520","motoring > cy > owningavehicle/changestoyourregistrationcertificate/ dg_4022056 beth i'w wneud os caiff eich cerbyd ei ddwyn : directgov - moduro",0.00,1,1,0.01
"8521","parents > en > yourchildshealthandsafety/internetsafety/  no title",0.00,1,1,0.01
"8522","motoring > cy > owningavehicle/changestoyourregistrationcertificate/ dg_4022055 newid eich enw a'ch cyfeiriad ar eich tystysgrif gofrestru : directgov - moduro",0.00,1,1,0.01
"8523","motoring > cy > owningavehicle/adviceonkeepingyourvehicle/ dg_4022067 sut mae cael gwybodaeth o gofnodion dvla : directgov - moduro",0.00,1,1,0.01
"8524","young people > cy > healthandrelationships/concernedabout/ dg_068631 iechyd rhyw ac atal beichiogrwydd : directgov - pobl ifanc",0.00,1,1,0.01
"8525","motoring > cy > owningavehicle/adviceonkeepingyourvehicle/ dg_185181 galw cerbydau'n ôl a hysbysiadau diogelwch : directgov - moduro",0.00,1,1,0.01
"8526","motoring > cy > motoringtransactions/beforeyouapplyd/ dg_172840 beth y mae angen i chi ei wybod : directgov - moduro",0.00,1,1,0.01
"8527","directories > en >  dg_10011149 orpheus : directgov - directories",0.00,1,1,0.01
"8528","directories > en >  dg_10011148 mind the gap : directgov - directories",0.00,1,1,0.01
"8529","motoring > cy > motoringtransactions/beforeyouapplyd/ dg_067507 gwneud cais ar-lein i gael trwydded yrru newydd yn lle un arall : directgov - moduro",0.00,1,1,0.01
"8530","parents > en > yourchildshealthandsafety/worriedabout/ dg_174 common parental concerns : directgov - parents",0.00,1,1,0.01
"8531","parents > en > yourchildshealthandsafety/yourchildshealth/ dg_066077 no title",0.00,1,1,0.01
"8532","motoring > cy > motoringtransactions/beforeyouapplyd/ dg_066956 gwneud cais ar-lein i adnewyddu eich trwydded yrru os ydych yn 70 oed neu'n hyn : directgov - moduro",0.00,1,1,0.01
"8533","pensions and retirement planning > cy > beginnersguidetopensions/ dg_183723 gweithio a hawlio pensiynau - eich opsiynau : directgov - pensiynau a chynllunio ar gyfer ymddeol",0.00,1,1,0.01
"8534","motoring > cy > motoringtransactions/beforeyouapplyc/ dg_10035602 rheolau preswylio : directgov - moduro",0.00,1,1,0.01
"8535","pensions and retirement planning > cy > beginnersguidetopensions/ dg_10014582 dewis a defnyddio cynghorydd pensiynau : directgov - pensiynau a chynllunio ar gyfer ymddeol",0.00,1,1,0.01
"8536","pensions and retirement planning > cy > beginnersguidetopensions/ dg_10026927 gostyngiad treth ar gyfraniadau pensiwn : directgov - pensiynau a chynllunio ar gyfer ymddeol",0.00,1,1,0.01
"8537","britons living abroad > cy > educationandjobs/ dg_4014676 working abroad : directgov - prydeinwyr syn byw dramor",0.00,1,1,0.01
"8538","help > en > yourquestions/  more questions : directgov - help",0.00,1,1,0.01
"8539","help > en > yourquestions/yourquestionssix/  more questions answered : directgov - help",0.00,1,1,0.01
"8540","pensions and retirement planning > cy > beginnersguidetopensions/ dg_10027106 rheolau pensiwn o fis ebrill 2006 ymlaen : directgov - pensiynau a chynllunio ar gyfer ymddeol",0.00,1,1,0.01
"8541","home and community > cy > buyingandsellingyourhome/homebuyingschemes/ dg_170934 cymorth prynu i rentu : directgov - y cartref ar gymuned",0.00,1,1,0.01
