Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Book through
"Webb, Mr. Stephen",17/03/2016,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,36.00,,Redfern
"Calam, Ms. Mary-Jane",18/03/2016,,,from Public Health England to 2MS,Taxis,,,,10.00,,
"Eastaugh, Mr. Tony",18/03/2016,,Sunningdale,DETACHED DUTY,Rail,Standard,,,14.50,,Redfern
"Hepple, Mr. Tyson Julian",18/03/2016,,Liverpool Lime Street,INTERNAL MEETING,Rail,Standard,,,41.00,,Redfern
"Ind, Mr. Hugh Timothy",19/03/2016,,,Malaria Tablets - required for 2nd trip to Nigeria.,Miscellaneous,,,,32.00,,
"Cunningham, Mr. Michael Bernard",21/03/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Cunningham, Mr. Michael Bernard",21/03/2016,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- King Size,,120.60,,Redfern
"Cunningham, Mr. Michael Bernard",21/03/2016,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Martin, Mr. Ian Richard",21/03/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Otter, Mr. Stephen Anthony",21/03/2016,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,-38.50,,Redfern
"Otter, Mr. Stephen Anthony",21/03/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,109.50,,Redfern
"Robbins, Mr. Oliver",21/03/2016,,Athens,EXTERNAL MEETING,Web Transaction,Economy,,,171.57,,Redfern
"Robbins, Mr. Oliver",21/03/2016,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,36.00,,Redfern
"Spencer, Ms. Hilary Jane Clements",21/03/2016,,,Taxi fare,T&S - Hotels,,,,10.00,,
"Campbell, Ms. Mandie Jane",22/03/2016,,,tube and DLR to meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,7.10,,
"Hepple, Mr. Tyson Julian",22/03/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,5.90,,Redfern
"Martin, Mr. Ian Richard",22/03/2016,,,Taxi from Capital Building to Liverpool Lime Street. Receipt held.,Taxis,,,,3.80,,
"Martin, Mr. Ian Richard",22/03/2016,,Liverpool Lime Street,INTERNAL MEETING,Rail,Standard,,,130.00,,Redfern
"Oppenheim, Mr. Jeremy",22/03/2016,,,Taxi from 2MS to Albermarle Street to attend evening reception of the International Crime and Policing Conference.,Taxis,,,,10.78,,
"Otter, Mr. Stephen Anthony",22/03/2016,,Exeter St Davids,INTERNAL MEETING,Rail,Standard,,,122.50,,Redfern
"Rapson, Ms. Sarah Oonagh",22/03/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,11.10,,Redfern
"Robbins, Mr. Oliver",22/03/2016,,,Taxi from Athens Airport to Residence in early hours of morning,Taxis,,,,43.44,,
"Shipley, Mr. Gordon Michael",22/03/2016,,,Visit to Motorola,Conferences (& Hospitality),,,,108.05,,
"Thomson, Mr. Mark David",22/03/2016,,London Zones 1-4,CONFERENCE/EVENT,Rail,Standard,,,12.10,,Redfern
"Eastaugh, Mr. Tony",23/03/2016,,Sheffield,EXTERNAL MEETING,,,Hotel Standard,,99.60,,Redfern
"Eastaugh, Mr. Tony",23/03/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,43.20,,Redfern
"Eastaugh, Mr. Tony",23/03/2016,,Solihull,INTERNAL MEETING,Rail,Standard,,,74.50,,Redfern
"Martin, Mr. Ian Richard",23/03/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Oppenheim, Mr. Jeremy",23/03/2016,,,Car parking costs incurred whilst attending the International Crime and Policing conference.,"T&S - Planes, Trains and Automobiles",,,,39.00,,
"Calam, Ms. Mary-Jane",24/03/2016,,,"from Rail Station to St Paul's Hotel, Sheffield",Taxis,,,,12.00,,
"Calam, Ms. Mary-Jane",24/03/2016,,,"Police HQ to Rail Station, Sheffield",Taxis,,,,8.00,,
"Calam, Ms. Mary-Jane",24/03/2016,,Sheffield,CONFERENCE/EVENT,Rail,Standard,,,98.50,,Redfern
"Campbell, Ms. Mandie Jane",24/03/2016,,,tube to meeting in Sheffield,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.80,,
"Campbell, Ms. Mandie Jane",24/03/2016,,,station to conference venue acc. by Mary Calam,Taxis,,,,5.00,,
"Campbell, Ms. Mandie Jane",24/03/2016,,London St Pancras,INTERNAL MEETING,Rail,Standard,,,55.50,,Redfern
"Campbell, Ms. Mandie Jane",24/03/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,114.00,,Redfern
"Eastaugh, Mr. Tony",24/03/2016,,Bishops Stortford,INTERNAL MEETING,Rail,Standard,,,104.00,,Redfern
"Otter, Mr. Stephen Anthony",24/03/2016,,Exeter St Davids,INTERNAL MEETING,Rail,Standard,,,94.00,,Redfern
"Otter, Mr. Stephen Anthony",24/03/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,94.00,,Redfern
"Sutton, Mr. Kenneth David",24/03/2016,,Sheffield,CONFERENCE/EVENT,Rail,Standard,,,205.00,,Redfern
"Ind, Mr. Hugh Timothy",25/03/2016,,,Travel Insurance - for 2nd business trip to Nigeria,Miscellaneous,,,,6.76,,
"Duffy, Mr. Philip",29/03/2016,,,CONFERENCE/EVENT,Billback Fee,,,,0.60,,Redfern
"Ind, Mr. Hugh Timothy",29/03/2016,,,Business Trip to Abuja,Miscellaneous,,,,34.28,,
"Ind, Mr. Hugh Timothy",29/03/2016,,,Visit to Nigeria,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,22.00,,
"Ind, Mr. Hugh Timothy",29/03/2016,,,Visit to Nigeria,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Ind, Mr. Hugh Timothy",29/03/2016,,Abuja,EXTERNAL MEETING,Air Tickets,Economy,,,"5,670.95",,Redfern
"Sedwill, Mr. Mark",29/03/2016,,Ankara Esenboga,MEETING WITH EXTERNAL BODIES,Air Tickets,,,,263.26,,Redfern
"Sedwill, Mr. Mark",29/03/2016,,HEATHROW TERM123,EXTERNAL MEETING,Rail,Standard,,,22.00,,Redfern
"Sedwill, Mr. Mark",29/03/2016,,Istanbul,EXTERNAL MEETING,Air Tickets,Business,,,576.26,,Redfern
"Sedwill, Mr. Mark",29/03/2016,,Istanbul,EXTERNAL MEETING,Air Tickets,Economy,,,413.65,,Redfern
"Sedwill, Mr. Mark",29/03/2016,,Istanbul,MEETING WITH EXTERNAL BODIES,Air Tickets,Business,,,-313.00,,Redfern
"Eastaugh, Mr. Tony",30/03/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,20.20,,Redfern
"Eastaugh, Mr. Tony",30/03/2016,,,INTERNAL MEETING,Other Fee,,,,0.45,,Redfern
"Sedwill, Mr. Mark",30/03/2016,,Ankara Esenboga,EXTERNAL MEETING,Air Tickets,Economy,,,174.80,,Redfern
"Sedwill, Mr. Mark",30/03/2016,,,EXTERNAL MEETING,Air Tickets,Economy,,,175.70,,Redfern
"Montgomery, Sir Charles Percival",31/03/2016,,,Taxi for DG for overnight stay for work dinner on 01.02.16 and visit on 09.02.16.,Taxis,,,,51.10,,
